Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Бугурусланская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16517	657	190	611	181	131	280	112	276	705	688	193	390	512	701	489	335	340	246	487	148	845	1008	879	118	518	158	199	249	390	339	1170	276	228	257	227	383	214	99	139	316	74	91	532	136									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16350	660	190	590	180	130	280	110	270	700	700	190	400	500	700	490	330	340	250	480	150	830	930	870	110	520	160	190	240	390	340	1170	280	230	250	230	380	210	100	140	320	70	90	530	130									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8864	331	79	317	73	57	218	99	257	323	360	106	159	249	414	343	222	196	100	290	101	320	440	382	48	201	119	121	203	314	218	505	94	148	134	87	217	148	53	104	166	45	57	333	113									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1092	31	19	14	47	11	11	6	6	77	28	25	22	28	67	23	24	18	24	45	38	22	48	20	17	24	19	16	20	21	41	41	33	17	20	12	24	35	11	13	21	12	12	27	2									
6	Число погашенных избирательных бюллетеней	6394	298	92	259	60	62	51	5	7	300	312	59	219	223	219	124	84	126	126	145	11	488	442	468	45	295	22	53	17	55	81	624	153	65	96	131	139	27	36	23	133	13	21	170	15									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1092	31	19	14	47	11	11	6	6	77	28	25	22	28	67	23	24	18	24	45	38	22	48	20	17	24	19	16	20	21	41	41	33	17	20	12	24	35	11	13	21	12	12	27	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8864	331	79	317	73	57	218	99	257	323	360	106	159	249	414	343	222	196	100	290	101	320	440	382	48	201	119	121	203	314	218	505	94	148	134	87	217	148	53	104	166	45	57	333	113									
9	Число недействительных избирательных бюллетеней	159	6	2	6	0	0	5	11	0	10	8	5	3	7	6	5	2	3	3	0	0	4	8	15	0	3	0	0	12	2	1	3	0	2	0	0	6	0	4	0	8	1	0	6	2									
10	Число действительных избирательных бюллетеней	9797	356	96	325	120	68	224	94	263	390	380	126	178	270	475	361	244	211	121	335	139	338	480	387	65	222	138	137	211	333	258	543	127	163	154	99	235	183	60	117	179	56	69	354	113									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	151	6	3	9	4	4	2	2	1	4	6	2	15	1	3	4	1	2	1	3	1	3	4	9	1	1	4	3	2	5	6	11	1	3	3	1	3	1	2	1	5	1	1	5	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	96	6	3	4	0	4	0	2	1	2	3	0	15	1	1	4	1	1	0	2	0	2	4	9	0	0	1	1	0	3	0	11	1	3	0	1	1	0	0	0	5	1	1	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	189	2	4	24	2	3	2	3	1	0	5	0	2	8	2	2	1	1	1	2	0	16	38	16	3	4	2	8	3	3	1	4	1	1	3	1	2	1	1	1	3	5	1	5	1									
14	Число погашенных неиспользованных открепительных удостоверений	55	0	0	5	4	0	2	0	0	2	3	2	0	0	2	0	0	1	1	1	1	1	0	0	1	1	3	2	2	2	6	0	0	0	3	0	2	1	2	1	0	0	0	3	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	72	3	0	4	1	1	0	0	0	2	4	0	3	1	1	5	2	2	1	7	1	4	5	4	0	0	2	0	1	2	0	4	1	0	1	0	1	3	0	2	1	0	0	1	2									
		0.72%	0.83%	0.00%	1.21%	0.83%	1.47%	0.00%	0.00%	0.00%	0.50%	1.03%	0.00%	1.66%	0.36%	0.21%	1.37%	0.81%	0.93%	0.81%	2.09%	0.72%	1.17%	1.02%	0.99%	0.00%	0.00%	1.45%	0.00%	0.45%	0.60%	0.00%	0.73%	0.79%	0.00%	0.65%	0.00%	0.41%	1.64%	0.00%	1.71%	0.53%	0.00%	0.00%	0.28%	1.74%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	265	18	2	10	5	0	3	2	3	12	5	4	4	12	13	3	9	3	5	8	1	8	17	19	2	8	3	3	5	5	4	23	5	3	4	4	2	5	1	2	4	2	0	11	3									
		2.66%	4.97%	2.04%	3.02%	4.17%	0.00%	1.31%	1.90%	1.14%	3.00%	1.29%	3.05%	2.21%	4.33%	2.70%	0.82%	3.66%	1.40%	4.03%	2.39%	0.72%	2.34%	3.48%	4.73%	3.08%	3.56%	2.17%	2.19%	2.24%	1.49%	1.54%	4.21%	3.94%	1.82%	2.60%	4.04%	0.83%	2.73%	1.56%	1.71%	2.14%	3.51%	0.00%	3.06%	2.61%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	100	7	0	6	0	3	3	0	0	8	5	1	2	3	3	3	3	2	0	6	1	5	9	3	0	0	0	0	1	1	2	4	2	2	0	1	2	1	0	1	1	0	0	9	0									
		1.00%	1.93%	0.00%	1.81%	0.00%	4.41%	1.31%	0.00%	0.00%	2.00%	1.29%	0.76%	1.10%	1.08%	0.62%	0.82%	1.22%	0.93%	0.00%	1.79%	0.72%	1.46%	1.84%	0.75%	0.00%	0.00%	0.00%	0.00%	0.45%	0.30%	0.77%	0.73%	1.57%	1.21%	0.00%	1.01%	0.83%	0.55%	0.00%	0.85%	0.53%	0.00%	0.00%	2.50%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5422	174	39	144	61	37	156	50	184	207	177	75	75	135	289	212	133	108	40	179	89	135	210	151	43	126	119	120	162	282	135	196	55	100	100	62	124	128	45	66	91	40	46	240	82									
		54.46%	48.07%	39.80%	43.50%	50.83%	54.41%	68.12%	47.62%	69.96%	51.75%	45.62%	57.25%	41.44%	48.74%	60.08%	57.92%	54.07%	50.47%	32.26%	53.43%	64.03%	39.47%	43.03%	37.56%	66.15%	56.00%	86.23%	87.59%	72.65%	84.18%	52.12%	35.90%	43.31%	60.61%	64.94%	62.63%	51.45%	69.95%	70.31%	56.41%	48.66%	70.18%	66.67%	66.67%	71.30%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	31	0	2	0	0	0	0	0	0	0	5	1	0	2	1	1	1	1	1	1	0	1	1	2	1	0	0	1	0	0	0	3	0	1	0	1	1	0	0	0	2	0	0	1	0									
		0.31%	0.00%	2.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.29%	0.76%	0.00%	0.72%	0.21%	0.27%	0.41%	0.47%	0.81%	0.30%	0.00%	0.29%	0.20%	0.50%	1.54%	0.00%	0.00%	0.73%	0.00%	0.00%	0.00%	0.55%	0.00%	0.61%	0.00%	1.01%	0.41%	0.00%	0.00%	0.00%	1.07%	0.00%	0.00%	0.28%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	25	1	0	2	1	0	0	0	1	0	3	1	0	0	1	0	1	0	0	1	0	1	2	0	0	0	0	0	2	0	2	2	0	1	0	0	1	1	0	0	0	0	0	1	0									
		0.25%	0.28%	0.00%	0.60%	0.83%	0.00%	0.00%	0.00%	0.38%	0.00%	0.77%	0.76%	0.00%	0.00%	0.21%	0.00%	0.41%	0.00%	0.00%	0.30%	0.00%	0.29%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.90%	0.00%	0.77%	0.37%	0.00%	0.61%	0.00%	0.00%	0.41%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1876	71	19	72	23	19	37	27	28	65	68	17	47	58	87	86	61	46	28	65	16	85	107	102	7	38	5	10	20	17	39	166	39	36	27	16	61	25	7	39	25	5	12	37	11									
		18.84%	19.61%	19.39%	21.75%	19.17%	27.94%	16.16%	25.71%	10.65%	16.25%	17.53%	12.98%	25.97%	20.94%	18.09%	23.50%	24.80%	21.50%	22.58%	19.40%	11.51%	24.85%	21.93%	25.37%	10.77%	16.89%	3.62%	7.30%	8.97%	5.07%	15.06%	30.40%	30.71%	21.82%	17.53%	16.16%	25.31%	13.66%	10.94%	33.33%	13.37%	8.77%	17.39%	10.28%	9.57%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	19	0	0	1	0	0	0	0	0	1	1	0	0	0	2	0	1	0	0	2	0	0	4	1	0	0	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0									
		0.19%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.26%	0.00%	0.00%	0.00%	0.42%	0.00%	0.41%	0.00%	0.00%	0.60%	0.00%	0.00%	0.82%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.73%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	40	0	0	5	0	1	5	0	0	5	1	0	0	1	2	1	1	0	0	1	1	0	3	7	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0	0	0	0									
		0.40%	0.00%	0.00%	1.51%	0.00%	1.47%	2.18%	0.00%	0.00%	1.25%	0.26%	0.00%	0.00%	0.36%	0.42%	0.27%	0.41%	0.00%	0.00%	0.30%	0.72%	0.00%	0.61%	1.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.18%	0.79%	0.00%	0.65%	0.00%	0.41%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	12	2	0	1	1	1	0	0	1	0	0	0	1	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.12%	0.55%	0.00%	0.30%	0.83%	1.47%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.27%	0.41%	0.47%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	38	0	0	1	0	1	1	0	1	2	0	0	1	0	0	1	3	0	0	4	0	3	9	0	0	1	0	0	0	0	1	4	2	0	0	0	1	0	0	0	1	0	0	1	0									
		0.38%	0.00%	0.00%	0.30%	0.00%	1.47%	0.44%	0.00%	0.38%	0.50%	0.00%	0.00%	0.55%	0.00%	0.00%	0.27%	1.22%	0.00%	0.00%	1.19%	0.00%	0.88%	1.84%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.39%	0.73%	1.57%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.28%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1744	79	31	71	27	5	18	13	42	83	101	23	39	54	68	42	24	45	43	55	27	86	104	84	11	48	9	3	17	25	71	125	21	17	20	14	36	17	7	7	51	9	10	47	15									
		17.52%	21.82%	31.63%	21.45%	22.50%	7.35%	7.86%	12.38%	15.97%	20.75%	26.03%	17.56%	21.55%	19.49%	14.14%	11.48%	9.76%	21.03%	34.68%	16.42%	19.42%	25.15%	21.31%	20.90%	16.92%	21.33%	6.52%	2.19%	7.62%	7.46%	27.41%	22.89%	16.54%	10.30%	12.99%	14.14%	14.94%	9.29%	10.94%	5.98%	27.27%	15.79%	14.49%	13.06%	13.04%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	31	0	0	4	0	0	1	0	0	0	2	2	1	2	1	1	1	0	0	0	0	2	5	4	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0									
		0.31%	0.00%	0.00%	1.21%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.52%	1.53%	0.55%	0.72%	0.21%	0.27%	0.41%	0.00%	0.00%	0.00%	0.00%	0.58%	1.02%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.39%	0.00%	0.79%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	122	1	3	4	1	0	0	2	3	5	8	2	5	2	7	5	3	3	3	4	3	8	4	10	1	1	0	0	3	0	1	11	0	1	1	1	5	3	0	0	1	0	1	6	0									
		1.23%	0.28%	3.06%	1.21%	0.83%	0.00%	0.00%	1.90%	1.14%	1.25%	2.06%	1.53%	2.76%	0.72%	1.46%	1.37%	1.22%	1.40%	2.42%	1.19%	2.16%	2.34%	0.82%	2.49%	1.54%	0.44%	0.00%	0.00%	1.35%	0.00%	0.39%	2.01%	0.00%	0.61%	0.65%	1.01%	2.07%	1.64%	0.00%	0.00%	0.53%	0.00%	1.45%	1.67%	0.00%									
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
