Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Усть-Большерецкая															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157					
1	"Число избирателей, внесенных в списки"	6861	89	47	1498	550	1421	1780	728	748					
2	"Число бюллетеней, полученных участковыми комиссиями"	6824	96	46	1476	556	1447	1733	714	756					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3592	66	39	773	292	649	1005	385	383					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	146	0	0	16	14	25	51	38	2					
6	Число погашенных бюллетеней	3086	30	7	687	250	773	677	291	371					
7	Число бюллетеней в переносных ящиках для голосования	146	0	0	16	14	25	51	38	2					
8	Число бюллетеней в стационарных ящиках для голосования	3590	66	39	773	292	649	1003	385	383					
9	Число недействительных бюллетеней	42	0	0	7	1	8	16	5	5					
10	Число действительных бюллетеней	3694	66	39	782	305	666	1038	418	380					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	166	5	3	35	12	35	40	16	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	38	1	0	12	3	13	5	3	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	16	0	2	3	1	4	4	1	1					
14	Число погашенных открепительных удостоверений	128	4	3	23	9	22	35	13	19					
15	Число открепительных удостоверений выданных ТИК	7	0	0	0	0	1	6	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0					
															
18	"1. ""ЕДИНЕНИЕ"""	55	1	0	14	3	11	12	8	6					
		1.47%	1.51%	0.0%	1.77%	0.98%	1.63%	1.13%	1.89%	1.55%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	46	3	0	8	3	9	18	3	2					
		1.23%	4.54%	0.0%	1.01%	0.98%	1.33%	1.70%	0.70%	0.51%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	99	1	1	12	8	12	41	8	16					
		2.64%	1.51%	2.56%	1.52%	2.61%	1.78%	3.88%	1.89%	4.15%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	159	3	1	23	4	40	74	7	7					
		4.25%	4.54%	2.56%	2.91%	1.30%	5.93%	7.02%	1.65%	1.81%					
22	"5. ""За Русь Святую"""	10	0	0	4	1	1	2	2	0					
		0.26%	0.0%	0.0%	0.50%	0.32%	0.14%	0.18%	0.47%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	14	1	0	7	1	0	4	0	1					
		0.37%	1.51%	0.0%	0.88%	0.32%	0.0%	0.37%	0.0%	0.25%					
24	"7. ""Новый курс - Автомобильная Россия"""	16	0	0	1	0	6	6	0	3					
		0.42%	0.0%	0.0%	0.12%	0.0%	0.89%	0.56%	0.0%	0.77%					
25	"8. ""Народно-республиканская партия России"""	7	0	2	0	0	2	3	0	0					
		0.18%	0.0%	5.12%	0.0%	0.0%	0.29%	0.28%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	10	0	0	1	1	3	3	1	1					
		0.26%	0.0%	0.0%	0.12%	0.32%	0.44%	0.28%	0.23%	0.25%					
27	"10. ""Аграрная партия России"""	106	5	1	12	6	4	20	23	35					
		2.83%	7.57%	2.56%	1.52%	1.96%	0.59%	1.89%	5.43%	9.09%					
28	"11. ""Истинные патриоты России"""	5	0	0	0	1	2	2	0	0					
		0.13%	0.0%	0.0%	0.0%	0.32%	0.29%	0.18%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	20	1	0	2	4	8	4	0	1					
		0.53%	1.51%	0.0%	0.25%	1.30%	1.18%	0.37%	0.0%	0.25%					
30	"13. ""Демократическая партия России"""	7	0	0	2	3	1	1	0	0					
		0.18%	0.0%	0.0%	0.25%	0.98%	0.14%	0.09%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	67	3	0	18	0	13	24	5	4					
		1.79%	4.54%	0.0%	2.28%	0.0%	1.92%	2.27%	1.18%	1.03%					
32	"15. ""Партия СЛОН"""	1	0	0	0	0	1	0	0	0					
		0.02%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	392	11	7	74	51	86	121	8	34					
		10.49%	16.66%	17.94%	9.37%	16.66%	12.75%	11.48%	1.89%	8.83%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	3	0	0	2	0	1	0	0	0					
		0.08%	0.0%	0.0%	0.25%	0.0%	0.14%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	713	11	11	168	47	131	194	88	63					
		19.08%	16.66%	28.20%	21.29%	15.35%	19.43%	18.40%	20.80%	16.36%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	62	0	1	14	5	5	29	7	1					
		1.65%	0.0%	2.56%	1.77%	1.63%	0.74%	2.75%	1.65%	0.25%					
37	"20. ""Политическая партия ""Единая Россия"""	1438	24	12	352	121	202	350	221	156					
		38.49%	36.36%	30.76%	44.61%	39.54%	29.97%	33.20%	52.24%	40.51%					
38	"21. ""Российская Конституционно-демократическая партия"""	9	0	0	2	3	0	3	1	0					
		0.24%	0.0%	0.0%	0.25%	0.98%	0.0%	0.28%	0.23%	0.0%					
39	"22. ""Развитие предпринимательства"""	10	1	0	3	2	3	0	1	0					
		0.26%	1.51%	0.0%	0.38%	0.65%	0.44%	0.0%	0.23%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	274	1	1	38	28	74	71	25	36					
		7.33%	1.51%	2.56%	4.81%	9.15%	10.97%	6.73%	5.91%	9.35%					
															
41	Против всех	171	0	2	25	13	51	56	10	14					
		4.57%	0.0%	5.12%	3.16%	4.24%	7.56%	5.31%	2.36%	3.63%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
