Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Грачевская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	26977	1890	1150	1894	1865	1389	65	1730	187	2245	1354	1117	1850	449	2462	397	337	996	2614	854	440	1692									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26490	1800	1100	1900	1800	1300	150	1700	190	2200	1300	1100	1800	450	2400	400	350	1000	2600	900	450	1600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10097	634	322	753	762	695	65	668	92	659	406	438	779	208	838	202	165	498	893	210	65	745									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1378	67	33	56	124	68	0	65	7	181	116	30	106	17	74	29	11	55	58	49	24	208									
6	Число погашенных избирательных бюллетеней	15015	1099	745	1091	914	537	85	967	91	1360	778	632	915	225	1488	169	174	447	1649	641	361	647									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1378	67	33	56	124	68	0	65	7	181	116	30	106	17	74	29	11	55	58	49	24	208									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10097	634	322	753	762	695	65	668	92	659	406	438	779	208	838	202	165	498	893	210	65	745									
9	Число недействительных избирательных бюллетеней	300	31	12	12	24	12	0	21	1	23	12	13	26	10	36	8	9	15	13	5	2	15									
10	Число действительных избирательных бюллетеней	11175	670	343	797	862	751	65	712	98	817	510	455	859	215	876	223	167	538	938	254	87	938									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	230	12	10	15	15	12	0	16	1	20	12	10	16	4	12	18	3	9	19	7	4	15									
