Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Знаменская																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК  152	УИК  153	УИК  154	УИК  155	УИК  156	УИК  157	УИК  158	УИК  159	УИК  160	УИК  161	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177					
1	"Число избирателей, внесенных в списки"	10400	1040	896	1068	964	401	357	305	176	138	659	217	290	430	130	410	560	456	104	146	304	141	117	654	188	122	127					
2	"Число бюллетеней, полученных участковыми комиссиями"	9472	911	787	942	860	351	320	281	178	146	587	191	262	386	129	364	505	432	109	148	278	142	116	597	201	121	128					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6534	661	528	667	572	224	175	209	126	96	425	158	207	250	97	233	252	273	83	88	213	109	93	471	142	77	105					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	802	50	51	44	26	63	44	42	19	14	22	14	14	39	10	57	59	90	7	16	25	11	7	33	15	30	0					
6	Число погашенных бюллетеней	2136	200	208	231	262	64	101	30	33	36	140	19	41	97	22	74	194	69	19	44	40	22	16	93	44	14	23					
7	Число бюллетеней в переносных ящиках для голосования	802	50	51	44	26	63	44	42	19	14	22	14	14	39	10	57	59	90	7	16	25	11	7	33	15	30	0					
8	Число бюллетеней в стационарных ящиках для голосования	6533	661	528	667	571	224	175	209	126	96	425	158	207	250	97	233	252	273	83	88	213	109	93	471	142	77	105					
9	Число недействительных бюллетеней	132	8	8	8	10	6	6	7	4	5	5	5	2	2	0	2	6	10	1	1	11	7	0	16	2	0	0					
10	Число действительных бюллетеней	7203	703	571	703	587	281	213	244	141	105	442	167	219	287	107	288	305	353	89	103	227	113	100	488	155	107	105					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	199	24	17	20	18	7	6	8	4	1	11	4	6	8	2	8	10	9	2	3	5	3	2	12	4	3	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	61	8	4	9	6	2	2	8	0	0	0	0	1	0	0	0	0	4	2	0	1	0	0	11	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	49	8	5	2	3	4	1	4	0	2	1	2	3	0	1	1	2	0	0	2	0	1	2	1	2	1	1					
14	Число погашенных открепительных удостоверений	138	16	13	11	12	5	4	0	4	1	11	4	5	8	2	8	10	5	0	3	4	3	2	1	1	3	2					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	"1. ""ЕДИНЕНИЕ"""	205	9	21	15	14	8	8	10	1	2	11	4	10	15	7	8	6	10	5	4	12	2	3	8	3	4	5					
		2.79%	1.26%	3.62%	2.10%	2.34%	2.78%	3.65%	3.98%	0.68%	1.81%	2.46%	2.32%	4.52%	5.19%	6.54%	2.75%	1.92%	2.75%	5.55%	3.84%	5.04%	1.66%	3.0%	1.58%	1.91%	3.73%	4.76%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	54	5	6	8	2	2	0	5	1	0	2	4	1	2	0	4	1	4	0	0	2	1	0	3	1	0	0					
		0.73%	0.70%	1.03%	1.12%	0.33%	0.69%	0.0%	1.99%	0.68%	0.0%	0.44%	2.32%	0.45%	0.69%	0.0%	1.37%	0.32%	1.10%	0.0%	0.0%	0.84%	0.83%	0.0%	0.59%	0.63%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	159	10	25	21	6	10	4	4	3	0	8	5	4	6	0	4	7	6	2	5	4	1	2	16	4	2	0					
		2.16%	1.40%	4.31%	2.95%	1.00%	3.48%	1.82%	1.59%	2.06%	0.0%	1.78%	2.90%	1.80%	2.07%	0.0%	1.37%	2.25%	1.65%	2.22%	4.80%	1.68%	0.83%	2.0%	3.17%	2.54%	1.86%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	72	11	6	6	6	6	6	1	0	0	1	0	1	4	0	3	0	3	0	2	4	0	1	6	1	2	2					
		0.98%	1.54%	1.03%	0.84%	1.00%	2.09%	2.73%	0.39%	0.0%	0.0%	0.22%	0.0%	0.45%	1.38%	0.0%	1.03%	0.0%	0.82%	0.0%	1.92%	1.68%	0.0%	1.0%	1.19%	0.63%	1.86%	1.90%					
22	"5. ""За Русь Святую"""	34	0	4	6	3	1	2	1	0	0	6	1	2	0	1	0	1	1	0	1	1	0	1	0	0	2	0					
		0.46%	0.0%	0.69%	0.84%	0.50%	0.34%	0.91%	0.39%	0.0%	0.0%	1.34%	0.58%	0.90%	0.0%	0.93%	0.0%	0.32%	0.27%	0.0%	0.96%	0.42%	0.0%	1.0%	0.0%	0.0%	1.86%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	18	4	1	0	3	3	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0					
		0.24%	0.56%	0.17%	0.0%	0.50%	1.04%	0.0%	0.0%	0.0%	0.90%	0.22%	0.0%	0.45%	0.34%	0.0%	0.0%	0.0%	0.0%	1.11%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	21	3	0	3	3	1	1	0	1	0	4	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0					
		0.28%	0.42%	0.0%	0.42%	0.50%	0.34%	0.45%	0.0%	0.68%	0.0%	0.89%	0.0%	0.45%	0.69%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	1.0%	0.0%	0.0%	0.0%	0.0%					
