Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																					
Дата голосования: 02.12.2007																																					
																																					
Наименование Избирательной комиссии:    Зейская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309					
1	"Число избирателей, внесенных в списки избирателей"	15224	593	320	557	1544	1363	395	196	312	193	163	493	314	126	236	136	490	287	128	578	768	365	1642	229	681	363	1277	299	386	466	324					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	14175	550	300	550	1500	1300	375	210	300	170	150	470	300	120	220	125	400	260	120	550	750	340	1500	210	620	340	1150	275	350	380	290					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	84	0	0	1	0	0	29	0	0	0	0	0	0	0	0	0	3	0	0	0	12	0	35	0	0	4	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8986	369	186	270	781	664	290	124	190	151	97	290	183	94	147	98	329	216	79	293	379	209	915	185	364	224	849	229	257	358	166					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	854	35	24	39	78	116	45	20	23	7	17	55	19	4	19	8	29	24	12	56	43	25	71	9	18	16	24	3	4	11	0					
6	Число погашенных избирательных бюллетеней	4251	146	90	240	641	520	11	66	87	12	36	125	98	22	54	19	39	20	29	201	316	106	479	16	238	96	277	43	89	11	124					
7	Число избирательных бюллетеней в переносных ящиках для голосования	938	35	24	40	78	116	74	20	23	7	17	55	19	4	19	8	32	24	12	56	55	25	106	9	18	20	24	3	4	11	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8984	369	186	270	781	663	290	124	190	151	97	290	183	94	147	98	329	215	79	293	379	209	915	185	364	224	849	229	257	358	166					
9	Число недействительных избирательных бюллетеней	62	1	1	0	10	8	2	0	3	0	0	0	0	0	4	2	3	1	0	1	3	2	7	0	1	0	6	1	2	3	1					
10	Число действительных избирательных бюллетеней	9860	403	209	310	849	771	362	144	210	158	114	345	202	98	162	104	358	238	91	348	431	232	1014	194	381	244	867	231	259	366	165					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	79	1	2	2	4	4	2	2	2	1	1	4	2	2	2	2	4	2	2	4	4	2	5	3	4	2	5	3	3	3	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	57	1	0	2	4	4	2	2	2	0	0	3	1	1	2	2	2	0	2	0	1	1	5	3	3	0	5	3	3	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	61	2	2	0	3	3	2	1	0	1	0	1	2	1	1	1	0	1	0	2	3	0	0	1	4	0	5	7	8	3	7					
14	Число погашенных неиспользованных открепительных удостоверений	22	0	2	0	0	0	0	0	0	1	1	1	1	1	0	0	2	2	0	4	3	1	0	0	1	2	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	2	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	1	2	0	0	0	3	0	1	0	5	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
