Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Бокситогорская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №8323									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	41997	2778	2611	992	2590	1736	2563	229	1994	2012	2044	2115	1883	2405	2082	2098	1010	684	1227	269	322	570	194	419	1423	613	278	971	605	536	557	217	814	357	415	384									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	78600	2300	2100	750	2100	1400	2100	230	1500	1600	1600	1800	1600	2100	1800	1800	900	600	1200	280	350	580	190	450	1400	630	270	1000	600	500	560	220	800	370	420	42500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17423	1272	1287	447	1285	733	1196	67	786	819	833	854	765	887	881	878	409	233	556	105	171	197	59	177	635	208	70	297	116	116	189	16	263	88	146	382									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3678	118	93	39	76	68	157	23	180	91	77	57	85	204	78	35	124	144	161	68	90	121	94	27	104	79	115	146	183	200	161	141	160	105	74	0									
6	Число погашенных избирательных бюллетеней	57499	910	720	264	739	599	747	140	534	690	690	889	750	1009	841	887	367	223	483	107	89	262	37	246	661	343	85	557	301	184	210	63	377	177	200	42118									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3678	118	93	39	76	68	157	23	180	91	77	57	85	204	78	35	124	144	161	68	90	121	94	27	104	79	115	146	183	200	161	141	160	105	74	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17414	1272	1285	447	1281	733	1196	67	786	819	833	853	764	887	880	878	409	233	556	105	171	197	59	177	635	208	70	297	116	116	189	16	263	88	146	382									
9	Число недействительных избирательных бюллетеней	625	45	66	24	53	24	36	3	27	27	44	29	27	33	38	31	9	9	20	6	4	3	1	6	5	9	5	13	2	5	0	0	11	2	4	4									
10	Число действительных избирательных бюллетеней	20467	1345	1312	462	1304	777	1317	87	939	883	866	881	822	1058	920	882	524	368	697	167	257	315	152	198	734	278	180	430	297	311	350	157	412	191	216	378									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1026	50	46	25	50	35	70	10	40	40	40	40	40	40	40	40	25	20	25	15	20	20	15	20	30	20	20	30	15	15	20	20	30	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	697	50	42	18	48	28	62	1	29	31	30	26	17	24	36	31	15	3	19	11	20	16	10	17	30	19	2	17	10	7	1	2	15	3	7	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	417	20	21	12	16	22	17	4	12	13	11	16	23	8	12	8	15	11	6	11	4	13	15	4	16	7	7	9	1	4	7	3	16	7	8	38									
14	Число погашенных неиспользованных открепительных удостоверений	329	0	4	7	2	7	8	9	11	9	10	14	23	16	4	9	10	17	6	4	0	4	5	3	0	1	18	13	5	8	19	18	15	17	13	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	49	7	8	2	4	3	7	0	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	3	0	1	3	0	0	0	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	252	15	14	8	18	8	17	1	8	9	11	21	7	9	13	12	4	7	12	1	2	4	1	2	10	3	2	0	0	1	6	2	3	6	3	12									
		1.19%	1.08%	1.02%	1.65%	1.33%	0.99%	1.26%	1.11%	0.83%	0.99%	1.21%	2.31%	0.82%	0.82%	1.36%	1.31%	0.75%	1.86%	1.67%	0.58%	0.77%	1.26%	0.65%	0.98%	1.35%	1.05%	1.08%	0.00%	0.00%	0.32%	1.71%	1.27%	0.71%	3.11%	1.36%	3.14%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	475	30	28	13	37	25	37	6	12	21	24	18	18	21	15	19	8	17	24	0	0	9	5	5	18	6	3	9	8	8	11	0	9	5	4	2									
		2.25%	2.16%	2.03%	2.67%	2.73%	3.12%	2.73%	6.67%	1.24%	2.31%	2.64%	1.98%	2.12%	1.92%	1.57%	2.08%	1.50%	4.51%	3.35%	0.00%	0.00%	2.83%	3.27%	2.45%	2.44%	2.09%	1.62%	2.03%	2.68%	2.53%	3.14%	0.00%	2.13%	2.59%	1.82%	0.52%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	416	35	29	7	21	16	26	0	24	17	20	9	18	27	24	23	8	5	16	1	2	9	3	2	21	4	2	11	0	12	1	3	8	2	4	6									
		1.97%	2.52%	2.10%	1.44%	1.55%	1.99%	1.92%	0.00%	2.48%	1.87%	2.20%	0.99%	2.12%	2.47%	2.51%	2.52%	1.50%	1.33%	2.23%	0.58%	0.77%	2.83%	1.96%	0.98%	2.84%	1.39%	1.08%	2.48%	0.00%	3.80%	0.29%	1.91%	1.89%	1.04%	1.82%	1.57%									
