Выборы Президента Российской Федерации																																																																																
																																																																																
"Наименование Избирательной комиссии:    Уфа, Октябрьская"																																																																																
																																																																																
Итоги голосования 																																																																																
																																																																																
		Сумма	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269					
1	"Число избирателей, внесенных в список"	170020	1519	1927	1706	1899	1996	1964	2490	2463	2702	2771	2702	2320	2778	2419	2195	2501	2642	2607	2432	2651	2513	2561	2719	2923	2890	2801	1461	842	1369	1128	2476	2492	2449	2636	2377	2417	2572	2450	715	2504	2630	2860	2920	2728	2772	2073	2797	3103	3057	2886	2954	2963	2806	2821	3048	3029	2963	2722	2686	2893	2999	2933	2958	2311	2373	3059	3172	404	667	209	802	375	68					
2	Число полученных избирательных бюллетеней	169480	1500	1900	1700	2100	1900	1900	2540	2490	2690	2740	2690	2350	2860	2400	2200	2490	2640	2590	2490	2640	2540	2540	2740	2910	2860	2810	1400	750	1380	1030	2440	2540	2490	2640	2340	2390	2490	2590	700	2540	2640	2910	2910	2740	2740	2040	2740	2960	2960	2860	2960	2960	2860	2790	2960	2960	2910	2690	2690	2960	2960	2910	2960	2790	2390	2860	2960	340	600	300	800	340	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	137330	1026	1577	1387	1566	1673	1607	2043	2111	2275	2145	2004	1781	2256	1977	1739	2139	2143	2332	1931	2094	2004	2085	2094	2373	2437	2314	1145	416	1132	899	1994	2000	1995	2160	1939	2078	2081	1979	584	2144	1848	2199	2374	2222	2328	1687	2322	2625	2499	2387	2486	2512	2264	2361	2516	2536	2409	2233	2183	2743	2450	2330	2423	2287	1253	2492	1688	303	487	180	717	275	52					
5	"Число избирательных бюллетеней, выданных вне помещения"	3352	44	22	29	48	30	24	54	32	45	131	22	145	52	73	61	31	59	31	44	30	57	20	166	108	68	34	24	61	5	48	62	37	40	30	34	42	54	55	11	35	350	175	15	15	34	13	30	5	50	2	17	19	37	39	22	20	15	15	25	17	12	51	32	24	6	16	28	29	108	27	83	7	16					
6	Число погашенных избирательных бюллетеней	28798	430	301	284	486	197	269	443	347	370	464	664	424	552	350	400	320	438	227	515	516	479	435	480	429	355	462	231	273	243	83	384	503	455	450	367	270	355	556	105	361	442	536	521	503	378	340	388	330	411	471	457	429	559	390	422	404	486	442	482	200	498	529	505	479	1131	352	1244	8	5	93	0	58	32					
7	Число избирательных бюллетеней в переносных ящиках	3352	44	22	29	48	30	24	54	32	45	131	22	145	52	73	61	31	59	31	44	30	57	20	166	108	68	34	24	61	5	48	62	37	40	30	34	42	54	55	11	35	350	175	15	15	34	13	30	5	50	2	17	19	37	39	22	20	15	15	25	17	12	51	32	24	6	16	28	29	108	27	83	7	16					
8	Число бюллетеней в стационарных ящиках для голосования	137078	1026	1577	1387	1566	1673	1607	2043	2100	2274	2145	2004	1781	2204	1973	1739	2139	2084	2332	1931	2094	2004	2085	2094	2369	2437	2314	1145	416	1132	899	1994	2000	1995	2160	1939	2078	2081	1979	584	2136	1848	2199	2374	2190	2294	1687	2322	2625	2499	2387	2486	2512	2264	2361	2516	2536	2409	2233	2183	2743	2450	2330	2423	2287	1253	2446	1688	303	487	180	716	275	52					
9	Число недействительных избирательных бюллетеней	556	7	2	5	5	12	0	2	9	22	6	11	6	5	7	0	6	9	9	6	20	9	11	9	12	1	7	7	13	3	4	2	12	11	10	11	11	0	2	2	5	6	4	1	11	14	10	9	7	15	8	12	17	12	7	16	6	8	5	10	0	2	11	14	8	8	10	11	2	2	1	6	12	0					
10	Число действительных избирательных бюллетеней	139874	1063	1597	1411	1609	1691	1631	2095	2123	2297	2270	2015	1920	2251	2039	1800	2164	2134	2354	1969	2104	2052	2094	2251	2465	2504	2341	1162	464	1134	943	2054	2025	2024	2180	1962	2109	2135	2032	593	2166	2192	2370	2388	2194	2314	1690	2343	2623	2534	2381	2491	2514	2289	2393	2522	2550	2416	2243	2198	2760	2460	2370	2441	2303	1251	2452	1705	330	593	206	793	270	68					
11	Число полученных открепительных  удостоверений	5485	40	70	45	60	60	60	70	60	60	60	50	50	170	50	50	70	60	130	70	80	70	70	70	150	100	80	40	30	50	40	80	60	90	60	60	60	60	90	30	80	70	80	150	110	110	60	80	150	150	80	80	120	70	80	150	100	100	60	90	80	120	200	80	80	70	90	80	30	30	0	0	0	0					
12	Число выданных открепительных удостоверений	3494	29	65	39	53	33	30	34	38	46	33	50	44	150	28	38	36	37	62	52	45	63	57	58	74	43	73	17	12	37	36	63	60	54	52	39	32	23	67	12	50	55	47	55	63	60	36	61	75	78	61	58	66	43	52	50	51	51	60	62	47	54	87	63	66	65	68	70	10	16	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1970	20	7	19	17	25	16	16	10	22	21	8	11	51	14	6	12	36	21	12	13	13	16	24	16	24	11	13	4	7	34	24	21	32	15	15	17	62	41	4	16	16	24	9	11	16	37	20	17	15	12	16	3	35	12	44	14	18	6	12	13	27	11	11	19	16	27	12	26	11	118	520	45	11					
14	Число неиспользованных открепительных удостоверений	1991	11	5	6	7	27	30	36	22	14	27	0	6	20	22	12	34	23	68	18	35	7	13	12	76	57	7	23	18	13	4	17	0	36	8	21	28	37	23	18	30	15	33	95	47	50	24	19	75	72	19	22	54	27	28	100	49	49	0	28	33	66	113	17	14	5	22	10	20	14	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	18	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																
18	. Глазьев Сергей Юрьевич	4077	21	44	35	64	6	48	65	67	20	63	76	46	84	76	52	90	34	74	100	91	68	59	77	74	77	49	32	9	29	27	101	2	7	102	34	30	110	71	20	84	54	79	76	76	68	49	57	77	89	89	52	66	59	74	64	62	69	58	25	75	70	49	83	68	51	86	81	11	19	9	8	3	3					
		2.90%	1.96%	2.75%	2.47%	3.97%	0.35%	2.94%	3.10%	3.14%	0.86%	2.77%	3.75%	2.39%	3.72%	3.71%	2.89%	4.15%	1.59%	3.13%	5.06%	4.28%	3.30%	2.80%	3.41%	2.99%	3.07%	2.09%	2.74%	1.89%	2.55%	2.85%	4.91%	0.10%	0.34%	4.66%	1.72%	1.42%	5.15%	3.49%	3.36%	3.87%	2.46%	3.33%	3.18%	3.45%	2.92%	2.88%	2.42%	2.93%	3.49%	3.73%	2.08%	2.61%	2.56%	3.08%	2.52%	2.43%	2.85%	2.58%	1.13%	2.72%	2.84%	2.06%	3.38%	2.94%	4.05%	3.49%	4.72%	3.31%	3.19%	4.35%	1.00%	1.06%	4.41%					
19	. Малышкин Олег Александрович	1152	4	11	5	13	14	4	12	21	11	13	14	17	14	10	14	15	18	21	15	33	14	13	22	10	20	23	12	7	11	6	25	3	6	22	10	8	27	13	3	20	16	6	23	37	10	14	19	7	24	17	19	24	20	18	29	31	24	17	16	15	15	20	25	22	25	62	19	2	10	2	8	1	1					
		0.82%	0.37%	0.69%	0.35%	0.81%	0.82%	0.25%	0.57%	0.98%	0.47%	0.57%	0.69%	0.88%	0.62%	0.49%	0.78%	0.69%	0.84%	0.89%	0.76%	1.55%	0.68%	0.62%	0.97%	0.40%	0.80%	0.98%	1.03%	1.47%	0.97%	0.63%	1.22%	0.15%	0.29%	1.00%	0.51%	0.38%	1.26%	0.64%	0.50%	0.92%	0.73%	0.25%	0.96%	1.68%	0.43%	0.82%	0.81%	0.27%	0.94%	0.71%	0.76%	0.95%	0.87%	0.75%	1.14%	1.21%	0.99%	0.76%	0.72%	0.54%	0.61%	0.84%	1.02%	0.95%	1.99%	2.52%	1.11%	0.60%	1.68%	0.97%	1.00%	0.35%	1.47%					
20	. Миронов Сергей Михайлович	882	7	14	5	5	6	86	10	11	13	15	9	11	15	12	14	13	13	12	10	27	9	10	17	20	9	11	8	0	6	7	7	7	3	17	10	10	38	4	3	9	6	9	19	11	26	7	15	11	15	15	17	15	4	18	12	16	16	11	5	20	4	11	17	15	9	25	11	2	3	1	2	0	1					
		0.63%	0.65%	0.88%	0.35%	0.31%	0.35%	5.27%	0.48%	0.52%	0.56%	0.66%	0.44%	0.57%	0.66%	0.59%	0.78%	0.60%	0.61%	0.51%	0.51%	1.27%	0.44%	0.48%	0.75%	0.81%	0.36%	0.47%	0.68%	0.00%	0.53%	0.74%	0.34%	0.34%	0.15%	0.78%	0.51%	0.47%	1.78%	0.20%	0.50%	0.41%	0.27%	0.38%	0.80%	0.50%	1.12%	0.41%	0.64%	0.42%	0.59%	0.63%	0.68%	0.59%	0.17%	0.75%	0.47%	0.63%	0.66%	0.49%	0.23%	0.72%	0.16%	0.46%	0.69%	0.65%	0.71%	1.02%	0.64%	0.60%	0.50%	0.48%	0.25%	0.00%	1.47%					
21	. Путин Владимир Владимирович	117744	861	1292	1212	1228	1618	1338	1784	1774	2188	1857	1611	1715	1831	1668	1458	1759	1831	1970	1582	1586	1670	1768	1854	2033	2091	2088	988	406	980	811	1645	2000	1976	1752	1578	1814	1708	1628	476	1782	1851	1899	2024	1788	2028	1394	2045	2228	2073	1997	2079	2140	1884	2040	2166	2183	2060	1903	2049	2402	2087	2017	2066	1953	976	1985	1310	279	477	170	694	235	51					
		83.85%	80.47%	80.80%	85.59%	76.08%	95.01%	82.04%	85.07%	83.21%	94.35%	81.59%	79.52%	89.04%	81.16%	81.52%	81.00%	81.06%	85.44%	83.37%	80.10%	74.67%	81.03%	83.99%	82.04%	82.08%	83.47%	88.93%	84.52%	85.12%	86.19%	85.64%	80.01%	98.18%	97.10%	80.00%	79.98%	85.57%	80.00%	80.04%	80.00%	82.08%	84.21%	79.99%	84.72%	81.09%	87.11%	82.00%	86.95%	84.71%	81.33%	83.59%	83.06%	84.55%	81.88%	85.00%	85.34%	85.41%	84.98%	84.65%	92.80%	87.03%	84.77%	84.71%	84.15%	84.51%	77.52%	80.63%	76.34%	84.04%	80.17%	82.13%	86.86%	83.33%	75.00%					
22	. Хакамада Ирина Муцуовна	4499	24	76	33	62	9	51	83	85	32	104	69	63	71	87	35	77	32	92	53	98	77	67	74	84	78	63	32	18	23	38	106	8	11	67	100	63	62	78	39	75	66	99	69	73	85	62	60	133	112	83	67	88	77	69	69	76	70	75	27	59	62	91	77	82	55	72	84	10	15	12	17	2	2					
		3.20%	2.24%	4.75%	2.33%	3.84%	0.53%	3.13%	3.96%	3.99%	1.38%	4.57%	3.41%	3.27%	3.15%	4.25%	1.94%	3.55%	1.49%	3.89%	2.68%	4.61%	3.74%	3.18%	3.27%	3.39%	3.11%	2.68%	2.74%	3.77%	2.02%	4.01%	5.16%	0.39%	0.54%	3.06%	5.07%	2.97%	2.90%	3.83%	6.55%	3.45%	3.00%	4.17%	2.89%	3.31%	3.65%	3.65%	2.55%	5.06%	4.39%	3.47%	2.68%	3.48%	3.35%	2.88%	2.72%	2.97%	2.89%	3.34%	1.22%	2.14%	2.52%	3.82%	3.14%	3.55%	4.37%	2.92%	4.90%	3.01%	2.52%	5.80%	2.13%	0.71%	2.94%					
23	. Харитонов Николай Михайлович	9140	119	123	114	203	28	56	137	121	24	189	212	58	202	161	154	171	161	146	168	210	162	162	181	191	191	76	85	17	65	33	151	3	14	197	200	150	170	204	30	143	187	161	139	177	67	125	97	105	168	146	221	137	175	137	141	146	143	148	51	143	180	143	137	127	109	129	149	22	68	6	41	24	9					
