Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
"Наименование Избирательной комиссии:    Оренбург, Промышленная"																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	89440	2216	1970	1340	1365	2428	1881	2213	2117	1735	2354	1250	2600	2037	2294	1654	1815	1655	1701	1931	2230	1338	2163	2031	2293	1340	784	1266	2792	2283	2000	2322	2099	1701	1818	1715	2976	2555	2869	2494	2061	1817	2503	1973	1835	1055	571									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	66726	1603	1450	1003	1010	1833	1434	1634	1563	1288	1779	978	2070	1526	1734	1230	1376	1245	1263	1532	1659	1005	1586	1502	1638	1005	597	939	2032	1702	1522	1751	1509	1257	1374	1266	2176	1890	2094	1905	1479	1343	1890	1493	1344	791	426									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31460	932	663	393	429	611	494	744	759	536	590	318	853	645	847	479	679	620	443	639	712	334	755	724	810	454	291	315	1020	823	705	734	696	598	656	592	772	1268	1330	1014	859	668	1034	948	792	586	296									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2032	88	17	20	18	34	37	36	26	17	11	41	15	50	50	80	98	22	52	20	129	18	28	32	71	17	15	27	39	59	37	89	27	15	50	8	384	36	6	12	7	16	21	12	29	93	23									
6	Число погашенных избирательных бюллетеней	33234	583	770	590	563	1188	903	854	778	735	1178	619	1202	831	837	671	599	603	768	873	818	653	803	746	757	534	291	597	973	820	780	928	786	644	668	666	1020	586	758	879	613	659	835	533	523	112	107									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2032	88	17	20	18	34	37	36	26	17	11	41	15	50	50	80	98	22	52	20	129	18	28	32	71	17	15	27	39	59	37	89	27	15	50	8	384	36	6	12	7	16	21	12	29	93	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31326	932	647	393	429	611	494	744	759	536	590	318	853	645	847	479	679	620	443	639	712	334	755	724	810	454	291	315	1020	823	705	645	696	598	656	592	772	1268	1330	1014	859	668	1034	948	763	586	296									
9	Число недействительных избирательных бюллетеней	808	41	28	16	9	8	10	21	32	13	20	11	16	17	22	6	17	16	11	17	28	1	19	17	21	25	7	7	30	21	8	11	13	14	23	18	56	12	25	12	16	22	24	25	13	3	6									
10	Число действительных избирательных бюллетеней	32550	979	636	397	438	637	521	759	753	540	581	348	852	678	875	553	760	626	484	642	813	351	764	739	860	446	299	335	1029	861	734	723	710	599	683	582	1100	1292	1311	1014	850	662	1031	935	779	676	313									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1115	22	22	18	20	20	26	20	30	17	30	15	44	30	25	20	25	21	25	25	42	15	20	30	25	15	11	15	37	32	25	25	30	15	20	15	30	32	38	31	30	20	25	25	27	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1065	19	22	16	17	18	25	20	28	17	27	15	41	30	25	17	23	21	21	25	42	13	20	30	25	14	11	15	37	32	25	25	30	11	17	13	30	30	38	31	27	19	25	23	25	20	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1004	25	37	9	14	15	21	9	18	10	4	8	25	18	75	6	25	11	8	7	10	12	43	14	94	15	16	8	35	16	11	7	20	15	30	22	22	35	58	41	58	16	10	30	14	5	2									
14	Число погашенных неиспользованных открепительных удостоверений	50	3	0	2	3	2	1	0	2	0	3	0	3	0	0	3	2	0	4	0	0	2	0	0	0	1	0	0	0	0	0	0	0	4	3	2	0	2	0	0	3	1	0	2	2	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	231	4	5	0	1	1	3	8	5	5	2	0	12	6	2	1	4	6	2	5	5	2	5	2	5	3	3	5	13	3	1	10	13	4	4	3	6	6	5	11	4	10	4	14	16	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	414	20	9	11	5	9	6	9	10	5	10	0	13	9	23	7	10	10	8	7	7	2	8	14	15	3	5	2	7	13	6	7	9	9	7	7	18	15	12	3	9	12	9	11	15	7	1									
		1.24%	1.96%	1.36%	2.66%	1.12%	1.40%	1.13%	1.15%	1.27%	0.90%	1.66%	0.00%	1.50%	1.29%	2.56%	1.25%	1.29%	1.56%	1.62%	1.06%	0.83%	0.57%	1.02%	1.85%	1.70%	0.64%	1.63%	0.58%	0.66%	1.47%	0.81%	0.95%	1.24%	1.47%	0.99%	1.17%	1.56%	1.15%	0.90%	0.29%	1.04%	1.75%	0.85%	1.15%	1.89%	1.03%	0.31%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	823	36	17	6	10	20	13	25	32	20	4	8	29	27	22	16	31	15	11	16	17	4	20	32	23	14	8	11	24	18	10	19	9	10	20	14	19	15	26	7	17	26	27	21	21	26	7									
		2.47%	3.53%	2.56%	1.45%	2.24%	3.10%	2.45%	3.21%	4.08%	3.62%	0.67%	2.23%	3.34%	3.88%	2.45%	2.86%	3.99%	2.34%	2.22%	2.43%	2.02%	1.14%	2.55%	4.23%	2.61%	2.97%	2.61%	3.22%	2.27%	2.04%	1.35%	2.59%	1.24%	1.63%	2.83%	2.33%	1.64%	1.15%	1.95%	0.68%	1.96%	3.80%	2.56%	2.19%	2.65%	3.83%	2.19%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	576	17	6	6	10	17	8	14	14	14	10	4	16	10	25	9	14	11	4	10	19	7	14	18	19	4	5	3	22	14	11	20	17	11	16	8	15	11	28	3	18	9	25	21	9	8	2									
		1.73%	1.67%	0.90%	1.45%	2.24%	2.64%	1.51%	1.79%	1.78%	2.53%	1.66%	1.11%	1.84%	1.44%	2.79%	1.61%	1.80%	1.71%	0.81%	1.52%	2.26%	1.99%	1.79%	2.38%	2.16%	0.85%	1.63%	0.88%	2.08%	1.59%	1.48%	2.72%	2.35%	1.79%	2.27%	1.33%	1.30%	0.84%	2.10%	0.29%	2.08%	1.32%	2.37%	2.19%	1.14%	1.18%	0.63%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12292	355	210	142	193	215	183	223	279	199	209	145	268	249	322	184	310	234	165	239	319	123	248	247	369	184	112	118	388	312	234	262	250	181	266	210	467	711	522	448	319	196	356	309	278	371	168									
