Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																															
Дата голосования: 07.12.2003 0:00:00																															
																															
Наименование Избирательной комиссии:    Котласская																															
																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																															
																															
		Сумма	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461					
1	"Число избирателей, внесенных в списки"	18802	1420	890	372	366	2187	139	158	550	669	285	1211	1859	1317	1438	411	692	271	225	1061	969	391	256	299	1366					
2	"Число бюллетеней, полученных участковыми комиссиями"	17012	1240	855	362	360	2000	131	153	491	605	246	1090	1635	1210	1300	370	620	245	201	975	895	352	230	246	1200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	75	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10346	831	463	232	187	1288	80	91	317	348	57	568	1108	687	687	251	321	124	100	557	500	194	127	166	1062					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1019	19	31	24	41	56	9	20	36	32	127	98	71	47	42	22	47	37	28	53	48	0	80	31	20					
6	Число погашенных бюллетеней	5572	315	361	106	132	656	42	42	138	225	62	424	456	476	571	97	252	84	73	365	347	158	23	49	118					
7	Число бюллетеней в переносных ящиках для голосования	1094	94	31	24	41	56	9	20	36	32	127	98	71	47	42	22	47	37	28	53	48	0	80	31	20					
8	Число бюллетеней в стационарных ящиках для голосования	10343	830	463	232	187	1288	80	91	317	348	57	568	1106	687	687	251	321	124	100	557	500	194	127	166	1062					
9	Число недействительных бюллетеней	147	6	8	2	1	18	4	4	2	7	5	8	14	9	10	3	4	2	6	11	10	1	3	3	6					
10	Число действительных бюллетеней	11290	918	486	254	227	1326	85	107	351	373	179	658	1163	725	719	270	364	159	122	599	538	193	204	194	1076					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	355	30	20	10	10	40	5	5	10	10	5	25	25	25	25	5	15	5	5	15	15	5	10	5	30					
