Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Северо-Енисейская																	
																	
Итоги голосования 																	
																	
		Сумма	УИК  1879	УИК  1880	УИК  1881	УИК  1882	УИК  1883	УИК  1884	УИК  1885	УИК  1886	УИК  1887	УИК  1888					
1	"Число избирателей, внесенных в список"	8308	1741	1563	1350	1208	632	687	358	539	103	127					
2	Число полученных избирательных бюллетеней	7735	1200	1200	1100	1000	630	1397	384	548	150	126					
3	"Число избирательных бюллетеней, выданных  досрочно"	62	0	0	0	0	0	0	44	0	0	18					
4	"Число избирательных бюллетеней, выданных в день голосования"	4723	976	847	770	657	352	436	282	259	62	82					
5	"Число избирательных бюллетеней, выданных вне помещения"	844	88	34	73	67	193	204	3	138	31	13					
6	Число погашенных избирательных бюллетеней	2106	136	319	257	276	85	757	55	151	57	13					
7	Число избирательных бюллетеней в переносных ящиках	906	88	34	73	67	193	204	47	138	31	31					
8	Число бюллетеней в стационарных ящиках для голосования	4723	976	847	770	657	352	436	282	259	62	82					
9	Число недействительных избирательных бюллетеней	45	8	8	8	5	3	1	5	5	2	0					
10	Число действительных избирательных бюллетеней	5584	1056	873	835	719	542	639	324	392	91	113					
11	Число полученных открепительных  удостоверений	150	20	20	20	30	20	10	10	10	5	5					
12	Число выданных открепительных удостоверений	79	11	7	10	23	3	6	4	10	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	41	5	7	4	4	5	4	4	1	6	1					
14	Число неиспользованных открепительных удостоверений	71	9	13	10	7	17	4	6	0	5	0					
15	"Число открепительных удостоверений, выданных в ТИК"	4	1	1	2	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	441	83	63	73	63	25	53	20	32	6	23					
		7.83%	7.80%	7.15%	8.66%	8.70%	4.59%	8.28%	6.08%	8.06%	6.45%	20.35%					
19	. Малышкин Олег Александрович	168	30	29	32	12	21	14	7	17	2	4					
		2.98%	2.82%	3.29%	3.80%	1.66%	3.85%	2.19%	2.13%	4.28%	2.15%	3.54%					
20	. Миронов Сергей Михайлович	52	11	5	4	5	2	9	5	7	1	3					
		0.92%	1.03%	0.57%	0.47%	0.69%	0.37%	1.41%	1.52%	1.76%	1.08%	2.65%					
21	. Путин Владимир Владимирович	4121	758	636	599	556	408	467	269	287	72	69					
		73.21%	71.24%	72.19%	71.06%	76.80%	74.86%	72.97%	81.76%	72.29%	77.42%	61.06%					
22	. Хакамада Ирина Муцуовна	214	51	38	40	10	26	33	5	10	1	0					
		3.80%	4.79%	4.31%	4.74%	1.38%	4.77%	5.16%	1.52%	2.52%	1.08%	0.00%					
23	. Харитонов Николай Михайлович	324	73	52	39	38	41	34	12	21	5	9					
		5.76%	6.86%	5.90%	4.63%	5.25%	7.52%	5.31%	3.65%	5.29%	5.38%	7.96%					
																	
24	Против всех	264	50	50	48	35	19	29	6	18	4	5					
		4.69%	4.70%	5.68%	5.69%	4.83%	3.49%	4.53%	1.82%	4.53%	4.30%	4.42%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
