Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Ершичская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5810	2025	1040	155	224	754	250	291	128	166	345	115	184	133									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5690	2055	1004	140	200	766	240	290	115	150	340	100	170	120									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2335	862	367	76	64	275	107	122	65	48	119	61	105	64									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	495	26	77	29	65	67	59	20	27	50	28	7	24	16									
6	Число погашенных избирательных бюллетеней	2860	1167	560	35	71	424	74	148	23	52	193	32	41	40									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	495	26	77	29	65	67	59	20	27	50	28	7	24	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2333	861	366	76	64	275	107	122	65	48	119	61	105	64									
9	Число недействительных избирательных бюллетеней	54	22	15	4	1	5	0	3	0	2	2	0	0	0									
10	Число действительных избирательных бюллетеней	2774	865	428	101	128	337	166	139	92	96	145	68	129	80									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	61	23	8	2	3	5	2	3	2	2	3	2	2	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	26	12	6	1	1	1	0	0	0	0	1	1	0	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	33	6	4	2	2	5	0	1	2	3	2	2	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	35	11	2	1	2	4	2	3	2	2	2	1	2	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	6	5	0	0	0	0	1	0	0	3	0	5	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	15	6	3	0	1	1	1	0	0	0	2	1	0	0									
		0.53%	0.68%	0.68%	0.00%	0.78%	0.29%	0.60%	0.00%	0.00%	0.00%	1.36%	1.47%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	76	29	9	4	4	12	2	2	0	2	5	0	4	3									
		2.69%	3.27%	2.03%	3.81%	3.10%	3.51%	1.20%	1.41%	0.00%	2.04%	3.40%	0.00%	3.10%	3.75%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	38	14	11	0	3	4	0	3	2	0	0	0	1	0									
		1.34%	1.58%	2.48%	0.00%	2.33%	1.17%	0.00%	2.11%	2.17%	0.00%	0.00%	0.00%	0.78%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1665	467	227	66	76	228	108	96	64	60	79	49	86	59									
		58.88%	52.65%	51.24%	62.86%	58.91%	66.67%	65.06%	67.61%	69.57%	61.22%	53.74%	72.06%	66.67%	73.75%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	10	5	1	0	2	0	1	0	0	0	0	0	1	0									
		0.35%	0.56%	0.23%	0.00%	1.55%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	3	0	1	0	1	2	0	1	0	0	1	0	0									
		0.32%	0.34%	0.00%	0.95%	0.00%	0.29%	1.20%	0.00%	1.09%	0.00%	0.00%	1.47%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	461	157	76	19	24	50	27	20	10	18	25	13	12	10									
		16.30%	17.70%	17.16%	18.10%	18.60%	14.62%	16.27%	14.08%	10.87%	18.37%	17.01%	19.12%	9.30%	12.50%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	7	3	2	0	0	2	0	0	0	0	0	0	0	0									
		0.25%	0.34%	0.45%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	5	1	2	0	0	0	0	0	0	0	0	1	1	0									
		0.18%	0.11%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.47%	0.78%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	1	0	1	0	0	0	0	0	0	0	0	0	0	0									
		0.04%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	18	11	1	0	0	3	0	1	1	0	1	0	0	0									
		0.64%	1.24%	0.23%	0.00%	0.00%	0.88%	0.00%	0.70%	1.09%	0.00%	0.68%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	415	143	86	10	18	28	24	16	13	15	32	2	22	6									
		14.67%	16.12%	19.41%	9.52%	13.95%	8.19%	14.46%	11.27%	14.13%	15.31%	21.77%	2.94%	17.05%	7.50%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	15	6	2	1	0	2	0	1	0	0	1	0	2	0									
		0.53%	0.68%	0.45%	0.95%	0.00%	0.58%	0.00%	0.70%	0.00%	0.00%	0.68%	0.00%	1.55%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	39	20	7	0	0	6	1	0	1	1	0	1	0	2									
		1.38%	2.25%	1.58%	0.00%	0.00%	1.75%	0.60%	0.00%	1.09%	1.02%	0.00%	1.47%	0.00%	2.50%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
