Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Калачинская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35529	1599	427	177	96	211	1104	167	122	714	166	565	73	461	231	867	55	345	81	507	182	527	38	1084	169	341	188	1192	629	610	63	536	125	253	420	727	99	614	998	1066	1204	1184	988	1084	652	1112	1086	1108	1359	1346	1565	1486	1188	1093	1174	71									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34608	1600	435	173	95	218	1100	171	121	730	166	575	78	465	235	865	56	348	81	520	191	540	42	1090	170	338	197	1200	645	620	67	540	134	257	420	735	99	600	1000	1000	1100	1100	900	1000	650	1100	1000	1100	1300	1300	1420	1350	1100	1100	1100	71									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12894	499	141	79	31	53	428	54	40	288	70	197	35	206	107	299	27	182	38	196	70	221	24	454	64	127	69	408	213	252	24	223	50	95	127	300	46	254	456	352	430	391	366	364	217	366	417	425	473	469	604	478	421	281	348	45									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1078	57	17	7	18	6	56	0	2	40	6	28	3	30	9	69	0	14	2	24	17	21	0	41	5	14	12	39	9	45	3	42	0	14	31	18	4	11	22	9	14	22	14	11	8	26	18	18	33	22	34	17	25	18	31	22									
6	Число погашенных избирательных бюллетеней	20636	1044	277	87	46	159	616	117	79	402	90	350	40	229	119	497	29	152	41	300	104	298	18	595	101	197	116	753	423	323	40	275	84	148	262	417	49	335	522	639	656	687	520	625	425	708	565	657	794	809	782	855	654	801	721	4									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1078	57	17	7	18	6	56	0	2	40	6	28	3	30	9	69	0	14	2	24	17	21	0	41	5	14	12	39	9	45	3	42	0	14	31	18	4	11	22	9	14	22	14	11	8	26	18	18	33	22	34	17	25	18	31	22									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12885	497	141	79	31	53	428	54	40	288	70	197	35	206	107	299	27	182	38	196	70	221	24	454	64	127	69	408	213	252	24	223	50	95	127	300	46	254	456	352	430	390	366	364	217	366	417	425	473	463	604	478	421	281	348	45									
9	Число недействительных избирательных бюллетеней	476	25	4	3	2	3	18	1	2	11	3	7	0	13	5	20	3	4	2	4	4	2	0	13	2	8	4	15	8	16	1	5	1	11	7	9	4	4	14	14	13	15	11	7	8	11	10	15	20	11	22	16	16	12	12	5									
10	Число действительных избирательных бюллетеней	13487	529	154	83	47	56	466	53	40	317	73	218	38	223	111	348	24	192	38	216	83	240	24	482	67	133	77	432	214	281	26	260	49	98	151	309	46	261	464	347	431	397	369	368	217	381	425	428	486	474	616	479	430	287	367	62									
