Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																				
Дата голосования: 04.12.2011																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Клинская																																																																																				
																																																																																				
Сводная таблица результатов выборов																																																																																				
																																																																																				
		Сумма	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860					
1	"Число избирателей, внесенных в список избирателей"	107013	1296	2084	1244	2030	1920	1499	1129	2150	1769	1501	684	1450	2010	905	1299	1988	2361	1864	1027	2196	2070	1603	1191	1611	2263	1605	1517	1051	2510	1091	1319	1826	1607	1647	2184	2149	1987	1500	2479	2436	2418	1483	267	334	426	453	329	403	438	540	1714	972	282	516	313	1419	1125	2079	1454	1993	1733	1327	1170	687	527	1457	1616	774	1014	364	391	1675	1785	1898	1897	506	1182					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	93950	1000	1800	1000	1800	1700	1200	1000	1800	1500	1300	500	1200	1800	700	1000	1700	2000	1700	800	2000	1800	1300	900	1500	2000	1300	1300	800	2200	800	1000	1500	1500	1500	2000	2000	1700	1300	2200	2200	2500	1300	250	330	410	420	300	400	440	520	1500	1000	260	500	330	1200	1000	2000	1500	1800	1500	1200	1000	690	480	1300	1500	780	1000	370	380	1500	1500	1500	1500	490	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	53357	564	1005	548	841	1090	945	672	1216	894	705	285	787	975	428	728	1184	900	1013	515	1257	1100	766	545	890	1186	876	828	573	1330	571	665	987	807	809	1295	1141	958	737	1233	1293	1520	804	158	183	177	252	180	164	167	200	966	499	124	258	177	703	431	911	641	931	716	608	497	295	245	473	709	365	447	160	94	725	770	992	935	219	519					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3835	32	31	22	65	83	14	14	168	31	19	9	51	45	39	6	51	353	16	19	24	20	21	159	31	46	28	28	20	34	14	38	23	31	36	30	36	44	7	7	19	57	39	20	19	100	43	34	65	49	66	25	20	18	63	0	56	134	50	81	65	66	78	161	87	32	84	17	40	114	51	115	101	37	12	17	36	19					
6	Число погашенных избирательных бюллетеней	36754	404	764	430	894	527	241	314	416	575	576	206	362	780	233	266	465	747	671	266	719	680	513	196	579	768	396	444	207	836	215	295	490	662	655	675	823	698	556	960	888	923	457	72	128	133	125	86	171	224	254	509	481	118	179	153	441	435	1039	778	802	718	514	342	308	203	743	774	375	439	159	171	674	693	496	548	235	462					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3834	32	31	22	65	83	14	14	168	31	19	9	51	45	39	6	51	353	16	19	24	20	21	158	31	46	28	28	20	34	14	38	23	31	36	30	36	44	7	7	19	57	39	20	19	100	43	34	65	49	66	25	20	18	63	0	56	134	50	81	65	66	78	161	87	32	84	17	40	114	51	115	101	37	12	17	36	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	52978	564	1005	548	841	1090	945	672	911	894	705	285	787	975	428	728	1133	900	1013	515	1257	1100	765	545	890	1186	876	824	573	1330	571	665	987	807	809	1295	1141	958	736	1230	1287	1515	803	158	183	177	252	180	164	167	200	966	499	124	258	177	703	431	911	641	929	716	608	497	295	245	473	709	365	447	160	94	725	770	992	935	219	519					
9	Число недействительных избирательных бюллетеней	1547	12	15	10	18	20	30	16	21	6	11	11	20	35	9	21	38	46	26	11	24	21	31	33	31	38	28	7	17	21	17	29	50	19	20	26	37	28	18	32	31	49	39	2	6	7	1	3	6	3	6	36	11	3	4	11	27	10	19	19	28	28	20	17	6	6	14	17	10	25	6	3	37	40	32	42	6	14					
10	Число действительных избирательных бюллетеней	55265	584	1021	560	888	1153	929	670	1058	919	713	283	818	985	458	713	1146	1207	1003	523	1257	1099	755	670	890	1194	876	845	576	1343	568	674	960	819	825	1299	1140	974	725	1205	1275	1523	803	176	196	270	294	211	223	213	260	955	508	139	317	166	732	555	942	703	966	754	666	641	376	271	543	709	395	536	205	206	789	767	972	910	249	524					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2540	25	40	25	30	50	30	25	40	40	25	10	40	30	10	45	35	35	25	20	45	45	30	15	30	40	30	35	30	40	30	25	45	25	30	55	35	30	25	85	80	60	60	10	5	10	15	15	10	20	30	50	50	10	10	40	60	50	50	50	40	50	25	30	20	30	45	70	35	40	5	5	30	30	35	35	10	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2100	23	28	21	12	42	25	17	39	32	23	7	38	28	5	32	35	33	21	16	39	44	28	13	24	37	20	26	24	34	19	19	40	24	30	50	32	25	24	75	69	60	55	10	3	4	3	11	10	16	8	39	47	1	3	21	55	48	48	50	37	48	17	24	20	24	42	61	17	21	2	3	26	23	26	29	3	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1478	14	12	12	28	24	21	34	20	10	19	13	22	20	14	19	23	33	14	22	17	14	13	45	22	16	34	26	21	28	20	26	25	19	29	31	26	24	17	11	21	12	21	15	5	11	23	47	15	9	14	22	13	18	16	2	18	19	19	28	16	14	18	9	10	22	17	48	11	14	15	10	19	9	13	15	14	18					
