Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																					
Дата голосования: 02.12.2007																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Клинская																																																																																					
																																																																																					
Сводная таблица результатов выборов																																																																																					
																																																																																					
		Сумма	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836					
1	"Число избирателей, внесенных в списки избирателей"	108318	1284	2094	1333	1685	529	2000	1536	1169	2424	1735	1878	651	1414	2287	883	1326	1893	2426	1923	1044	2121	2015	1544	1226	1644	2374	1697	1562	1142	2625	1105	1321	1932	1665	1702	2332	2249	1979	1531	1985	2527	2378	1663	1793	1926	1976	447	1114	330	459	1499	251	339	401	401	298	373	348	456	1797	937	237	505	293	1145	673	552	1781	1650	1993	1401	1941	1727	1268	752	891	1458	1073					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	105630	1200	2000	1200	1600	500	2000	1500	1100	2200	1600	1800	650	1400	2200	850	1200	1900	2400	1900	1000	2000	2000	1500	1000	1600	2400	1700	1600	1100	2600	1100	1300	1900	1700	1600	2300	2200	2000	1500	1900	2500	2200	1600	1800	1900	1900	430	1000	320	430	1500	230	330	400	390	290	360	340	450	1800	1000	230	490	320	1100	690	480	1800	1650	1900	1450	1950	1750	1250	750	850	1500	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	65829	678	1272	664	746	349	1238	972	696	1359	987	1317	349	868	1176	486	789	1204	1151	1166	614	1347	1266	934	685	1025	1480	1060	1019	818	1826	646	828	1133	994	967	1471	1355	1467	955	1190	1536	1693	890	935	1200	1181	242	584	178	171	1072	193	260	216	286	188	187	187	226	1172	714	175	348	212	620	433	381	1034	1419	1228	887	1200	982	680	447	589	830	506					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	5073	43	24	92	64	2	37	19	37	152	151	99	14	25	102	59	19	102	328	18	17	14	18	23	205	30	43	53	39	28	67	24	37	27	27	47	35	43	40	19	12	24	13	96	62	25	34	79	60	91	175	71	22	25	76	32	34	90	70	89	32	38	47	75	0	182	92	33	155	32	87	112	185	89	118	128	66	55	144					
6	Число погашенных избирательных бюллетеней	34728	479	704	444	790	149	725	509	367	689	462	384	287	507	922	305	392	594	921	716	369	639	716	543	110	545	877	587	542	254	707	430	435	740	679	586	794	802	493	526	698	940	494	614	803	675	685	109	356	51	84	357	15	45	108	72	68	83	83	135	596	248	8	67	108	298	165	66	611	199	585	451	565	679	452	175	195	615	450					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5073	43	24	92	64	2	37	19	37	152	151	99	14	25	102	59	19	102	328	18	17	14	18	23	205	30	43	53	39	28	67	24	37	27	27	47	35	43	40	19	12	24	13	96	62	25	34	79	60	91	175	71	22	25	76	32	34	90	70	89	32	38	47	75	0	182	92	33	155	32	87	112	185	89	118	128	66	55	144					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	65788	678	1272	664	743	349	1235	972	696	1359	987	1317	349	868	1176	486	789	1204	1151	1166	614	1347	1266	934	685	1025	1480	1060	1019	818	1826	646	828	1133	994	967	1471	1354	1467	952	1178	1523	1690	890	935	1199	1181	242	584	178	171	1070	193	260	216	286	188	187	187	226	1172	714	175	348	212	620	433	381	1034	1419	1228	887	1200	982	680	447	589	830	506					
9	Число недействительных избирательных бюллетеней	858	9	6	11	9	5	15	10	10	18	0	15	6	13	10	6	13	18	17	18	13	28	29	20	15	19	17	11	9	9	29	12	14	14	18	19	24	13	10	10	23	23	27	11	16	26	13	5	8	0	2	3	0	3	5	4	0	4	3	0	12	6	0	2	15	2	6	3	4	8	5	5	13	8	15	3	7	12	14					
10	Число действительных избирательных бюллетеней	70003	712	1290	745	798	346	1257	981	723	1493	1138	1401	357	880	1268	539	795	1288	1462	1166	618	1333	1255	937	875	1036	1506	1102	1049	837	1864	658	851	1146	1003	995	1482	1384	1497	961	1167	1524	1676	975	981	1198	1202	316	636	269	344	1138	215	282	287	314	222	273	254	315	1192	746	222	421	197	800	519	411	1185	1443	1310	994	1372	1063	783	572	648	873	636					
