Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																							
Дата голосования: 04.12.2011																																							
																																							
Наименование Избирательной комиссии:    Цимлянская 																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №2562	УИК №2587	УИК №2646	УИК №2647					
1	"Число избирателей, внесенных в список избирателей"	29485	1589	1676	1484	1398	1795	1685	1405	1187	1790	1227	650	429	1453	539	504	795	463	158	200	787	175	391	702	232	968	342	665	1431	884	1051	918	512					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26630	1370	1500	1340	1280	1570	1530	1110	1100	1600	1120	590	380	1340	480	460	720	420	150	200	730	170	350	630	210	880	310	600	1310	890	960	830	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	17300	970	1046	975	744	985	1007	794	602	1117	656	237	241	995	261	262	473	287	80	97	541	102	281	473	168	505	187	286	960	578	669	426	295					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1749	159	66	53	39	111	30	65	63	58	86	35	34	32	31	15	43	60	17	25	36	10	26	87	21	132	34	42	209	16	38	65	11					
6	Число погашенных избирательных бюллетеней	7581	241	388	312	497	474	493	251	435	425	378	318	105	313	188	183	204	73	53	78	153	58	43	70	21	243	89	272	141	296	253	339	194					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1749	159	66	53	39	111	30	65	63	58	86	35	34	32	31	15	43	60	17	25	36	10	26	87	21	132	34	42	209	16	38	65	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17296	970	1046	975	744	985	1007	794	602	1117	656	237	241	995	261	262	473	287	80	97	541	102	281	473	168	505	187	286	960	578	667	424	295					
9	Число недействительных избирательных бюллетеней	261	13	12	12	9	5	14	7	18	14	10	5	3	11	1	6	2	1	1	0	5	6	36	2	17	1	4	7	10	9	12	6	2					
10	Число действительных избирательных бюллетеней	18784	1116	1100	1016	774	1091	1023	852	647	1161	732	267	272	1016	291	271	514	346	96	122	572	106	271	558	172	636	217	321	1159	585	693	483	304					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	485	28	30	25	20	20	30	20	20	20	20	10	5	22	10	10	15	10	5	5	15	5	5	15	5	18	10	10	20	12	15	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	369	28	29	25	20	17	30	17	12	15	12	0	2	22	9	10	6	3	0	3	15	1	1	4	0	18	8	6	8	12	15	11	10					
