Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
"Наименование Избирательной комиссии:    Воронеж, Ленинская"																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №8205	УИК №8207	УИК №8208	УИК №8212	УИК №8213	УИК №8214									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	113805	2922	2726	2405	2823	1882	2138	2631	2788	2425	2797	2473	1660	1997	1767	2575	1799	2674	2611	2488	294	2524	1973	2338	2212	2064	2074	2061	1138	1455	1571	2104	1841	2397	1650	1534	1122	1708	2620	2429	2705	2492	1388	1208	2089	2367	1720	2132	3340	2054	1847	1652	3395	2726									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	132950	2500	2500	2000	2500	2000	2000	2500	2500	2000	2500	2500	1500	2000	1500	2500	1500	2500	2500	2000	300	2500	2000	2000	2000	2000	2000	2000	1000	1500	1500	1350	1500	2000	1500	1500	1000	1500	2500	2000	2500	2000	1000	1000	2000	2000	1500	2000	7700	7600	7500	7400	7800	5800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	49169	1354	1188	1194	1288	516	698	834	1203	1130	1191	927	390	529	455	1402	554	903	956	845	281	658	390	734	569	469	729	642	397	415	610	1101	732	596	635	475	356	571	779	854	871	812	395	320	698	772	530	740	3289	2015	1810	1367	3304	2696									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2486	15	115	15	42	19	6	21	371	42	51	99	46	27	21	69	60	38	27	69	0	51	25	27	124	16	79	15	6	16	18	18	23	39	28	20	33	12	15	65	27	7	14	14	64	8	14	22	51	39	37	285	91	30									
6	Число погашенных избирательных бюллетеней	81295	1131	1197	791	1170	1465	1296	1645	926	828	1258	1474	1064	1444	1024	1029	886	1559	1517	1086	19	1791	1585	1239	1307	1515	1192	1343	597	1069	872	231	745	1365	837	1005	611	917	1706	1081	1602	1181	591	666	1238	1220	956	1238	4360	5546	5653	5748	4405	3074									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2486	15	115	15	42	19	6	21	371	42	51	99	46	27	21	69	60	38	27	69	0	51	25	27	124	16	79	15	6	16	18	18	23	39	28	20	33	12	15	65	27	7	14	14	64	8	14	22	51	39	37	285	91	30									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	49096	1354	1188	1192	1284	516	698	834	1203	1130	1191	927	390	529	454	1402	554	903	956	845	281	658	388	734	569	469	729	642	397	415	610	1101	732	596	635	475	356	571	779	854	870	811	395	320	698	772	530	740	3229	2015	1808	1367	3304	2696									
9	Число недействительных избирательных бюллетеней	760	22	25	15	12	15	9	10	21	13	15	20	2	7	6	21	12	11	20	15	12	22	5	17	6	8	32	11	10	5	18	26	10	7	10	12	9	4	8	19	11	15	3	9	8	16	10	13	33	18	17	12	45	28									
10	Число действительных избирательных бюллетеней	50822	1347	1278	1192	1314	520	695	845	1553	1159	1227	1006	434	549	469	1450	602	930	963	899	269	687	408	744	687	477	776	646	393	426	610	1093	745	628	653	483	380	579	786	900	886	803	406	325	754	764	534	749	3247	2036	1828	1640	3350	2698									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	885	20	10	15	15	100	20	40	10	25	11	10	20	10	10	15	15	29	25	20	0	15	15	15	15	14	10	15	15	10	15	15	15	20	15	15	10	20	25	20	25	25	10	10	20	21	15	25	3	4	4	3	3	3									
