Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																					
Дата голосования: 02.12.2007																																					
																																					
Наименование Избирательной комиссии:    Богдановичская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277					
1	"Число избирателей, внесенных в списки избирателей"	39844	1778	1983	1926	2354	504	2307	260	2407	2160	2401	1956	1319	437	1173	159	1056	912	1556	1115	466	1421	2495	1004	589	103	732	564	678	2043	1986					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	39750	1800	2000	1900	2300	500	2300	300	2300	2300	2400	1950	1200	400	1200	150	1000	900	1600	1100	500	1400	2450	1000	600	150	750	550	700	2100	1950					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	22037	1064	1181	1150	1378	283	1321	210	1234	1270	1226	1096	596	235	732	78	489	565	867	589	271	771	1208	568	310	68	356	308	356	1121	1136					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1489	18	75	26	51	24	71	15	76	33	50	45	127	9	37	5	91	37	31	85	19	89	136	46	35	10	52	26	31	70	69					
6	Число погашенных избирательных бюллетеней	16224	718	744	724	871	193	908	75	990	997	1124	809	477	156	431	67	420	298	702	426	210	540	1106	386	255	72	342	216	313	909	745					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1489	18	75	26	51	24	71	15	76	33	50	45	127	9	37	5	91	37	31	85	19	89	136	46	35	10	52	26	31	70	69					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22037	1064	1181	1150	1378	283	1321	210	1234	1270	1226	1096	596	235	732	78	489	565	867	589	271	771	1208	568	310	68	356	308	356	1121	1136					
9	Число недействительных избирательных бюллетеней	213	13	11	11	8	2	15	2	19	5	13	7	7	0	5	0	2	0	9	4	2	10	11	14	7	1	3	3	3	15	11					
10	Число действительных избирательных бюллетеней	23313	1069	1245	1165	1421	305	1377	223	1291	1298	1263	1134	716	244	764	83	578	602	889	670	288	850	1333	600	338	77	405	331	384	1176	1194					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	420	20	15	15	27	5	20	0	20	20	17	20	10	5	15	5	7	25	35	10	10	7	9	15	15	15	10	5	8	15	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	404	20	15	14	27	5	20	0	20	20	17	20	10	2	15	2	7	25	35	10	7	7	9	13	15	15	10	4	8	12	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	214	7	16	7	5	7	12	4	11	11	2	7	2	5	1	4	5	9	6	10	4	5	12	3	4	0	3	2	4	22	24					
14	Число погашенных неиспользованных открепительных удостоверений	16	0	0	1	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	3	0	0	2	0	0	0	1	0	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	0	3	1	1	0	2	0	2	3	2	1	3	2	0	0	0	1	0	0	0	3	0	0	2	0	0	0	0	3	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
18	1.Политическая партия «Аграрная партия России»	545	26	18	23	22	3	26	2	28	24	34	28	4	4	19	3	25	11	20	19	11	31	67	8	13	5	11	7	3	22	28					
		2.32%	2.40%	1.43%	1.96%	1.54%	0.98%	1.87%	0.89%	2.14%	1.84%	2.66%	2.45%	0.55%	1.64%	2.47%	3.61%	4.31%	1.83%	2.23%	2.82%	3.79%	3.60%	4.99%	1.30%	3.77%	6.41%	2.70%	2.10%	0.78%	1.85%	2.32%					
19	2.Всероссийская политическая партия «Гражданская Сила»	800	36	43	34	60	5	33	5	60	58	31	44	33	12	11	9	5	7	11	8	38	59	25	43	3	8	6	5	14	45	49					
		3.40%	3.33%	3.42%	2.89%	4.20%	1.63%	2.37%	2.22%	4.58%	4.45%	2.43%	3.86%	4.56%	4.92%	1.43%	10.84%	0.86%	1.16%	1.22%	1.19%	13.10%	6.86%	1.86%	7.00%	0.87%	10.26%	1.47%	1.50%	3.62%	3.78%	4.07%					
20	3.Политическая партия «Демократическая партия России»	17	1	0	2	0	0	0	0	0	0	0	0	2	1	1	1	0	1	0	0	0	0	1	0	2	0	0	0	3	1	1					
		0.07%	0.09%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.41%	0.13%	1.20%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.58%	0.00%	0.00%	0.00%	0.78%	0.08%	0.08%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2169	137	131	123	123	19	167	13	112	85	97	119	56	30	40	8	58	63	40	71	26	66	102	46	58	9	42	40	35	120	133					
		9.22%	12.66%	10.43%	10.46%	8.61%	6.19%	11.99%	5.78%	8.55%	6.52%	7.60%	10.43%	7.75%	12.30%	5.20%	9.64%	10.00%	10.47%	4.45%	10.53%	8.97%	7.67%	7.59%	7.49%	16.81%	11.54%	10.29%	11.98%	9.04%	10.08%	11.04%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	151	6	12	30	13	0	6	1	5	14	3	17	2	2	0	0	3	0	3	1	0	1	5	3	2	0	1	3	0	11	7					
		0.64%	0.55%	0.96%	2.55%	0.91%	0.00%	0.43%	0.44%	0.38%	1.07%	0.24%	1.49%	0.28%	0.82%	0.00%	0.00%	0.52%	0.00%	0.33%	0.15%	0.00%	0.12%	0.37%	0.49%	0.58%	0.00%	0.25%	0.90%	0.00%	0.92%	0.58%					
23	6.Политическая партия «Партия социальной справедливости»	34	2	2	4	5	3	3	1	1	0	0	1	1	0	0	0	2	1	0	0	0	0	2	0	1	1	0	0	1	0	3					
		0.14%	0.18%	0.16%	0.34%	0.35%	0.98%	0.22%	0.44%	0.08%	0.00%	0.00%	0.09%	0.14%	0.00%	0.00%	0.00%	0.34%	0.17%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.29%	1.28%	0.00%	0.00%	0.26%	0.00%	0.25%					
24	7.Политическая партия «Либерально-демократическая партия России»	2370	116	131	110	141	27	191	13	147	159	143	134	85	21	63	7	33	38	83	58	18	87	118	65	33	7	30	34	35	139	104					
		10.07%	10.72%	10.43%	9.35%	9.87%	8.79%	13.72%	5.78%	11.22%	12.20%	11.21%	11.74%	11.76%	8.61%	8.19%	8.43%	5.69%	6.31%	9.24%	8.61%	6.21%	10.12%	8.78%	10.59%	9.57%	8.97%	7.35%	10.18%	9.04%	11.67%	8.63%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1005	56	66	72	79	10	53	7	63	48	69	55	27	6	31	4	22	14	33	19	12	20	50	30	5	1	12	7	12	59	63					
		4.27%	5.18%	5.25%	6.12%	5.53%	3.26%	3.81%	3.11%	4.81%	3.68%	5.41%	4.82%	3.73%	2.46%	4.03%	4.82%	3.79%	2.33%	3.67%	2.82%	4.14%	2.33%	3.72%	4.89%	1.45%	1.28%	2.94%	2.10%	3.10%	4.95%	5.23%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	128	7	5	7	16	1	6	1	9	8	5	6	8	4	2	0	6	1	5	0	0	4	5	4	1	0	3	0	2	4	8					
		0.54%	0.65%	0.40%	0.60%	1.12%	0.33%	0.43%	0.44%	0.69%	0.61%	0.39%	0.53%	1.11%	1.64%	0.26%	0.00%	1.03%	0.17%	0.56%	0.00%	0.00%	0.47%	0.37%	0.65%	0.29%	0.00%	0.74%	0.00%	0.52%	0.34%	0.66%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	15922	671	822	744	948	236	885	179	863	892	866	724	495	162	592	50	423	460	685	489	182	577	955	399	220	46	299	231	278	760	789					
		67.68%	62.01%	65.45%	63.27%	66.34%	76.87%	63.58%	79.56%	65.88%	68.46%	67.87%	63.45%	68.46%	66.39%	76.98%	60.24%	72.93%	76.41%	76.28%	72.55%	62.76%	67.09%	71.06%	64.98%	63.77%	58.97%	73.28%	69.16%	71.83%	63.81%	65.48%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	172	11	15	16	14	1	7	1	3	10	15	6	3	2	5	1	1	6	9	5	1	5	3	2	0	0	1	4	1	15	9					
		0.73%	1.02%	1.19%	1.36%	0.98%	0.33%	0.50%	0.44%	0.23%	0.77%	1.18%	0.53%	0.41%	0.82%	0.65%	1.20%	0.17%	0.99%	1.00%	0.74%	0.34%	0.58%	0.22%	0.33%	0.00%	0.00%	0.25%	1.20%	0.26%	1.26%	0.75%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
