Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																											
Дата голосования: 07.12.2003 0:00:00																																																											
																																																											
Наименование Избирательной комиссии:    Кущевская																																																											
																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																											
																																																											
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852					
1	"Число избирателей, внесенных в списки"	53765	2194	2681	2571	2831	2635	2710	1164	257	397	1950	1215	1040	1232	2835	191	791	2767	1637	301	976	291	694	1084	2010	710	102	101	857	141	273	141	162	219	683	516	281	224	267	371	863	2108	3107	185	337	255	198	144	309	237	2433	1408	679					
2	"Число бюллетеней, полученных участковыми комиссиями"	52929	2151	2584	2516	2780	2593	2670	1136	261	394	1891	1198	1051	1227	2838	193	792	2665	1577	286	965	275	688	1066	2012	706	102	104	859	131	269	139	164	218	683	513	286	223	273	362	867	2044	2983	173	327	257	188	144	387	236	2433	1371	678					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	26602	883	1111	1088	1160	1107	1105	485	145	246	1022	536	680	636	1566	118	542	1333	977	155	527	222	266	554	972	508	82	89	390	78	166	74	91	91	403	245	119	112	104	163	400	964	1367	160	146	172	135	119	280	166	1444	746	352					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1481	35	100	43	23	46	31	39	6	20	36	92	55	19	30	0	48	113	0	0	68	0	14	108	61	15	0	0	16	0	8	17	0	13	0	38	41	6	18	33	117	31	36	0	6	0	1	0	29	0	32	37	0					
6	Число погашенных бюллетеней	24846	1233	1373	1385	1597	1440	1534	612	110	128	833	570	316	572	1242	75	202	1219	600	131	370	53	408	404	979	183	20	15	453	53	95	48	73	114	280	230	126	105	151	166	350	1049	1580	13	175	85	52	25	78	70	957	588	326					
7	Число бюллетеней в переносных ящиках для голосования	1481	35	100	43	23	46	31	39	6	20	36	92	55	19	30	0	48	113	0	0	68	0	14	108	61	15	0	0	16	0	8	17	0	13	0	38	41	6	18	33	117	31	36	0	6	0	1	0	29	0	32	37	0					
8	Число бюллетеней в стационарных ящиках для голосования	26554	837	1111	1088	1160	1107	1105	483	145	246	1022	536	680	636	1566	118	542	1333	977	155	527	222	266	554	972	508	82	89	390	78	166	74	91	91	403	245	119	112	104	163	400	964	1367	160	146	172	135	119	280	166	1444	746	352					
9	Число недействительных бюллетеней	329	9	10	15	21	10	5	6	0	1	12	13	10	16	24	0	4	15	14	1	1	1	4	5	17	9	0	0	8	0	2	0	1	1	5	3	0	0	3	2	3	5	8	0	10	4	5	0	5	0	18	19	4					
10	Число действительных бюллетеней	27706	863	1201	1116	1162	1143	1131	516	151	265	1046	615	725	639	1572	118	586	1431	963	154	594	221	276	657	1016	514	82	89	398	78	172	91	90	103	398	280	160	118	119	194	514	990	1395	160	142	168	131	119	304	166	1458	764	348					
