Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Нелидовская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23859	379	935	858	108	1518	1042	147	308	1173	1380	871	1343	787	1142	287	817	276	871	734	1257	1162	1398	251	203	639	523	333	155	87	106	116	266	246	125	190	266	128	256	154	197	409	213	203									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21525	370	800	750	100	1300	1000	140	300	1000	1200	750	1200	700	1000	550	700	270	750	600	1100	1000	1200	230	200	550	450	330	140	80	90	100	250	230	120	185	270	120	250	150	190	400	210	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10003	122	436	391	31	659	449	44	137	548	597	424	654	319	515	204	448	119	382	319	520	440	322	73	64	235	195	96	25	52	44	66	122	47	37	82	169	68	124	59	82	138	68	77									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1074	34	18	12	3	43	24	2	10	20	16	28	29	15	11	83	8	10	25	17	24	32	13	64	6	16	33	59	47	15	7	14	47	42	18	13	13	35	16	29	31	33	41	18									
6	Число погашенных избирательных бюллетеней	10448	214	346	347	66	598	527	94	153	432	587	298	517	366	474	263	244	141	343	264	556	528	865	93	130	299	222	175	68	13	39	20	81	141	65	90	88	17	110	62	77	229	101	105									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1074	34	18	12	3	43	24	2	10	20	16	28	29	15	11	83	8	10	25	17	24	32	13	64	6	16	33	59	47	15	7	14	47	42	18	13	13	35	16	29	31	33	41	18									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10003	122	436	391	31	659	449	44	137	548	597	424	654	319	515	204	448	119	382	319	520	440	322	73	64	235	195	96	25	52	44	66	122	47	37	82	169	68	124	59	82	138	68	77									
9	Число недействительных избирательных бюллетеней	324	3	20	17	0	18	7	2	14	17	30	14	12	8	9	9	13	5	13	10	18	7	17	5	1	10	11	8	0	0	2	0	4	2	0	3	2	1	5	0	2	3	0	2									
10	Число действительных избирательных бюллетеней	10753	153	434	386	34	684	466	44	133	551	583	438	671	326	517	278	443	124	394	326	526	465	318	132	69	241	217	147	72	67	49	80	165	87	55	92	180	102	135	88	111	168	109	93									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	435	4	14	10	2	15	10	2	3	15	15	10	13	11	12	6	12	3	11	13	15	12	15	3	3	10	8	3	2	2	2	6	21	2	2	14	33	35	28	2	2	14	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	368	3	14	3	2	15	10	0	2	14	12	10	10	11	8	4	10	1	11	13	12	9	7	1	0	2	3	2	2	0	2	6	21	1	0	14	33	35	28	2	1	14	10	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	258	3	7	6	6	9	5	4	4	7	5	7	6	5	2	3	33	1	4	5	8	15	5	6	2	5	1	4	7	6	8	12	5	3	3	4	5	10	8	5	4	4	4	2									
14	Число погашенных неиспользованных открепительных удостоверений	67	1	0	7	0	0	0	2	1	1	3	0	3	0	4	2	2	2	0	0	3	3	8	2	3	8	5	1	0	2	0	0	0	1	2	0	0	0	0	0	1	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	115	1	3	5	0	7	4	0	0	2	9	9	9	4	3	7	6	2	5	6	6	6	3	2	0	2	1	5	1	0	0	0	0	0	1	0	0	2	1	0	1	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	152	3	7	10	0	12	5	0	3	8	10	8	10	9	9	2	2	1	5	2	8	9	7	0	0	1	2	2	2	0	0	1	2	3	0	0	1	0	2	0	4	0	2	0									
		1.37%	1.92%	1.54%	2.48%	0.00%	1.71%	1.06%	0.00%	2.04%	1.41%	1.63%	1.77%	1.46%	2.69%	1.71%	0.70%	0.44%	0.78%	1.23%	0.60%	1.47%	1.91%	2.09%	0.00%	0.00%	0.40%	0.88%	1.29%	2.78%	0.00%	0.00%	1.25%	1.18%	3.37%	0.00%	0.00%	0.55%	0.00%	1.43%	0.00%	3.54%	0.00%	1.83%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	355	3	17	12	0	21	17	1	2	19	25	22	28	5	17	12	20	6	12	10	22	6	12	4	4	6	7	6	1	0	0	1	4	4	1	6	3	3	2	2	5	2	1	4									
