Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																															
Дата голосования: 07.12.2003 0:00:00																																															
																																															
Наименование Избирательной комиссии:    Выборгская № 14																																															
																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																															
																																															
		Сумма	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325					
1	"Число избирателей, внесенных в списки"	85005	2650	1990	2129	1942	1904	2438	2331	2033	2611	1860	2277	2239	2027	2458	2928	2945	2846	2538	2286	2012	2397	2057	2249	2590	2161	2142	2055	2176	2043	1085	2199	1814	2306	1353	986	1006	1110	1830	2335	2667					
2	"Число бюллетеней, полученных участковыми комиссиями"	85365	2700	2000	2130	1950	1920	2450	2400	2040	2620	1900	2280	2250	2030	2460	2930	2940	2900	2550	2300	2050	2400	2100	2300	2600	2200	2200	2050	2200	2100	1050	2200	1850	2300	1400	1000	985	1100	1830	2000	2700					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	33662	996	829	816	801	759	910	800	866	1035	650	1039	880	721	1065	1351	1234	1245	1114	911	859	1155	681	845	946	884	696	847	791	890	306	996	610	951	523	382	336	353	717	1045	827					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	660	13	7	6	17	16	9	17	6	7	7	13	9	5	17	29	8	8	16	22	22	6	11	4	13	5	14	13	17	8	50	5	8	21	8	32	37	27	11	57	59					
6	Число погашенных бюллетеней	51043	1691	1164	1308	1132	1145	1531	1583	1168	1578	1243	1228	1361	1304	1378	1550	1698	1647	1420	1367	1169	1239	1408	1451	1641	1311	1490	1190	1392	1202	694	1199	1232	1328	869	586	612	720	1102	898	1814					
7	Число бюллетеней в переносных ящиках для голосования	660	13	7	6	17	16	9	17	6	7	7	13	9	5	17	29	8	8	16	22	22	6	11	4	13	5	14	13	17	8	50	5	8	21	8	32	37	27	11	57	59					
8	Число бюллетеней в стационарных ящиках для голосования	33620	995	829	812	801	759	910	800	866	1035	646	1039	879	721	1065	1348	1230	1243	1114	911	859	1153	679	845	945	884	694	839	791	890	306	991	610	951	522	382	336	353	717	1043	827					
9	Число недействительных бюллетеней	203	4	2	1	2	5	7	3	6	5	6	3	6	4	8	5	7	6	4	4	12	7	1	4	4	6	2	6	5	8	0	5	2	2	9	4	3	1	18	10	6					
10	Число действительных бюллетеней	34077	1004	834	817	816	770	912	814	866	1037	647	1049	882	722	1074	1372	1231	1245	1126	929	869	1152	689	845	954	883	706	846	803	890	356	991	616	970	521	410	370	379	710	1090	880					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1995	60	48	50	46	45	58	55	48	62	44	54	53	48	58	70	70	67	60	54	48	57	49	53	61	51	51	48	51	48	24	51	43	54	32	23	23	26	43	47	62					
