Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																											
Дата голосования: 18.09.2016																																																																											
																																																																											
Наименование Избирательной комиссии:    Красногвардейская																																																																											
																																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																																											
																																																																											
		Сумма	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	66210	2333	2282	2079	2360	595	2118	2229	1471	1801	1166	387	466	2183	544	510	1809	2024	348	596	313	154	113	240	916	211	1311	475	1757	754	876	441	965	628	1506	408	1745	1926	460	149	989	1190	1234	1485	1128	1428	1206	533	757	841	644	474	633	220	1557	531	2369	1280	399	318	853	1976	548	253	715									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	51960	1800	1800	1600	1800	450	1650	1700	1100	1400	900	300	350	1700	450	400	1400	1650	250	450	250	200	150	200	800	150	1000	400	1350	600	700	350	750	500	1200	300	1350	1500	400	110	800	950	950	1200	900	1100	950	450	600	650	500	400	500	200	1200	400	1800	1000	300	250	700	1500	450	200	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	33036	1304	1138	945	1631	256	1433	792	749	1085	753	199	220	729	276	236	882	875	183	318	144	139	102	190	528	101	569	240	793	350	503	221	574	432	623	192	683	778	319	95	755	595	707	692	477	701	424	371	398	463	284	298	293	155	903	261	853	489	220	183	336	832	247	182	337									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2549	115	39	44	46	28	52	33	150	59	55	12	14	78	15	30	25	73	17	39	23	15	11	10	32	12	60	33	52	32	45	45	52	18	52	14	66	70	31	15	44	69	71	36	18	19	61	22	37	29	31	28	46	11	72	29	85	50	8	9	58	52	14	7	31									
6	Число погашенных избирательных бюллетеней	16375	381	623	611	123	166	165	875	201	256	92	89	116	893	159	134	493	702	50	93	83	46	37	0	240	37	371	127	505	218	152	84	124	50	525	94	601	652	50	0	1	286	172	472	405	380	465	57	165	158	185	74	161	34	225	110	862	461	72	58	306	616	189	11	232									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2549	115	39	44	46	28	52	33	150	59	55	12	14	78	15	30	25	73	17	39	23	15	11	10	32	12	60	33	52	32	45	45	52	18	52	14	66	70	31	15	44	69	71	36	18	19	61	22	37	29	31	28	46	11	72	29	85	50	8	9	58	52	14	7	31									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	33028	1304	1138	938	1631	256	1433	792	749	1085	753	199	220	728	276	236	882	875	183	318	144	139	102	190	528	101	569	240	793	350	503	221	574	432	623	192	683	778	319	95	755	595	707	692	477	701	424	371	398	463	284	298	293	155	903	261	853	489	220	183	336	832	247	182	337									
9	Число недействительных избирательных бюллетеней	664	26	27	23	18	15	21	18	6	0	6	7	3	13	6	5	11	22	4	2	0	1	1	0	4	0	19	6	14	9	6	4	11	2	19	2	13	20	0	0	13	38	0	55	3	9	11	4	7	4	2	9	7	3	16	2	30	23	3	5	34	15	4	0	3									
10	Число действительных избирательных бюллетеней	34913	1393	1150	959	1659	269	1464	807	893	1144	802	204	231	793	285	261	896	926	196	355	167	153	112	200	556	113	610	267	831	373	542	262	615	448	656	204	736	828	350	110	786	626	778	673	492	711	474	389	428	488	313	317	332	163	959	288	908	516	225	187	360	869	257	189	365									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1560	50	50	50	50	20	50	50	20	20	20	20	20	50	20	20	20	50	20	20	20	20	20	20	20	20	20	20	20	20	30	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	50	20	20	20	20	20	20	20	20									
