Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																			
Дата голосования: 02.12.2007																																																																			
																																																																			
Наименование Избирательной комиссии:    Миллеровская районная																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №246	УИК №247	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №2480	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554					
1	"Число избирателей, внесенных в списки избирателей"	56137	78	1719	2198	2436	2520	628	1730	1885	3092	1562	1157	2695	2433	1750	2634	1717	599	854	177	643	505	653	591	316	1240	206	702	247	743	590	653	271	1136	370	1046	605	2725	200	261	237	623	156	756	704	615	505	711	712	147	2263	321	462	165	638	303	139	133	396	338	246					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	49732	78	1551	1856	2088	2251	580	1556	1685	2671	1476	1053	2444	2084	1542	2024	1486	541	772	179	580	451	589	531	281	1116	184	616	221	663	567	542	228	1006	333	942	529	2367	187	230	252	566	155	663	623	630	455	646	631	146	2009	287	405	165	572	274	138	155	357	304	219					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	36050	47	1253	1593	1439	1618	528	1162	1229	1700	975	797	1620	1119	989	1542	1007	348	428	154	500	327	484	443	229	1015	160	564	187	539	411	423	213	665	234	604	406	1705	136	230	237	353	131	464	335	452	310	462	456	97	1319	250	347	126	435	206	132	122	320	254	219					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4679	31	70	54	121	112	10	174	101	110	212	55	84	129	110	40	396	97	87	0	80	117	44	60	15	95	20	29	23	93	84	54	15	246	66	95	69	364	31	0	0	57	14	0	149	22	77	113	79	11	294	21	58	18	100	29	0	11	2	31	0					
6	Число погашенных избирательных бюллетеней	9003	0	228	209	528	521	42	220	355	861	289	201	740	836	443	442	83	96	257	25	0	7	61	28	37	6	4	23	11	31	72	65	0	95	33	243	54	298	20	0	15	156	10	199	139	156	68	71	96	38	396	16	0	21	37	39	6	22	35	19	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4679	31	70	54	121	112	10	174	101	110	212	55	84	129	110	40	396	97	87	0	80	117	44	60	15	95	20	29	23	93	84	54	15	246	66	95	69	364	31	0	0	57	14	0	149	22	77	113	79	11	294	21	58	18	100	29	0	11	2	31	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	35969	47	1253	1593	1439	1618	528	1162	1229	1700	975	797	1620	1119	989	1542	1007	348	428	154	500	327	484	443	229	1015	160	564	187	539	411	423	213	665	234	604	406	1624	136	230	237	353	131	464	335	452	310	462	456	97	1319	250	347	126	435	206	132	122	320	254	219					
9	Число недействительных избирательных бюллетеней	112	0	1	5	8	6	0	0	0	13	4	3	0	2	1	9	11	3	0	0	0	0	14	0	0	0	0	3	0	0	1	0	0	1	0	3	1	0	0	0	2	1	0	1	6	0	0	3	4	1	0	0	0	0	3	1	0	0	0	1	0					
10	Число действительных избирательных бюллетеней	40536	78	1322	1642	1552	1724	538	1336	1330	1797	1183	849	1704	1246	1098	1573	1392	442	515	154	580	444	514	503	244	1110	180	590	210	632	494	477	228	910	300	696	474	1988	167	230	235	409	145	463	478	474	387	572	531	107	1613	271	405	144	532	234	132	133	322	284	219					
