Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																																				
																																																																																				
"Наименование Избирательной комиссии:    Киров, Октябрьская"																																																																																				
																																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																				
																																																																																				
		Сумма	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498					
1	"Число избирателей, внесенных в списки"	130859	1641	2338	2486	2332	2199	1672	2207	2236	1993	1411	2139	1555	1420	2663	986	2557	1846	2449	1474	1670	1696	1996	1377	1967	1481	1370	2017	1577	1981	1599	1634	1956	2115	2164	2325	2515	2434	2251	2003	2188	2449	2363	2292	1863	2122	2237	1920	1608	2218	2081	1363	2030	1646	1610	2076	1974	2207	1717	2164	1742	2294	1728	1524	1442	1472	577	2148	1278	71	150	44	27	66	118	236	35	47					
2	"Число бюллетеней, полученных участковыми комиссиями"	126360	1500	2200	2300	2200	2100	1600	2100	2100	2000	1300	2100	1500	1400	2500	1000	2400	1800	2400	1400	1600	1700	1800	1300	1900	1400	1300	1900	1600	2000	2200	1600	1900	2000	2000	2200	2300	2300	2200	2000	2000	2300	2200	2100	1800	2000	2200	1900	1600	2100	2000	1300	2000	1600	1600	2000	1900	2100	1700	2000	1700	2200	1700	1500	1400	1400	500	2000	1200	100	200	100	60	100	200	300	100	100					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	79546	949	1302	1593	1461	1331	1059	1298	1378	1311	609	1397	940	931	1681	523	1504	981	1388	908	1007	1107	1255	778	1240	996	691	1321	1025	1320	1554	1017	1212	1278	1371	1508	1626	1404	1216	1507	1332	1602	1584	1222	1028	1309	1378	1159	980	1331	1246	604	1104	1022	821	1243	1164	1435	1149	1352	1012	1385	892	910	812	759	243	1125	632	71	150	44	27	62	93	215	34	38					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1878	7	16	11	24	23	19	24	13	29	19	42	13	26	11	9	13	16	19	17	26	16	18	34	25	9	74	14	21	44	45	53	31	30	27	17	27	22	37	7	12	30	11	18	5	10	36	21	20	17	29	12	108	27	22	13	9	6	3	16	11	12	95	36	30	65	51	149	76	0	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	44936	544	882	696	715	746	522	778	709	660	672	661	547	443	808	468	883	803	993	475	567	577	527	488	635	395	535	565	554	636	601	530	657	692	602	675	647	874	947	486	656	668	605	860	767	681	786	720	600	752	725	684	788	551	757	744	727	659	548	632	677	803	713	554	558	576	206	726	492	29	50	56	33	38	107	85	66	62					
7	Число бюллетеней в переносных ящиках для голосования	1878	7	16	11	24	23	19	24	13	29	19	42	13	26	11	9	13	16	19	17	26	16	18	34	25	9	74	14	21	44	45	53	31	30	27	17	27	22	37	7	12	30	11	18	5	10	36	21	20	17	29	12	108	27	22	13	9	6	3	16	11	12	95	36	30	65	51	149	76	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	79389	949	1297	1592	1461	1329	1059	1298	1377	1308	608	1397	940	930	1681	523	1501	981	1387	907	1007	1107	1255	778	1239	995	689	1321	1025	1238	1553	1004	1212	1278	1369	1507	1625	1398	1216	1507	1332	1602	1584	1222	1026	1304	1378	1159	980	1331	1238	604	1104	1022	819	1243	1164	1435	1149	1347	1011	1384	892	910	808	759	243	1125	632	71	150	44	27	62	93	215	34	38					
9	Число недействительных бюллетеней	1041	7	20	11	24	8	28	19	11	19	15	24	14	15	19	3	20	10	26	14	13	16	8	17	27	9	10	15	14	10	16	8	9	24	8	31	14	22	20	11	21	19	37	27	6	14	19	17	11	15	15	10	18	22	17	9	10	20	3	8	10	14	24	14	0	7	5	20	11	0	0	1	0	2	1	5	0	0					
10	Число действительных бюллетеней	80226	949	1293	1592	1461	1344	1050	1303	1379	1318	612	1415	939	941	1673	529	1494	987	1380	910	1020	1107	1265	795	1237	995	753	1320	1032	1272	1582	1049	1234	1284	1388	1493	1638	1398	1233	1503	1323	1613	1558	1213	1025	1300	1395	1163	989	1333	1252	606	1194	1027	824	1247	1163	1421	1149	1355	1012	1382	963	932	838	817	289	1254	697	71	150	43	27	60	92	210	34	38					
