Выборы Президента Российской Федерации																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Магнитогорск, Орджоникидзевская"																																																																																		
																																																																																		
Итоги голосования 																																																																																		
																																																																																		
		Сумма	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464					
1	"Число избирателей, внесенных в список"	143390	1370	1351	1354	1448	1979	1803	1929	2244	1033	1067	1569	1639	889	2276	817	1427	1170	1042	902	1216	421	496	748	648	874	837	1997	2391	2066	2380	2643	2337	1845	2121	2348	2768	2858	2743	2251	2473	2266	2477	2204	2069	2176	2383	2566	2942	2109	2487	2698	1923	1855	2001	2566	1996	1733	2425	2604	2361	2369	2116	915	2565	2446	2791	2798	2830	2269	2657	2794	2555	1713	800	161					
2	Число полученных избирательных бюллетеней	136825	1195	1300	1300	1350	1820	1700	1860	2150	970	1000	1510	1570	840	2080	790	1430	1090	1020	840	1140	400	470	690	590	800	830	1900	2300	1960	2250	2510	2230	1770	2010	2270	2680	2745	2570	2170	2280	2130	2320	2090	1990	2060	2270	2450	2820	2000	2370	2550	1850	1780	1935	2380	1915	1620	2340	2480	2290	2220	2020	1350	2460	2390	2660	2670	2670	2190	2590	2660	2350	1615	800	160					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	90151	722	637	732	737	1061	956	1177	1350	651	565	863	872	493	1063	391	806	681	665	524	717	212	365	352	406	474	445	1380	1502	1383	1485	1873	1563	1085	1393	1476	1944	2051	1806	1396	1562	1358	1666	1458	1363	1552	1433	1572	1746	1321	1590	1698	1347	1176	1445	1717	1362	1021	1499	1676	1511	1423	1354	886	1660	1586	1607	1868	1699	1501	1702	1981	1562	1097	800	98					
5	"Число избирательных бюллетеней, выданных вне помещения"	4545	218	128	98	231	75	44	55	38	44	297	32	36	35	32	25	46	81	53	27	31	25	15	32	59	56	74	20	38	25	44	20	41	156	83	60	269	103	123	29	47	19	53	20	14	18	19	38	40	216	152	60	55	62	37	53	34	47	86	58	55	33	117	29	30	45	37	64	31	21	10	22	15	10	0	0					
6	Число погашенных избирательных бюллетеней	42127	255	535	470	382	684	700	628	762	275	138	615	662	312	984	374	578	328	302	289	392	163	89	306	125	270	311	500	760	552	721	617	626	529	534	734	467	591	641	745	671	753	601	612	613	490	818	840	1034	463	628	792	448	542	453	610	519	552	755	746	724	764	549	435	770	759	1016	738	940	668	878	657	773	508	0	62					
7	Число избирательных бюллетеней в переносных ящиках	4545	218	128	98	231	75	44	55	38	44	297	32	36	35	32	25	46	81	53	27	31	25	15	32	59	56	74	20	38	25	44	20	41	156	83	60	269	103	123	29	47	19	53	20	14	18	19	38	40	216	152	60	55	62	37	53	34	47	86	58	55	33	117	29	30	45	37	64	31	21	10	22	15	10	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	90062	722	637	732	737	1061	956	1177	1350	651	565	863	872	493	1062	391	806	681	665	524	717	212	365	352	406	474	445	1380	1498	1382	1485	1873	1554	1085	1393	1476	1944	2051	1806	1396	1560	1358	1666	1438	1361	1552	1433	1572	1743	1321	1581	1698	1347	1175	1445	1717	1362	1021	1499	1676	1511	1422	1354	857	1660	1586	1607	1868	1699	1501	1702	1981	1559	1097	796	98					
9	Число недействительных избирательных бюллетеней	768	0	8	9	9	28	0	6	5	8	3	18	6	3	9	2	7	12	8	2	0	3	1	2	0	2	5	15	14	15	0	12	16	8	15	13	16	7	20	8	17	11	20	1	16	21	19	25	22	10	9	18	9	7	17	4	13	14	5	13	18	16	13	6	1	19	6	14	17	14	10	8	9	14	17	0					
10	Число действительных избирательных бюллетеней	93839	940	757	821	959	1108	1000	1226	1383	687	859	877	902	525	1085	414	845	750	710	549	748	234	379	382	465	528	514	1385	1522	1392	1529	1881	1579	1233	1461	1523	2197	2147	1909	1417	1590	1366	1699	1457	1359	1549	1433	1585	1761	1527	1724	1740	1393	1230	1465	1766	1383	1054	1580	1721	1548	1439	1458	880	1689	1612	1638	1918	1713	1508	1702	1995	1565	1093	779	98					
11	Число полученных открепительных  удостоверений	2610	30	30	30	30	30	30	30	40	30	30	30	30	20	40	20	30	30	30	20	30	10	20	20	20	20	20	40	40	40	40	40	40	30	40	40	60	40	40	40	40	40	40	40	40	40	40	40	40	60	40	40	30	30	40	40	40	30	40	40	40	40	40	30	40	40	50	40	40	40	50	60	40	30	0	10					
12	Число выданных открепительных удостоверений	1597	6	13	13	16	21	25	14	38	14	12	16	11	11	30	13	7	5	8	3	5	2	3	4	6	12	8	17	33	22	19	29	20	18	22	31	43	38	37	34	25	22	31	24	24	19	20	22	35	26	22	25	21	19	23	33	34	24	30	16	33	22	16	14	25	33	47	31	26	33	44	52	29	17	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1460	111	22	23	26	15	12	17	9	13	14	9	5	15	3	11	5	63	1	15	6	3	9	49	13	18	1	7	7	12	6	12	14	9	9	18	9	23	18	11	5	10	5	14	17	9	15	10	2	45	31	7	4	9	10	13	7	4	9	6	2	7	13	11	9	10	7	20	5	9	3	24	9	8	446	2					
14	Число неиспользованных открепительных удостоверений	1013	24	17	17	14	9	5	16	2	16	18	14	19	9	10	7	23	25	22	17	25	8	17	16	14	8	12	23	7	18	21	11	20	12	18	9	17	2	3	6	15	18	9	16	16	21	20	18	5	34	18	15	9	11	17	7	6	6	10	24	7	18	24	16	15	7	3	9	14	7	6	8	11	13	0	9					
15	"Число открепительных удостоверений, выданных в ТИК"	133	1	0	2	1	3	2	3	6	4	1	1	7	1	11	1	2	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	2	2	4	2	2	2	4	4	2	1	2	0	3	1	1	3	2	4	0	0	3	3	0	0	0	0	1	5	0	3	0	2	2	3	1	1	1	4	1	3	0	0	0					
16	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																		
18	. Глазьев Сергей Юрьевич	2121	26	15	17	23	28	33	18	23	10	13	12	21	5	26	11	27	19	21	6	13	5	5	8	4	12	9	41	47	40	39	55	38	19	31	37	32	40	33	25	41	37	20	40	35	33	40	36	26	32	46	24	46	36	33	38	35	23	36	53	47	46	32	18	34	36	36	40	40	37	35	45	38	35	4	1					
		2.24%	2.77%	1.96%	2.05%	2.38%	2.46%	3.30%	1.46%	1.66%	1.44%	1.51%	1.34%	2.31%	0.95%	2.38%	2.64%	3.17%	2.49%	2.92%	1.09%	1.74%	2.11%	1.32%	2.08%	0.86%	2.26%	1.73%	2.93%	3.06%	2.84%	2.55%	2.91%	2.38%	1.53%	2.10%	2.41%	1.45%	1.86%	1.71%	1.75%	2.55%	2.69%	1.16%	2.74%	2.55%	2.10%	2.75%	2.24%	1.46%	2.08%	2.65%	1.37%	3.28%	2.91%	2.23%	2.15%	2.51%	2.15%	2.27%	3.06%	3.00%	3.16%	2.18%	2.03%	2.01%	2.21%	2.19%	2.07%	2.31%	2.43%	2.04%	2.25%	2.41%	3.16%	0.50%	1.02%					
19	. Малышкин Олег Александрович	1862	20	10	21	20	36	33	35	14	29	23	28	29	15	32	10	28	7	26	10	19	3	3	7	12	16	21	16	25	32	16	22	19	17	25	28	34	34	44	30	37	27	29	40	22	23	24	31	32	36	33	21	18	16	28	30	18	23	33	31	22	27	25	12	41	33	38	33	34	45	38	37	33	30	12	1					
