Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Бурлинская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9163	269	427	82	128	657	209	145	142	648	1035	841	1644	248	413	218	630	109	874	444									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8600	250	400	80	100	650	200	150	140	600	1000	800	1500	230	400	200	600	100	800	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4060	140	236	44	64	302	98	53	60	333	423	340	660	82	176	101	290	69	330	259									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	335	14	17	3	1	29	0	9	15	12	31	24	23	24	14	15	37	5	48	14									
6	Число погашенных избирательных бюллетеней	4205	96	147	33	35	319	102	88	65	255	546	436	817	124	210	84	273	26	422	127									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	335	14	17	3	1	29	0	9	15	12	31	24	23	24	14	15	37	5	48	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4059	140	235	44	64	302	98	53	60	333	423	340	660	82	176	101	290	69	330	259									
9	Число недействительных избирательных бюллетеней	129	5	6	0	3	9	0	2	6	15	16	7	18	3	4	2	15	1	8	9									
10	Число действительных избирательных бюллетеней	4265	149	246	47	62	322	98	60	69	330	438	357	665	103	186	114	312	73	370	264									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	148	7	8	3	3	8	4	5	5	10	15	10	20	5	10	7	7	4	10	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	40	1	0	0	0	0	0	5	0	0	8	5	11	0	5	1	0	0	3	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	39	1	2	1	0	0	1	2	3	1	4	3	4	1	2	0	2	5	3	4									
14	Число погашенных неиспользованных открепительных удостоверений	108	6	8	3	3	8	4	0	5	10	7	5	9	5	5	6	7	4	7	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	28	0	4	0	0	1	0	2	1	1	1	0	6	0	1	1	2	1	4	3									
		0.64%	0.00%	1.59%	0.00%	0.00%	0.30%	0.00%	3.23%	1.33%	0.29%	0.22%	0.00%	0.88%	0.00%	0.53%	0.86%	0.61%	1.35%	1.06%	1.10%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	166	9	13	1	1	12	6	2	3	12	11	9	21	2	7	4	25	4	12	12									
		3.78%	5.84%	5.16%	2.13%	1.54%	3.63%	6.12%	3.23%	4.00%	3.48%	2.42%	2.47%	3.07%	1.89%	3.68%	3.45%	7.65%	5.41%	3.17%	4.40%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	73	1	4	0	0	7	0	1	0	5	13	7	8	0	4	0	13	1	5	4									
		1.66%	0.65%	1.59%	0.00%	0.00%	2.11%	0.00%	1.61%	0.00%	1.45%	2.86%	1.92%	1.17%	0.00%	2.11%	0.00%	3.98%	1.35%	1.32%	1.47%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1809	63	98	24	33	112	69	27	42	172	167	151	270	43	78	52	115	12	142	139									
		41.17%	40.91%	38.89%	51.06%	50.77%	33.84%	70.41%	43.55%	56.00%	49.86%	36.78%	41.48%	39.53%	40.57%	41.05%	44.83%	35.17%	16.22%	37.57%	50.92%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	14	0	1	0	0	2	0	0	0	0	1	4	3	0	0	1	0	0	0	2									
		0.32%	0.00%	0.40%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.22%	1.10%	0.44%	0.00%	0.00%	0.86%	0.00%	0.00%	0.00%	0.73%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	1	0	1	1									
		0.16%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.53%	0.00%	0.31%	0.00%	0.26%	0.37%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	656	37	44	12	16	61	1	13	9	34	72	50	106	19	35	14	40	8	48	37									
		14.93%	24.03%	17.46%	25.53%	24.62%	18.43%	1.02%	20.97%	12.00%	9.86%	15.86%	13.74%	15.52%	17.92%	18.42%	12.07%	12.23%	10.81%	12.70%	13.55%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	8	1	0	0	0	2	1	1	0	0	2	0	0	0	0	0	0	0	1	0									
		0.18%	0.65%	0.00%	0.00%	0.00%	0.60%	1.02%	1.61%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	25	0	0	0	0	3	0	3	0	2	1	4	3	1	0	0	3	0	3	2									
		0.57%	0.00%	0.00%	0.00%	0.00%	0.91%	0.00%	4.84%	0.00%	0.58%	0.22%	1.10%	0.44%	0.94%	0.00%	0.00%	0.92%	0.00%	0.79%	0.73%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0									
		0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.27%	0.00%	0.00%	0.00%	0.86%	0.31%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	22	3	1	0	0	2	0	1	0	2	3	1	1	0	1	0	4	0	2	1									
		0.50%	1.95%	0.40%	0.00%	0.00%	0.60%	0.00%	1.61%	0.00%	0.58%	0.66%	0.27%	0.15%	0.00%	0.53%	0.00%	1.22%	0.00%	0.53%	0.37%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	698	21	42	3	7	45	14	5	5	57	70	46	105	19	29	9	60	40	88	33									
		15.89%	13.64%	16.67%	6.38%	10.77%	13.60%	14.29%	8.06%	6.67%	16.52%	15.42%	12.64%	15.37%	17.92%	15.26%	7.76%	18.35%	54.05%	23.28%	12.09%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	15	0	0	0	1	0	0	0	0	3	1	2	2	0	0	2	2	1	1	0									
		0.34%	0.00%	0.00%	0.00%	1.54%	0.00%	0.00%	0.00%	0.00%	0.87%	0.22%	0.55%	0.29%	0.00%	0.00%	1.72%	0.61%	1.35%	0.26%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	740	14	39	7	4	73	7	5	9	42	95	81	140	19	30	30	46	6	63	30									
		16.84%	9.09%	15.48%	14.89%	6.15%	22.05%	7.14%	8.06%	12.00%	12.17%	20.93%	22.25%	20.50%	17.92%	15.79%	25.86%	14.07%	8.11%	16.67%	10.99%									
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
