Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																															
Дата голосования: 02.12.2007																																																															
																																																															
Наименование Избирательной комиссии:    Шиловская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082					
1	"Число избирателей, внесенных в списки избирателей"	35135	441	167	560	282	350	788	290	55	523	711	231	124	235	488	222	184	423	125	277	156	455	378	624	924	147	284	588	86	713	151	106	268	537	260	269	274	401	296	546	111	73	122	2282	2260	2134	2064	1774	619	1245	999	1441	733	323	483	2178	2355					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	31514	408	149	500	261	313	744	276	52	485	643	208	110	235	437	203	164	383	125	256	139	416	341	567	833	131	258	510	76	617	133	89	233	490	242	247	238	356	273	469	92	70	121	2065	2031	1923	1860	1591	527	972	884	1265	677	287	428	1963	2148					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	18731	253	68	378	141	126	423	113	35	262	382	154	63	235	217	114	74	238	38	116	124	264	202	339	468	83	118	296	67	348	65	44	126	310	168	148	110	249	160	303	67	19	19	1571	1422	1518	1094	892	276	575	413	560	401	184	192	998	1108					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2838	76	63	63	45	90	111	33	17	66	75	23	29	0	100	60	27	63	72	82	10	38	36	20	86	35	59	55	0	63	38	24	72	136	34	63	60	55	31	54	25	34	61	71	38	50	52	59	50	124	44	27	48	30	13	28	20					
6	Число погашенных избирательных бюллетеней	9945	79	18	59	75	97	210	130	0	157	186	31	18	0	120	29	63	82	15	58	5	114	103	208	279	13	81	159	9	206	30	21	35	44	40	36	68	52	82	112	0	17	41	423	571	355	714	640	201	273	427	678	228	73	223	937	1020					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2838	76	63	63	45	90	111	33	17	66	75	23	29	0	100	60	27	63	72	82	10	38	36	20	86	35	59	55	0	63	38	24	72	136	34	63	60	55	31	54	25	34	61	71	38	50	52	59	50	124	44	27	48	30	13	28	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18731	253	68	378	141	126	423	113	35	262	382	154	63	235	217	114	74	238	38	116	124	264	202	339	468	83	118	296	67	348	65	44	126	310	168	148	110	249	160	303	67	19	19	1571	1422	1518	1094	892	276	575	413	560	401	184	192	998	1108					
9	Число недействительных избирательных бюллетеней	196	3	0	5	0	0	5	0	0	3	2	0	0	1	4	3	1	0	0	1	1	3	3	2	7	0	4	3	0	2	2	0	0	9	1	1	1	3	0	0	0	0	0	10	17	13	8	11	1	16	2	0	1	1	2	36	8					
10	Число действительных избирательных бюллетеней	21373	326	131	436	186	216	529	146	52	325	455	177	92	234	313	171	100	301	110	197	133	299	235	357	547	118	173	348	67	409	101	68	198	437	201	210	169	301	191	357	92	53	80	1632	1443	1555	1138	940	325	683	455	587	448	213	203	990	1120					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	597	9	5	10	10	15	15	5	5	10	8	10	5	5	10	10	5	5	5	5	5	8	8	8	15	6	6	5	6	10	6	6	5	10	10	10	10	10	8	8	8	6	6	30	20	20	31	30	7	10	7	20	20	12	9	26	23					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	312	4	2	10	8	0	5	0	0	0	6	1	0	0	0	0	0	5	0	3	0	7	1	5	14	0	0	2	0	7	0	0	3	10	6	4	0	3	1	5	1	0	1	21	15	16	22	29	4	7	6	9	20	3	5	18	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	236	2	5	6	1	4	7	1	3	6	7	4	3	0	5	1	1	4	3	1	2	4	3	3	5	1	1	13	0	2	4	4	6	2	1	3	3	2	2	8	1	1	1	4	5	8	18	16	3	8	4	5	6	1	2	15	5					
14	Число погашенных неиспользованных открепительных удостоверений	285	5	3	0	2	15	10	5	5	10	2	9	5	5	10	10	5	0	5	2	5	1	7	3	1	6	6	3	6	3	6	6	2	0	4	6	10	7	7	3	7	6	5	9	5	4	9	1	3	3	1	11	0	9	4	8	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
18	1.Политическая партия «Аграрная партия России»	549	18	9	2	9	8	11	0	1	9	16	2	4	4	7	27	1	7	4	4	6	5	4	3	27	5	4	11	3	19	1	0	3	8	5	13	1	12	3	12	3	1	1	28	30	33	31	17	4	17	15	11	2	1	13	26	28					
		2.55%	5.47%	6.87%	0.45%	4.84%	3.70%	2.06%	0.00%	1.92%	2.74%	3.50%	1.13%	4.35%	1.70%	2.21%	15.52%	0.99%	2.33%	3.64%	2.02%	4.48%	1.66%	1.68%	0.84%	4.87%	4.24%	2.26%	3.13%	4.48%	4.62%	0.97%	0.00%	1.52%	1.79%	2.48%	6.16%	0.59%	3.95%	1.57%	3.36%	3.26%	1.89%	1.25%	1.71%	2.05%	2.10%	2.71%	1.79%	1.23%	2.43%	3.28%	1.87%	0.45%	0.47%	6.34%	2.53%	2.48%					
19	2.Всероссийская политическая партия «Гражданская Сила»	126	1	1	6	1	0	3	0	0	0	2	1	0	5	0	1	0	0	1	0	1	0	0	1	5	0	1	1	0	4	1	2	1	0	0	0	0	1	0	2	0	0	0	7	9	9	6	6	3	5	1	3	4	1	2	13	15					
