Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																												
Дата голосования: 04.12.2011																																																												
																																																												
Наименование Избирательной комиссии:    Шиловская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857					
1	"Число избирателей, внесенных в список избирателей"	34282	398	144	571	265	307	740	265	48	477	702	232	115	272	479	213	187	410	128	426	455	338	608	905	139	256	546	73	720	136	125	240	499	262	226	241	397	272	507	93	2340	2297	2094	2061	1499	625	1351	1298	1328	780	316	496	2112	2268					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34110	405	145	577	260	308	735	255	45	490	718	233	113	260	480	217	189	440	118	435	455	347	617	930	140	260	560	77	715	134	115	245	500	263	240	242	390	265	505	95	2375	2310	2100	2070	1480	632	1255	1300	1340	800	320	490	2120	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16427	238	51	253	124	132	375	124	27	241	319	181	64	254	163	102	37	221	38	110	218	151	283	448	73	128	312	54	328	52	44	87	261	147	121	89	221	120	231	63	1335	874	1380	1087	712	263	562	507	504	362	137	177	937	1105					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3168	66	57	99	30	58	104	74	18	73	64	21	25	0	108	53	28	43	66	192	32	47	22	98	40	57	42	0	59	42	27	66	128	49	53	63	62	42	39	24	98	355	23	52	34	60	145	34	38	65	30	8	29	26					
6	Число погашенных избирательных бюллетеней	14515	101	37	225	106	118	256	57	0	176	335	31	24	6	209	62	124	176	14	133	205	149	312	384	27	75	206	23	328	40	44	92	111	67	66	90	107	103	235	8	942	1081	697	931	734	309	548	759	798	373	153	305	1154	869					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3168	66	57	99	30	58	104	74	18	73	64	21	25	0	108	53	28	43	66	192	32	47	22	98	40	57	42	0	59	42	27	66	128	49	53	63	62	42	39	24	98	355	23	52	34	60	145	34	38	65	30	8	29	26					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16426	238	51	253	124	132	375	124	27	241	319	181	64	254	163	102	37	221	38	110	218	151	283	448	73	128	312	54	328	52	44	87	261	147	121	89	221	120	231	63	1335	874	1379	1087	712	263	562	507	504	362	137	177	937	1105					
9	Число недействительных избирательных бюллетеней	244	42	1	0	0	2	2	0	0	4	6	0	0	0	3	3	0	0	0	7	5	0	2	6	0	1	5	2	8	3	3	0	8	1	5	3	5	2	4	0	19	9	13	10	15	3	7	0	5	8	2	1	13	6					
10	Число действительных избирательных бюллетеней	19350	262	107	352	154	188	477	198	45	310	377	202	89	254	268	152	65	264	104	295	245	198	303	540	113	184	349	52	379	91	68	153	381	195	169	149	278	160	266	87	1414	1220	1389	1129	731	320	700	541	537	419	165	184	953	1125					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	508	5	2	8	3	4	13	3	2	13	10	3	2	3	6	3	3	9	2	6	6	8	8	14	2	4	7	2	10	10	3	4	7	4	3	3	5	4	7	4	30	30	30	30	18	8	17	17	20	13	5	10	25	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	321	5	1	8	0	2	13	0	0	13	5	1	0	0	0	1	1	9	2	1	2	7	3	14	0	2	6	0	8	0	0	1	0	2	3	0	2	0	6	4	19	15	17	26	13	5	13	9	4	13	5	4	23	33					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	252	1	2	9	3	1	7	2	3	3	2	3	4	0	0	2	2	3	2	4	6	4	4	7	1	1	11	0	7	3	6	1	2	4	3	7	11	6	4	2	7	5	3	10	14	10	20	13	8	4	2	1	7	5					
14	Число погашенных неиспользованных открепительных удостоверений	187	0	1	0	3	2	0	3	2	0	5	2	2	3	6	2	2	0	0	5	4	1	5	0	2	2	1	2	2	10	3	3	7	2	0	3	3	4	1	0	11	15	13	4	5	3	4	8	16	0	0	6	2	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	2	2	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2976	30	16	63	19	29	97	30	5	55	80	31	32	19	43	21	8	34	12	27	58	30	67	90	16	15	67	6	70	7	8	13	42	16	21	15	38	25	37	7	194	200	165	156	127	41	130	89	92	79	27	30	143	204					
		15.19%	9.87%	14.81%	17.90%	12.34%	15.26%	20.25%	15.15%	11.11%	17.52%	20.89%	15.35%	35.96%	7.48%	15.87%	13.55%	12.31%	12.88%	11.54%	8.94%	23.20%	15.15%	21.97%	16.48%	14.16%	8.11%	18.93%	11.11%	18.09%	7.45%	11.27%	8.50%	10.80%	8.16%	12.07%	9.87%	13.43%	15.43%	13.70%	8.05%	13.54%	16.27%	11.77%	13.70%	17.02%	12.69%	18.39%	16.45%	16.97%	18.50%	16.17%	16.22%	14.80%	18.04%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2096	9	7	54	21	18	81	32	7	36	53	34	4	28	26	34	8	47	12	35	34	29	46	64	15	16	50	1	47	4	10	21	33	11	15	13	20	17	43	11	114	94	87	93	88	45	75	64	68	40	20	29	109	124					
		10.70%	2.96%	6.48%	15.34%	13.64%	9.47%	16.91%	16.16%	15.56%	11.46%	13.84%	16.83%	4.49%	11.02%	9.59%	21.94%	12.31%	17.80%	11.54%	11.59%	13.60%	14.65%	15.08%	11.72%	13.27%	8.65%	14.12%	1.85%	12.14%	4.26%	14.08%	13.73%	8.48%	5.61%	8.62%	8.55%	7.07%	10.49%	15.93%	12.64%	7.96%	7.65%	6.21%	8.17%	11.80%	13.93%	10.61%	11.83%	12.55%	9.37%	11.98%	15.68%	11.28%	10.96%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	170	5	1	3	1	1	6	3	0	1	2	0	0	2	1	1	0	5	0	1	2	1	4	5	0	2	4	1	5	0	0	3	0	0	2	2	4	2	4	0	17	8	15	8	9	4	7	7	4	2	2	1	8	4					
