Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва											
Дата голосования: 04.12.2011											
											
Наименование Избирательной комиссии:    Курильская											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №82	УИК №83	УИК №84	УИК №85					
1	"Число избирателей, внесенных в список избирателей"	4473	698	1781	1261	733					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4420	701	1736	1263	720					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	6	0	6	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2613	336	832	950	495					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	117	20	19	68	10					
6	Число погашенных избирательных бюллетеней	1684	345	879	245	215					
7	Число избирательных бюллетеней в переносных ящиках для голосования	123	20	25	68	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2611	336	832	948	495					
9	Число недействительных избирательных бюллетеней	66	1	25	26	14					
10	Число действительных избирательных бюллетеней	2668	355	832	990	491					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	230	10	20	175	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	53	4	14	20	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	21	2	10	5	4					
14	Число погашенных неиспользованных открепительных удостоверений	177	6	6	155	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	2	4	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	201	25	72	68	36					
		7.35%	7.02%	8.40%	6.69%	7.13%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	667	80	133	299	155					
		24.40%	22.47%	15.52%	29.43%	30.69%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	30	3	13	12	2					
		1.10%	0.84%	1.52%	1.18%	0.40%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	360	35	118	116	91					
		13.17%	9.83%	13.77%	11.42%	18.02%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	42	2	21	13	6					
		1.54%	0.56%	2.45%	1.28%	1.19%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1337	209	466	468	194					
		48.90%	58.71%	54.38%	46.06%	38.42%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	31	1	9	14	7					
		1.13%	0.28%	1.05%	1.38%	1.39%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
