Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Каменск-Шахтинская городская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	71104	1262	1041	1536	2401	1966	1499	1312	1814	1386	1464	2032	2013	1407	1098	1512	1725	1585	1475	1423	1274	1754	1060	1529	2231	2236	1812	2254	2109	1633	2178	1034	2340	506	1981	1937	1568	1196	1678	1110	1528	1860	1811	1116	1324	94									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	68850	1200	1000	1500	2000	1900	1500	1200	1800	1400	1400	2000	2000	1400	1000	1400	1700	1600	1400	1400	1200	1700	1000	1500	2200	2200	1700	2200	2000	1600	2200	1000	2300	400	1900	1900	1500	1200	1600	1100	1500	1800	1800	1100	1300	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	30244	433	354	564	1354	712	511	530	973	631	729	1447	841	561	546	733	730	844	679	617	718	652	375	650	810	846	859	1701	728	713	1060	299	718	219	822	705	567	502	617	303	449	682	524	467	377	92									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1839	40	23	28	17	14	37	30	18	22	39	33	62	15	55	43	45	57	158	40	41	23	53	69	12	29	17	110	2	32	29	3	52	33	31	20	88	60	33	74	22	56	46	74	52	2									
6	Число погашенных избирательных бюллетеней	36767	727	623	908	629	1174	952	640	809	747	632	520	1097	824	399	624	925	699	563	743	441	1025	572	781	1378	1325	824	389	1270	855	1111	698	1530	148	1047	1175	845	638	950	723	1029	1062	1230	559	871	56									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1839	40	23	28	17	14	37	30	18	22	39	33	62	15	55	43	45	57	158	40	41	23	53	69	12	29	17	110	2	32	29	3	52	33	31	20	88	60	33	74	22	56	46	74	52	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	30242	433	354	564	1354	712	511	530	973	631	729	1447	841	561	546	733	730	844	679	617	718	652	375	650	810	846	859	1701	728	712	1060	299	718	219	822	705	567	501	617	303	449	682	524	467	377	92									
9	Число недействительных избирательных бюллетеней	555	9	8	19	33	18	9	0	16	13	16	21	21	10	7	14	11	4	7	11	9	15	7	12	20	23	21	22	18	14	11	3	12	6	6	21	12	9	7	11	12	14	13	1	7	2									
10	Число действительных избирательных бюллетеней	31526	464	369	573	1338	708	539	560	975	640	752	1459	882	566	594	762	764	897	830	646	750	660	421	707	802	852	855	1789	712	730	1078	299	758	246	847	704	643	552	643	366	459	724	557	540	422	92									
