Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Мишкинская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №659	УИК №661	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №677	УИК №678	УИК №679	УИК №680									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14184	1128	474	1025	930	430	953	445	1142	151	291	682	764	290	448	229	1387	363	702	111	366	261	174	209	186	169	299	94	241	240									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13300	1050	450	1000	850	400	850	350	1050	150	250	650	750	250	450	200	1300	350	700	100	350	250	150	200	150	150	300	100	250	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5523	398	182	306	354	88	349	216	437	55	130	233	269	121	178	87	530	161	274	73	175	129	90	103	113	66	136	48	134	88									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1543	83	29	51	72	100	35	35	45	24	60	120	87	40	63	51	95	80	117	9	91	35	13	19	27	45	36	17	13	51									
6	Число погашенных избирательных бюллетеней	6234	569	239	643	424	212	466	99	568	71	60	297	394	89	209	62	675	109	309	18	84	86	47	78	10	39	128	35	103	111									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1543	83	29	51	72	100	35	35	45	24	60	120	87	40	63	51	95	80	117	9	91	35	13	19	27	45	36	17	13	51									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5523	398	182	306	354	88	349	216	437	55	130	233	269	121	178	87	530	161	274	73	175	129	90	103	113	66	136	48	134	88									
9	Число недействительных избирательных бюллетеней	148	23	6	8	11	11	7	4	16	0	4	10	3	3	8	1	0	5	4	2	7	3	1	0	3	0	2	2	0	4									
10	Число действительных избирательных бюллетеней	6918	458	205	349	415	177	377	247	466	79	186	343	353	158	233	137	625	236	387	80	259	161	102	122	137	111	170	63	147	135									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	368	20	10	20	15	5	10	5	15	5	10	10	15	5	15	10	25	15	30	13	15	15	10	10	10	5	10	4	15	21									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	293	6	0	20	12	5	7	5	15	0	10	10	5	5	15	10	18	15	30	13	15	13	4	2	3	5	10	4	15	21									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	66	7	1	3	8	1	3	4	6	1	2	1	4	2	1	2	4	1	2	2	1	1	1	1	0	1	3	0	2	1									
