Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																		
Дата голосования: 07.12.2003 0:00:00																		
																		
Наименование Избирательной комиссии:    Лангепасская городская																		
																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																		
																		
		Сумма	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85					
1	"Число избирателей, внесенных в списки"	25263	2275	2397	1867	1841	2513	2681	2300	2000	2398	2373	2618					
2	"Число бюллетеней, полученных участковыми комиссиями"	25100	2200	2300	1900	1800	2500	2700	2300	2000	2400	2400	2600					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18920	1608	1759	1359	1427	1857	2053	1781	1571	1780	1773	1952					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	159	14	16	11	12	14	11	14	15	13	18	21					
6	Число погашенных бюллетеней	6021	578	525	530	361	629	636	505	414	607	609	627					
7	Число бюллетеней в переносных ящиках для голосования	159	14	16	11	12	14	11	14	15	13	18	21					
8	Число бюллетеней в стационарных ящиках для голосования	18914	1605	1758	1359	1427	1855	2053	1781	1571	1780	1773	1952					
9	Число недействительных бюллетеней	235	31	19	13	21	15	29	15	22	25	19	26					
10	Число действительных бюллетеней	18838	1588	1755	1357	1418	1854	2035	1780	1564	1768	1772	1947					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	417	37	38	38	38	38	38	38	38	38	38	38					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	174	15	8	14	10	17	24	12	12	19	29	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	144	20	46	1	3	12	22	7	4	8	10	11					
14	Число погашенных открепительных удостоверений	243	22	30	24	28	21	14	26	26	19	9	24					
15	Число открепительных удостоверений выданных ТИК	33	2	1	3	5	6	2	3	1	6	2	2					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	"1. ""ЕДИНЕНИЕ"""	292	22	33	23	24	25	38	22	24	25	32	24					
		1.53%	1.35%	1.86%	1.67%	1.66%	1.33%	1.84%	1.22%	1.51%	1.39%	1.78%	1.21%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	743	47	58	56	49	77	92	76	58	69	72	89					
		3.89%	2.90%	3.26%	4.08%	3.40%	4.11%	4.45%	4.23%	3.65%	3.84%	4.02%	4.51%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	491	46	38	35	60	44	54	33	26	45	35	75					
		2.57%	2.84%	2.14%	2.55%	4.16%	2.35%	2.61%	1.83%	1.63%	2.50%	1.95%	3.80%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	722	44	53	55	47	81	106	75	63	53	68	77					
		3.78%	2.71%	2.98%	4.01%	3.26%	4.33%	5.13%	4.17%	3.97%	2.95%	3.79%	3.90%					
22	"5. ""За Русь Святую"""	116	8	13	18	18	5	16	7	7	8	11	5					
		0.60%	0.49%	0.73%	1.31%	1.25%	0.26%	0.77%	0.38%	0.44%	0.44%	0.61%	0.25%					
23	"6. ""Объединенная Российская партия ""Русь"""	59	5	7	5	4	5	8	5	3	5	6	6					
		0.30%	0.30%	0.39%	0.36%	0.27%	0.26%	0.38%	0.27%	0.18%	0.27%	0.33%	0.30%					
24	"7. ""Новый курс - Автомобильная Россия"""	179	16	10	8	13	23	27	17	14	17	23	11					
		0.93%	0.98%	0.56%	0.58%	0.90%	1.23%	1.30%	0.94%	0.88%	0.94%	1.28%	0.55%					
25	"8. ""Народно-республиканская партия России"""	28	6	2	1	3	3	2	4	2	3	0	2					
		0.14%	0.37%	0.11%	0.07%	0.20%	0.16%	0.09%	0.22%	0.12%	0.16%	0.0%	0.10%					
26	"9. ""Российская экологическая партия ""Зеленые"""	89	4	7	7	8	12	7	12	10	6	8	8					
		0.46%	0.24%	0.39%	0.51%	0.55%	0.64%	0.33%	0.66%	0.63%	0.33%	0.44%	0.40%					
27	"10. ""Аграрная партия России"""	296	18	15	16	22	34	25	32	32	33	34	35					
		1.55%	1.11%	0.84%	1.16%	1.52%	1.81%	1.21%	1.78%	2.01%	1.84%	1.89%	1.77%					
28	"11. ""Истинные патриоты России"""	76	10	13	10	3	5	5	1	12	8	6	3					
		0.39%	0.61%	0.73%	0.72%	0.20%	0.26%	0.24%	0.05%	0.75%	0.44%	0.33%	0.15%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	193	20	15	17	11	16	22	19	17	8	22	26					
		1.01%	1.23%	0.84%	1.24%	0.76%	0.85%	1.06%	1.05%	1.07%	0.44%	1.22%	1.31%					
30	"13. ""Демократическая партия России"""	50	3	6	1	5	3	10	4	3	6	5	4					
		0.26%	0.18%	0.33%	0.07%	0.34%	0.16%	0.48%	0.22%	0.18%	0.33%	0.27%	0.20%					
31	"14. ""Великая Россия - Евразийский Союз"""	45	3	1	2	5	5	7	4	2	7	4	5					
		0.23%	0.18%	0.05%	0.14%	0.34%	0.26%	0.33%	0.22%	0.12%	0.39%	0.22%	0.25%					
32	"15. ""Партия СЛОН"""	37	3	6	3	1	3	5	2	3	5	1	5					
		0.19%	0.18%	0.33%	0.21%	0.06%	0.16%	0.24%	0.11%	0.18%	0.27%	0.05%	0.25%					
33	"16. ""Родина"" (народно-патриотический союз)"""	943	62	55	73	65	89	115	120	81	75	88	120					
		4.94%	3.82%	3.10%	5.32%	4.51%	4.76%	5.57%	6.68%	5.10%	4.18%	4.91%	6.08%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	51	6	5	1	8	10	6	0	1	2	6	6					
		0.26%	0.37%	0.28%	0.07%	0.55%	0.53%	0.29%	0.0%	0.06%	0.11%	0.33%	0.30%					
35	"18. ""ЛДПР"""	4773	439	530	341	342	438	497	435	388	465	402	496					
		25.02%	27.11%	29.87%	24.89%	23.76%	23.43%	24.07%	24.23%	24.46%	25.93%	22.44%	25.13%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	177	18	13	13	23	13	16	16	11	9	26	19					
		0.92%	1.11%	0.73%	0.94%	1.59%	0.69%	0.77%	0.89%	0.69%	0.50%	1.45%	0.96%					
37	"20. ""Политическая партия ""Единая Россия"""	6730	527	604	490	548	734	702	616	571	616	653	669					
		35.28%	32.55%	34.04%	35.76%	38.08%	39.27%	34.01%	34.31%	36.00%	34.35%	36.46%	33.90%					
38	"21. ""Российская Конституционно-демократическая партия"""	26	2	4	3	3	1	5	1	3	2	2	0					
		0.13%	0.12%	0.22%	0.21%	0.20%	0.05%	0.24%	0.05%	0.18%	0.11%	0.11%	0.0%					
39	"22. ""Развитие предпринимательства"""	58	6	3	2	6	8	9	5	5	4	5	5					
		0.30%	0.37%	0.16%	0.14%	0.41%	0.42%	0.43%	0.27%	0.31%	0.22%	0.27%	0.25%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1299	171	132	73	67	96	111	140	109	150	123	127					
		6.81%	10.56%	7.44%	5.32%	4.65%	5.13%	5.37%	7.79%	6.87%	8.36%	6.86%	6.43%					
																		
41	Против всех	1365	102	132	104	83	124	150	134	119	147	140	130					
		7.15%	6.30%	7.44%	7.59%	5.76%	6.63%	7.26%	7.46%	7.50%	8.19%	7.81%	6.58%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
