Выборы Президента Российской Федерации																																																																										
																																																																										
Наименование Избирательной комиссии:    Канашская																																																																										
																																																																										
Итоги голосования 																																																																										
																																																																										
		Сумма	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292					
1	"Число избирателей, внесенных в список"	30266	756	891	760	261	304	491	218	157	238	433	281	115	613	394	295	2180	382	178	701	559	101	164	749	198	176	672	428	90	402	228	266	239	267	217	620	260	274	203	242	901	1013	181	1123	468	344	1265	343	431	195	676	445	806	338	292	384	262	546	255	756	236	551	261	419	391	505	201	675					
2	Число полученных избирательных бюллетеней	29521	723	819	721	257	297	488	212	161	236	436	285	122	596	364	275	1980	367	198	688	555	112	167	766	195	190	646	429	97	401	230	249	224	269	212	614	257	262	196	251	877	981	201	1097	448	323	1253	324	410	194	674	472	790	332	276	372	257	559	255	732	237	532	255	409	384	485	196	649					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19173	436	500	451	175	191	300	145	99	125	254	213	91	358	264	183	1322	269	129	440	371	80	110	475	153	128	385	272	72	244	139	162	165	176	185	433	175	168	157	174	579	570	120	712	282	203	760	210	248	117	406	268	506	215	162	265	180	350	148	439	151	365	169	287	296	385	142	469					
5	"Число избирательных бюллетеней, выданных вне помещения"	1508	49	24	27	10	13	21	7	6	15	27	18	0	14	4	15	99	20	5	34	16	3	9	55	12	15	35	11	5	17	19	31	17	16	7	20	15	20	19	39	26	71	9	9	45	18	30	33	22	14	21	15	44	29	23	31	18	44	24	38	10	18	20	14	2	30	27	34					
6	Число погашенных избирательных бюллетеней	8840	238	295	243	72	93	167	60	56	96	155	54	31	224	96	77	559	78	64	214	168	29	48	236	30	47	226	146	20	140	72	56	42	77	20	161	67	74	20	38	272	340	72	376	121	102	463	81	140	63	247	189	240	88	91	76	59	165	83	255	76	149	66	108	86	70	27	146					
7	Число избирательных бюллетеней в переносных ящиках	1508	49	24	27	10	13	21	7	6	15	27	18	0	14	4	15	99	20	5	34	16	3	9	55	12	15	35	11	5	17	19	31	17	16	7	20	15	20	19	39	26	71	9	9	45	18	30	33	22	14	21	15	44	29	23	31	18	44	24	38	10	18	20	14	2	30	27	34					
8	Число бюллетеней в стационарных ящиках для голосования	19172	436	500	451	175	191	300	145	99	125	254	213	91	358	264	183	1322	269	129	440	370	80	110	475	153	128	385	272	72	244	139	162	165	176	185	433	175	168	157	174	579	570	120	712	282	203	760	210	248	117	406	268	506	215	162	265	180	350	148	439	151	365	169	287	296	385	142	469					
9	Число недействительных избирательных бюллетеней	401	8	5	18	2	4	3	3	2	6	6	1	0	8	6	12	33	12	5	9	6	3	0	13	1	5	14	7	3	3	1	3	3	1	4	11	2	3	1	1	10	16	3	16	3	0	10	2	10	5	14	7	10	7	1	5	4	9	6	5	7	5	3	1	4	1	4	5					
10	Число действительных избирательных бюллетеней	20279	477	519	460	183	200	318	149	103	134	275	230	91	364	262	186	1388	277	129	465	380	80	119	517	164	138	406	276	74	258	157	190	179	191	188	442	188	185	175	212	595	625	126	705	324	221	780	241	260	126	413	276	540	237	184	291	194	385	166	472	154	378	186	300	294	414	165	498					
11	Число полученных открепительных  удостоверений	990	23	21	23	9	10	16	2	5	8	15	10	4	18	13	10	53	13	6	24	19	3	5	26	6	6	21	14	3	14	8	9	12	10	8	20	9	9	6	9	29	33	7	36	15	11	41	12	13	6	23	32	27	12	10	13	9	26	3	25	9	18	9	14	13	16	6	22					
12	Число выданных открепительных удостоверений	765	23	15	5	9	10	16	2	1	8	15	10	3	9	3	0	22	13	6	18	19	3	5	26	6	6	10	14	3	14	8	1	12	10	8	20	9	9	6	9	29	16	5	27	7	4	41	6	3	2	23	32	25	12	3	13	9	26	3	25	9	8	6	14	13	7	6	5					
