Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																	
Дата голосования: 04.12.2011																	
																	
Наименование Избирательной комиссии:    Петропавловская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262					
1	"Число избирателей, внесенных в список избирателей"	10445	1170	1333	1408	1289	769	781	766	1292	1030	607					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10150	1100	1300	1400	1300	750	750	750	1200	1000	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5240	544	637	596	745	397	358	440	649	565	309					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	411	42	13	51	44	29	59	34	71	39	29					
6	Число погашенных избирательных бюллетеней	4499	514	650	753	511	324	333	276	480	396	262					
7	Число избирательных бюллетеней в переносных ящиках для голосования	411	42	13	51	44	29	59	34	71	39	29					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5238	544	637	596	745	397	357	440	649	564	309					
9	Число недействительных избирательных бюллетеней	123	9	21	11	4	15	16	12	16	10	9					
10	Число действительных избирательных бюллетеней	5526	577	629	636	785	411	400	462	704	593	329					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	95	12	4	13	12	7	3	7	19	14	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	67	11	3	6	5	6	0	4	17	13	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	29	2	3	3	0	3	2	4	6	5	1					
14	Число погашенных неиспользованных открепительных удостоверений	28	1	1	7	7	1	3	3	2	1	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	0	0	4	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	619	81	61	77	50	48	53	41	83	87	38					
		10.96%	13.82%	9.38%	11.90%	6.34%	11.27%	12.74%	8.65%	11.53%	14.43%	11.24%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	801	109	87	110	104	53	74	80	75	63	46					
		14.18%	18.60%	13.38%	17.00%	13.18%	12.44%	17.79%	16.88%	10.42%	10.45%	13.61%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	36	4	7	1	5	2	1	4	6	3	3					
		0.64%	0.68%	1.08%	0.15%	0.63%	0.47%	0.24%	0.84%	0.83%	0.50%	0.89%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1201	119	127	96	211	91	118	76	144	156	63					
		21.26%	20.31%	19.54%	14.84%	26.74%	21.36%	28.37%	16.03%	20.00%	25.87%	18.64%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	67	5	13	9	7	4	1	3	15	6	4					
		1.19%	0.85%	2.00%	1.39%	0.89%	0.94%	0.24%	0.63%	2.08%	0.99%	1.18%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2792	259	332	343	407	210	151	258	380	278	174					
		49.42%	44.20%	51.08%	53.01%	51.58%	49.30%	36.30%	54.43%	52.78%	46.10%	51.48%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	10	0	2	0	1	3	2	0	1	0	1					
		0.18%	0.00%	0.31%	0.00%	0.13%	0.70%	0.48%	0.00%	0.14%	0.00%	0.30%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
