Выборы Президента Российской Федерации																																																																			
																																																																			
Наименование Избирательной комиссии:    Миллеровская																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК №246	УИК №247	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №2480	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554					
1	"Число избирателей, внесенных в список"	55607	86	1814	1926	2337	2515	338	1685	2150	2866	1589	1240	2809	2245	1772	2304	1549	601	844	222	661	444	686	610	361	1229	245	735	265	787	588	638	286	1197	372	1103	605	2618	296	264	245	658	169	573	910	684	529	753	712	159	2273	329	463	169	644	295	158	138	363	248	253					
2	Число полученных избирательных бюллетеней	55431	90	1818	1883	2223	2537	346	1705	2050	2864	1588	1267	2893	2112	1901	2235	1361	608	865	222	665	450	691	612	364	1224	258	727	262	767	628	654	273	1192	393	1049	596	2628	301	268	293	662	168	571	939	721	517	762	700	159	2290	327	462	165	652	295	161	157	356	251	253					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	33689	51	948	1228	1460	1706	274	1042	1181	1680	815	854	1426	924	901	1377	851	270	503	181	500	333	556	422	259	701	191	452	207	540	403	463	236	737	239	599	374	1423	107	220	244	365	135	442	578	500	320	451	460	103	1315	265	365	114	391	174	135	126	199	149	224					
5	"Число избирательных бюллетеней, выданных вне помещения"	4623	28	201	84	120	95	5	129	143	116	249	103	115	255	117	26	50	119	49	0	30	29	0	79	19	153	9	49	15	104	99	49	11	158	61	182	111	269	94	0	1	93	18	0	77	12	55	157	88	18	202	15	57	22	98	29	0	12	109	35	0					
6	Число погашенных избирательных бюллетеней	17119	11	669	571	643	736	67	534	726	1068	524	310	1352	933	883	832	460	219	313	41	135	88	135	111	86	370	58	226	40	123	126	142	26	297	93	268	111	936	100	48	48	204	15	129	284	209	142	154	152	38	773	47	40	29	163	92	26	19	48	67	29					
7	Число избирательных бюллетеней в переносных ящиках	4622	28	201	84	120	95	5	129	143	116	249	103	115	255	117	26	50	119	49	0	30	29	0	79	19	153	9	49	15	104	99	49	11	158	61	182	111	269	94	0	1	93	18	0	77	12	54	157	88	18	202	15	57	22	98	29	0	12	109	35	0					
8	Число бюллетеней в стационарных ящиках для голосования	33689	51	948	1228	1460	1706	274	1042	1181	1680	815	854	1426	924	901	1377	851	270	503	181	500	333	556	422	259	701	191	452	207	540	403	463	236	737	239	599	374	1423	107	220	244	365	135	442	578	500	320	451	460	103	1315	265	365	114	391	174	135	126	199	149	224					
9	Число недействительных избирательных бюллетеней	333	0	2	3	6	10	1	6	3	17	11	0	9	9	7	4	4	0	3	1	15	0	4	0	3	5	1	1	0	28	9	2	2	5	0	8	6	22	0	0	9	2	3	3	61	4	1	5	7	0	17	0	2	0	4	1	0	0	5	2	0					
10	Число действительных избирательных бюллетеней	37978	79	1147	1309	1574	1791	278	1165	1321	1779	1053	957	1532	1170	1011	1399	897	389	549	180	515	362	552	501	275	849	199	500	222	616	493	510	245	890	300	773	479	1670	201	220	236	456	150	439	594	508	373	603	541	121	1500	280	420	136	485	202	135	138	303	182	224					
