Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																								
Дата голосования: 02.12.2007																																								
																																								
Наименование Избирательной комиссии:    Шарыповская																																								
																																								
Сводная таблица результатов выборов																																								
																																								
		Сумма	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112					
1	"Число избирателей, внесенных в списки избирателей"	12029	1172	185	169	123	192	691	236	219	128	118	240	826	330	157	183	660	674	117	250	127	671	1113	292	333	274	138	338	1028	118	236	275	350	66					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11972	1165	180	166	135	215	700	230	205	127	115	235	835	322	157	180	660	690	115	310	132	650	1090	280	330	260	121	316	1010	120	240	270	345	66					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7582	678	176	105	83	142	473	155	186	103	89	151	479	190	96	88	383	391	86	214	103	412	699	173	244	179	111	201	512	63	185	174	209	49					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	789	80	4	10	8	21	40	30	12	12	2	26	32	28	21	51	39	47	13	36	6	47	37	10	10	16	0	25	70	5	4	15	27	5					
6	Число погашенных избирательных бюллетеней	3596	407	0	51	44	52	187	45	7	12	24	58	324	104	40	41	233	252	16	60	23	191	354	97	76	65	10	90	428	52	51	81	109	12					
7	Число избирательных бюллетеней в переносных ящиках для голосования	794	80	4	10	8	21	40	30	12	12	2	26	32	28	21	51	44	47	13	36	6	47	37	10	10	16	0	25	70	5	4	15	27	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7582	678	176	105	83	142	473	155	186	103	89	151	479	190	96	88	383	391	86	214	103	412	699	173	244	179	111	201	512	63	185	174	209	49					
9	Число недействительных избирательных бюллетеней	132	5	5	0	2	4	3	0	3	0	1	9	10	1	0	1	8	10	1	1	1	5	18	1	9	3	1	3	10	1	5	6	5	0					
10	Число действительных избирательных бюллетеней	8244	753	175	115	89	159	510	185	195	115	90	168	501	217	117	138	419	428	98	249	108	454	718	182	245	192	110	223	572	67	184	183	231	54					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	242	20	3	3	3	6	14	3	3	3	3	3	20	3	3	3	20	20	4	4	3	20	20	3	3	3	3	3	20	6	3	3	3	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	134	14	1	0	0	6	8	1	0	1	0	1	16	0	1	3	12	11	4	3	3	5	16	2	2	1	0	3	11	3	0	0	0	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	185	12	2	2	4	7	4	4	2	1	2	3	8	5	1	5	8	2	7	5	3	9	17	16	5	4	13	4	14	4	3	3	0	6					
14	Число погашенных неиспользованных открепительных удостоверений	108	6	2	3	3	0	6	2	3	2	3	2	4	3	2	0	8	9	0	1	0	15	4	1	1	2	3	0	9	3	3	3	3	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	1.Политическая партия «Аграрная партия России»	298	33	13	0	1	11	47	5	2	8	2	7	28	14	7	1	8	7	2	4	0	9	16	6	3	5	4	15	23	0	7	5	4	1					
		3.56%	4.35%	7.22%	0.00%	1.10%	6.75%	9.16%	2.70%	1.01%	6.96%	2.20%	3.95%	5.48%	6.42%	5.98%	0.72%	1.87%	1.60%	2.02%	1.60%	0.00%	1.96%	2.17%	3.28%	1.18%	2.56%	3.60%	6.64%	3.95%	0.00%	3.70%	2.65%	1.69%	1.85%					
19	2.Всероссийская политическая партия «Гражданская Сила»	27	5	0	0	0	1	1	1	0	0	0	0	1	1	0	0	1	3	0	1	0	2	0	2	0	0	1	2	2	0	1	2	0	0					
		0.32%	0.66%	0.00%	0.00%	0.00%	0.61%	0.19%	0.54%	0.00%	0.00%	0.00%	0.00%	0.20%	0.46%	0.00%	0.00%	0.23%	0.68%	0.00%	0.40%	0.00%	0.44%	0.00%	1.09%	0.00%	0.00%	0.90%	0.88%	0.34%	0.00%	0.53%	1.06%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	11	1	0	0	0	0	2	0	1	1	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
		0.13%	0.13%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.51%	0.87%	1.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	940	62	4	7	6	14	41	14	8	19	2	12	93	16	14	12	56	40	8	18	9	77	107	37	15	20	27	19	99	7	15	30	29	3					
		11.22%	8.18%	2.22%	6.09%	6.59%	8.59%	7.99%	7.57%	4.04%	16.52%	2.20%	6.78%	18.20%	7.34%	11.97%	8.63%	13.11%	9.13%	8.08%	7.20%	8.26%	16.78%	14.54%	20.22%	5.91%	10.26%	24.32%	8.41%	17.01%	10.29%	7.94%	15.87%	12.29%	5.56%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	54	8	0	0	0	0	1	1	0	2	0	0	5	0	0	0	8	3	0	0	0	2	3	1	0	12	0	1	3	0	0	2	1	1					
		0.64%	1.06%	0.00%	0.00%	0.00%	0.00%	0.19%	0.54%	0.00%	1.74%	0.00%	0.00%	0.98%	0.00%	0.00%	0.00%	1.87%	0.68%	0.00%	0.00%	0.00%	0.44%	0.41%	0.55%	0.00%	6.15%	0.00%	0.44%	0.52%	0.00%	0.00%	1.06%	0.42%	1.85%					
23	6.Политическая партия «Партия социальной справедливости»	7	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0					
		0.08%	0.00%	1.11%	0.00%	0.00%	0.00%	0.19%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%					
