Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Билибинская																				
																				
Сводная таблица итогов голосования  по федеральному округу																				
																				
		Сумма	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35					
1	"Число избирателей, внесенных в списки"	7099	745	699	748	734	701	695	723	278	613	247	385	187	344					
2	"Число бюллетеней, полученных участковыми комиссиями"	6726	685	679	679	685	672	668	672	207	610	250	377	183	359					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	227	0	0	0	0	0	0	0	0	112	19	33	32	31					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3795	356	397	390	330	359	367	422	124	277	181	231	137	224					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	102	5	7	33	7	4	4	1	8	7	7	13	0	6					
6	Число погашенных бюллетеней	2602	324	275	256	348	309	297	249	75	214	43	100	14	98					
7	Число бюллетеней в переносных ящиках для голосования	329	5	7	33	7	4	4	1	8	119	26	46	32	37					
8	Число бюллетеней в стационарных ящиках для голосования	3793	356	397	389	330	359	367	422	123	277	181	231	137	224					
9	Число недействительных бюллетеней	55	4	0	9	4	7	4	5	1	5	2	7	0	7					
10	Число действительных бюллетеней	4067	357	404	413	333	356	367	418	130	391	205	270	169	254					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	126	10	10	10	10	9	10	10	10	8	10	10	10	9					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	17	0	6	3	0	0	2	0	0	1	3	0	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	12	3	0	0	1	0	0	1	2	0	2	1	0	2					
14	Число погашенных открепительных удостоверений	109	10	4	7	10	9	8	10	10	7	7	10	9	8					
15	Число открепительных удостоверений выданных ТИК	9	0	1	1	1	1	0	1	0	2	0	0	0	2					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	"1. ""ЕДИНЕНИЕ"""	92	8	5	9	11	5	7	11	0	10	5	12	3	6					
		2.23%	2.21%	1.23%	2.13%	3.26%	1.37%	1.88%	2.60%	0.0%	2.52%	2.41%	4.33%	1.77%	2.29%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	93	14	9	7	4	9	6	19	0	12	0	7	1	5					
		2.25%	3.87%	2.22%	1.65%	1.18%	2.47%	1.61%	4.49%	0.0%	3.03%	0.0%	2.52%	0.59%	1.91%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	178	14	15	22	18	15	17	22	10	19	9	10	4	3					
		4.31%	3.87%	3.71%	5.21%	5.34%	4.13%	4.58%	5.20%	7.63%	4.79%	4.34%	3.61%	2.36%	1.14%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	142	14	16	13	13	15	18	16	6	10	3	5	2	11					
		3.44%	3.87%	3.96%	3.08%	3.85%	4.13%	4.85%	3.78%	4.58%	2.52%	1.44%	1.80%	1.18%	4.21%					
22	"5. ""За Русь Святую"""	27	6	2	2	2	6	3	1	1	3	0	0	0	1					
		0.65%	1.66%	0.49%	0.47%	0.59%	1.65%	0.80%	0.23%	0.76%	0.75%	0.0%	0.0%	0.0%	0.38%					
23	"6. ""Объединенная Российская партия ""Русь"""	20	0	1	4	1	1	3	2	1	1	1	2	1	2					
		0.48%	0.0%	0.24%	0.94%	0.29%	0.27%	0.80%	0.47%	0.76%	0.25%	0.48%	0.72%	0.59%	0.76%					
24	"7. ""Новый курс - Автомобильная Россия"""	17	2	1	3	1	0	2	3	3	0	0	1	0	1					
		0.41%	0.55%	0.24%	0.71%	0.29%	0.0%	0.53%	0.70%	2.29%	0.0%	0.0%	0.36%	0.0%	0.38%					
25	"8. ""Народно-республиканская партия России"""	2	0	1	1	0	0	0	0	0	0	0	0	0	0					
		0.04%	0.0%	0.24%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	20	2	0	1	0	2	3	3	0	1	1	3	1	3					
		0.48%	0.55%	0.0%	0.23%	0.0%	0.55%	0.80%	0.70%	0.0%	0.25%	0.48%	1.08%	0.59%	1.14%					
27	"10. ""Аграрная партия России"""	54	1	4	8	7	6	3	4	2	5	3	6	3	2					
		1.31%	0.27%	0.99%	1.89%	2.07%	1.65%	0.80%	0.94%	1.52%	1.26%	1.44%	2.16%	1.77%	0.76%					
28	"11. ""Истинные патриоты России"""	4	0	1	0	0	0	0	0	0	2	1	0	0	0					
		0.09%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.48%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	66	2	6	2	4	6	2	7	2	21	4	6	0	4					
		1.60%	0.55%	1.48%	0.47%	1.18%	1.65%	0.53%	1.65%	1.52%	5.30%	1.93%	2.16%	0.0%	1.53%					
30	"13. ""Демократическая партия России"""	18	1	4	5	1	1	1	2	0	2	0	1	0	0					
		0.43%	0.27%	0.99%	1.18%	0.29%	0.27%	0.26%	0.47%	0.0%	0.50%	0.0%	0.36%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	11	3	1	1	0	1	1	0	0	2	0	1	0	1					
		0.26%	0.83%	0.24%	0.23%	0.0%	0.27%	0.26%	0.0%	0.0%	0.50%	0.0%	0.36%	0.0%	0.38%					
32	"15. ""Партия СЛОН"""	6	1	0	0	0	2	1	1	0	1	0	0	0	0					
		0.14%	0.27%	0.0%	0.0%	0.0%	0.55%	0.26%	0.23%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	255	17	35	24	25	30	35	18	7	14	14	13	8	15					
		6.18%	4.70%	8.66%	5.68%	7.41%	8.26%	9.43%	4.25%	5.34%	3.53%	6.76%	4.69%	4.73%	5.74%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	8	0	1	0	1	0	0	0	0	4	1	0	0	1					
		0.19%	0.0%	0.24%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	1.01%	0.48%	0.0%	0.0%	0.38%					
35	"18. ""ЛДПР"""	423	51	45	54	38	41	39	43	15	36	11	11	16	23					
		10.26%	14.12%	11.13%	12.79%	11.27%	11.29%	10.51%	10.16%	11.45%	9.09%	5.31%	3.97%	9.46%	8.81%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	52	3	7	3	5	9	3	4	4	6	2	4	2	0					
		1.26%	0.83%	1.73%	0.71%	1.48%	2.47%	0.80%	0.94%	3.05%	1.51%	0.96%	1.44%	1.18%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	2134	182	186	199	168	161	180	222	64	202	138	160	117	155					
		51.77%	50.41%	46.03%	47.15%	49.85%	44.35%	48.51%	52.48%	48.85%	51.01%	66.66%	57.76%	69.23%	59.38%					
38	"21. ""Российская Конституционно-демократическая партия"""	12	0	2	1	2	3	1	0	1	1	0	1	0	0					
		0.29%	0.0%	0.49%	0.23%	0.59%	0.82%	0.26%	0.0%	0.76%	0.25%	0.0%	0.36%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	9	0	1	1	1	0	0	2	0	2	1	0	0	1					
		0.21%	0.0%	0.24%	0.23%	0.29%	0.0%	0.0%	0.47%	0.0%	0.50%	0.48%	0.0%	0.0%	0.38%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	282	26	41	39	25	28	24	26	10	17	7	21	6	12					
		6.84%	7.20%	10.14%	9.24%	7.41%	7.71%	6.46%	6.14%	7.63%	4.29%	3.38%	7.58%	3.55%	4.59%					
																				
41	Против всех	142	10	20	14	6	15	18	12	4	20	4	6	5	8					
		3.44%	2.77%	4.95%	3.31%	1.78%	4.13%	4.85%	2.83%	3.05%	5.05%	1.93%	2.16%	2.95%	3.06%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
