Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																
Дата голосования: 02.12.2007																																																
																																																
Наименование Избирательной комиссии:    Упоровская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054					
1	"Число избирателей, внесенных в списки избирателей"	14742	1578	1422	883	428	130	96	441	137	100	231	506	631	197	72	125	147	161	684	88	134	215	91	450	130	123	478	231	136	278	357	561	917	208	768	223	178	356	59	520	112	160					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15100	1510	1446	900	443	132	97	460	140	103	242	538	655	216	78	142	159	175	700	96	138	217	99	462	132	121	495	229	136	290	366	608	910	209	788	228	179	366	58	555	118	164					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	467	0	0	0	0	0	0	113	0	0	74	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	134	0	0	0	103	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11923	1363	1252	763	364	113	58	284	124	95	132	419	583	187	67	111	86	128	568	81	115	191	78	420	120	114	292	57	117	223	314	280	764	175	559	157	155	287	54	446	100	127					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1435	105	70	46	51	11	31	27	10	5	15	66	31	5	4	8	14	25	70	6	17	22	5	14	7	6	128	33	15	44	29	77	72	13	139	59	20	49	4	48	10	24					
6	Число погашенных избирательных бюллетеней	1275	42	124	91	28	8	8	36	6	3	21	53	41	24	7	23	16	22	62	9	6	4	16	28	5	1	75	5	4	23	23	148	74	21	90	12	4	30	0	61	8	13					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1902	105	70	46	51	11	31	140	10	5	89	66	31	5	4	8	57	25	70	6	17	22	5	14	7	6	128	167	15	44	29	180	72	13	139	59	20	49	4	48	10	24					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11923	1363	1252	763	364	113	58	284	124	95	132	419	583	187	67	111	86	128	568	81	115	191	78	420	120	114	292	57	117	223	314	280	764	175	559	157	155	287	54	446	100	127					
9	Число недействительных избирательных бюллетеней	155	7	13	2	8	0	0	3	0	1	4	17	17	10	0	0	12	0	7	1	1	2	3	1	1	1	0	0	0	0	0	6	3	5	7	1	9	0	0	5	2	6					
10	Число действительных избирательных бюллетеней	13670	1461	1309	807	407	124	89	421	134	99	217	468	597	182	71	119	131	153	631	86	131	211	80	433	126	119	420	224	132	267	343	454	833	183	691	215	166	336	58	489	108	145					
