Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																												
Дата голосования: 02.12.2007																																																																												
																																																																												
Наименование Избирательной комиссии:    Кукморская																																																																												
																																																																												
Сводная таблица результатов выборов																																																																												
																																																																												
		Сумма	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752					
1	"Число избирателей, внесенных в списки избирателей"	37961	1508	1394	1428	1232	1881	1609	1556	1042	1698	260	147	763	616	398	555	360	618	214	224	340	354	247	279	279	479	283	602	139	407	640	585	694	894	295	290	433	179	242	377	298	474	242	1076	621	282	220	703	369	500	294	141	539	534	286	179	385	611	456	327	406	169	508	220	343	492	273	440	610	422					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	37397	1410	1283	1357	1150	1796	1541	1501	988	1709	262	149	764	616	398	559	362	616	214	224	341	352	242	278	280	480	284	602	140	405	643	586	693	890	293	293	437	178	243	374	295	475	243	1071	626	279	219	713	378	500	295	140	538	535	285	181	385	609	461	331	405	169	508	228	353	495	270	441	614	422					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	34096	1262	1198	1184	1082	1724	1384	1364	904	1622	239	141	721	576	384	529	347	539	192	201	322	344	235	250	265	394	256	584	129	386	365	331	687	852	271	280	383	161	223	357	270	461	235	1050	572	262	194	581	351	322	283	129	456	500	285	179	375	594	404	303	391	163	467	205	336	441	243	401	565	410					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2101	96	56	102	39	54	60	36	21	47	17	6	31	36	12	26	10	76	20	23	18	7	7	24	11	80	27	18	10	19	82	47	0	29	22	10	26	17	18	14	25	12	7	3	44	17	25	110	13	122	11	6	78	34	0	0	10	15	52	24	14	6	38	13	7	44	27	36	42	12					
6	Число погашенных избирательных бюллетеней	1200	52	29	71	29	18	97	101	63	40	6	2	12	4	2	4	5	1	2	0	1	1	0	4	4	6	1	0	1	0	196	208	6	9	0	3	28	0	2	3	0	2	1	18	10	0	0	22	14	56	1	5	4	1	0	2	0	0	5	4	0	0	3	10	10	10	0	4	7	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2101	96	56	102	39	54	60	36	21	47	17	6	31	36	12	26	10	76	20	23	18	7	7	24	11	80	27	18	10	19	82	47	0	29	22	10	26	17	18	14	25	12	7	3	44	17	25	110	13	122	11	6	78	34	0	0	10	15	52	24	14	6	38	13	7	44	27	36	42	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	34093	1262	1198	1184	1082	1724	1384	1364	904	1620	239	141	721	576	384	529	347	539	192	201	322	344	235	250	265	394	256	584	129	386	365	331	687	852	271	280	383	161	223	357	270	461	235	1050	571	262	194	581	351	322	283	129	456	500	285	179	375	594	404	303	391	163	467	205	336	441	243	401	565	410					
9	Число недействительных избирательных бюллетеней	101	3	0	0	5	4	9	0	2	7	2	0	0	0	0	0	0	0	2	1	5	0	0	1	2	0	0	0	0	1	6	3	0	1	0	0	5	0	0	0	0	9	4	0	0	0	0	2	0	10	0	6	0	0	0	0	1	2	0	0	0	0	0	0	1	5	0	0	2	0					
10	Число действительных избирательных бюллетеней	36093	1355	1254	1286	1116	1774	1435	1400	923	1660	254	147	752	612	396	555	357	615	210	223	335	351	242	273	274	474	283	602	139	404	441	375	687	880	293	290	404	178	241	371	295	464	238	1053	615	279	219	689	364	434	294	129	534	534	285	179	384	607	456	327	405	169	505	218	342	480	270	437	605	422					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	549	30	31	19	13	25	19	28	14	21	5	2	8	8	5	7	5	8	3	3	4	5	3	4	4	7	5	3	2	5	20	18	5	12	1	1	6	2	4	5	4	9	1	11	8	1	1	19	10	7	4	2	7	7	4	2	5	1	6	5	5	2	7	7	10	8	7	5	12	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	366	30	30	11	11	20	16	28	14	19	5	2	3	2	4	5	2	3	0	1	2	2	0	1	1	6	5	3	2	2	7	4	2	8	0	0	6	0	3	0	0	8	1	7	5	0	0	19	10	3	1	0	5	3	0	0	1	0	6	5	2	0	0	7	10	4	1	3	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	197	13	18	9	5	6	3	2	4	10	4	1	2	4	2	1	0	6	0	1	1	2	2	1	0	1	5	3	1	3	6	6	2	5	2	3	2	1	1	2	3	4	0	2	1	3	4	2	2	3	0	2	6	2	1	1	2	2	2	1	3	1	1	1	0	1	2	2	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	183	0	1	8	2	5	3	0	0	2	0	0	5	6	1	2	3	5	3	2	2	3	3	3	3	1	0	0	0	3	13	14	3	4	1	1	0	2	1	5	4	1	0	4	3	1	1	0	0	4	3	2	2	4	4	2	4	1	0	0	3	2	7	0	0	4	6	2	9	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																												
18	1.Политическая партия «Аграрная партия России»	88	2	5	0	1	3	3	1	2	5	2	1	3	1	1	1	1	2	0	1	1	3	1	1	1	1	0	2	0	0	0	1	0	2	0	1	2	1	0	2	2	0	0	1	4	0	1	4	0	3	1	2	3	1	1	0	0	2	1	0	0	0	1	2	0	1	1	1	0	2					
		0.24%	0.15%	0.40%	0.00%	0.09%	0.17%	0.21%	0.07%	0.22%	0.30%	0.78%	0.68%	0.40%	0.16%	0.25%	0.18%	0.28%	0.33%	0.00%	0.45%	0.29%	0.85%	0.41%	0.36%	0.36%	0.21%	0.00%	0.33%	0.00%	0.00%	0.00%	0.26%	0.00%	0.23%	0.00%	0.34%	0.49%	0.56%	0.00%	0.54%	0.68%	0.00%	0.00%	0.09%	0.65%	0.00%	0.46%	0.58%	0.00%	0.68%	0.34%	1.48%	0.56%	0.19%	0.35%	0.00%	0.00%	0.33%	0.22%	0.00%	0.00%	0.00%	0.20%	0.92%	0.00%	0.21%	0.37%	0.23%	0.00%	0.47%					
19	2.Всероссийская политическая партия «Гражданская Сила»	27	1	0	2	0	4	2	6	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
		0.07%	0.07%	0.00%	0.16%	0.00%	0.22%	0.14%	0.43%	0.00%	0.12%	0.39%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.34%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	9	0	0	1	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
