Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																												
Дата голосования: 04.12.2011																																																																												
																																																																												
Наименование Избирательной комиссии:    Кукморская																																																																												
																																																																												
Сводная таблица результатов выборов																																																																												
																																																																												
		Сумма	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747					
1	"Число избирателей, внесенных в список избирателей"	40084	476	674	421	1531	1422	1330	1530	2087	1619	1786	1386	1825	242	143	770	624	396	590	366	669	229	234	361	347	229	271	308	481	300	681	153	430	572	559	721	977	319	307	471	186	258	384	299	497	247	1185	642	279	222	683	365	493	302	132	557	552	299	197	386	705	484	351	409	168	523	237	360	534	311					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39735	476	677	424	1455	1365	1270	1430	2010	1540	1760	1325	1840	243	145	774	632	398	592	371	671	231	240	365	351	230	273	312	484	301	686	155	429	574	550	724	990	321	307	474	189	260	389	304	501	249	1193	644	282	222	705	374	489	303	135	554	553	301	200	389	708	492	355	409	170	524	237	361	534	314					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	36328	420	622	408	1255	1244	1144	1172	1882	1450	1706	1256	1745	230	138	679	604	382	567	344	584	224	211	341	317	217	229	289	412	273	678	143	399	316	330	712	952	300	297	453	174	238	366	289	486	235	1159	605	272	207	576	342	403	273	120	478	544	299	196	368	682	434	331	400	160	443	219	338	499	267					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2019	51	50	13	73	50	94	52	61	85	36	15	58	9	4	43	20	9	11	20	78	4	23	18	27	9	29	12	60	27	0	10	26	113	84	4	13	11	10	11	10	17	18	8	10	12	3	30	7	13	95	18	66	17	4	71	6	0	1	15	21	45	16	6	7	77	16	21	27	39					
6	Число погашенных избирательных бюллетеней	1388	5	5	3	127	71	32	206	67	5	18	54	37	4	3	52	8	7	14	7	9	3	6	6	7	4	15	11	12	1	8	2	4	145	136	8	25	10	0	10	5	5	5	7	5	2	31	9	3	2	34	14	20	13	11	5	3	2	3	6	5	13	8	3	3	4	2	2	8	8					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2019	51	50	13	73	50	94	52	61	85	36	15	58	9	4	43	20	9	11	20	78	4	23	18	27	9	29	12	60	27	0	10	26	113	84	4	13	11	10	11	10	17	18	8	10	12	3	30	7	13	95	18	66	17	4	71	6	0	1	15	21	45	16	6	7	77	16	21	27	39					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	36328	420	622	408	1255	1244	1144	1172	1882	1450	1706	1256	1745	230	138	679	604	382	567	344	584	224	211	341	317	217	229	289	412	273	678	143	399	316	330	712	952	300	297	453	174	238	366	289	486	235	1159	605	272	207	576	342	403	273	120	478	544	299	196	368	682	434	331	400	160	443	219	338	499	267					
9	Число недействительных избирательных бюллетеней	92	0	5	0	23	0	14	11	6	0	0	0	7	0	0	3	0	0	0	0	2	0	0	0	2	1	0	1	0	0	0	0	2	1	3	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	38255	471	667	421	1305	1294	1224	1213	1937	1535	1742	1271	1796	239	142	719	624	391	578	364	660	228	234	359	342	225	258	300	472	300	678	153	423	428	411	716	965	309	307	463	184	255	383	297	496	247	1162	635	279	220	671	360	466	290	124	549	550	299	197	382	703	479	347	406	164	520	235	359	526	306					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	435	5	5	2	20	20	20	20	20	20	20	20	10	2	2	3	2	2	2	2	2	2	3	3	3	3	3	5	5	2	5	2	2	10	10	2	12	4	3	5	5	3	4	3	8	5	5	3	2	2	26	16	6	3	3	5	3	3	3	3	4	6	4	3	3	3	5	5	3	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	214	0	0	1	20	20	9	12	10	11	8	14	8	1	1	1	1	0	0	0	2	0	1	2	0	0	0	1	3	0	1	0	2	4	1	0	8	1	0	1	0	0	0	2	3	0	0	0	0	0	26	16	0	1	1	3	0	0	0	0	0	6	4	0	0	0	4	1	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	116	1	1	0	3	8	2	6	4	6	6	6	4	2	1	0	0	1	0	4	2	0	0	1	0	2	0	1	1	1	0	0	2	4	5	0	0	0	2	2	0	2	0	0	1	0	0	0	2	0	4	0	5	2	0	6	3	1	0	0	1	2	1	2	0	1	2	1	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	221	5	5	1	0	0	11	8	10	9	12	6	2	1	1	2	1	2	2	2	0	2	2	1	3	3	3	4	2	2	4	2	0	6	9	2	4	3	3	4	5	3	4	1	5	5	5	3	2	2	0	0	6	2	2	2	3	3	3	3	4	0	0	3	3	3	1	4	1	4					
