Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Усть-Илимская																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329					
1	"Число избирателей, внесенных в список"	16069	911	878	1277	1706	181	289	1714	1906	2132	722	257	831	814	755	435	1261					
2	Число полученных избирательных бюллетеней	15871	898	868	1245	1688	179	282	1680	1850	2110	728	258	820	820	750	450	1245					
3	"Число избирательных бюллетеней, выданных  досрочно"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6					
4	"Число избирательных бюллетеней, выданных в день голосования"	7509	479	364	545	752	96	148	795	899	858	321	129	363	379	409	272	700					
5	"Число избирательных бюллетеней, выданных вне помещения"	399	34	26	24	93	0	0	10	24	40	48	3	15	29	10	27	16					
6	Число погашенных избирательных бюллетеней	7957	385	478	676	843	83	134	875	927	1212	359	126	442	412	331	151	523					
7	Число избирательных бюллетеней в переносных ящиках	405	34	26	24	93	0	0	10	24	40	48	3	15	29	10	27	22					
8	Число бюллетеней в стационарных ящиках для голосования	7507	479	364	545	752	96	148	795	899	858	319	129	363	379	409	272	700					
9	Число недействительных избирательных бюллетеней	52	4	4	3	7	0	1	3	1	11	2	3	0	2	1	3	7					
10	Число действительных избирательных бюллетеней	7860	509	386	566	838	96	147	802	922	887	365	129	378	406	418	296	715					
11	Число полученных открепительных  удостоверений	165	10	10	10	15	5	5	15	15	15	10	5	10	10	10	5	15					
12	Число выданных открепительных удостоверений	53	10	2	5	12	1	0	3	4	2	1	0	3	0	5	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	38	0	1	0	3	4	1	3	7	6	4	3	2	0	0	1	3					
14	Число неиспользованных открепительных удостоверений	112	0	8	5	3	4	5	12	11	13	9	5	7	10	5	0	15					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	289	13	14	25	27	3	13	23	45	56	6	1	8	10	4	13	28					
		3.65%	2.53%	3.59%	4.39%	3.20%	3.12%	8.78%	2.86%	4.88%	6.24%	1.63%	0.76%	2.12%	2.45%	0.95%	4.35%	3.88%					
19	. Малышкин Олег Александрович	342	23	15	25	25	0	6	41	53	54	13	3	17	12	8	16	31					
		4.32%	4.48%	3.85%	4.39%	2.96%	0.00%	4.05%	5.09%	5.74%	6.01%	3.54%	2.27%	4.50%	2.94%	1.91%	5.35%	4.29%					
20	. Миронов Сергей Михайлович	64	9	1	0	18	0	2	2	1	13	4	0	1	0	1	4	8					
		0.81%	1.75%	0.26%	0.00%	2.13%	0.00%	1.35%	0.25%	0.11%	1.45%	1.09%	0.00%	0.26%	0.00%	0.24%	1.34%	1.11%					
21	. Путин Владимир Владимирович	5368	271	286	365	647	81	88	487	570	538	282	105	296	289	322	218	523					
		67.85%	52.83%	73.33%	64.15%	76.57%	84.38%	59.46%	60.50%	61.76%	59.91%	76.84%	79.55%	78.31%	70.83%	76.85%	72.91%	72.44%					
22	. Хакамада Ирина Муцуовна	228	11	13	26	8	0	10	28	42	36	17	2	3	7	12	8	5					
		2.88%	2.14%	3.33%	4.57%	0.95%	0.00%	6.76%	3.48%	4.55%	4.01%	4.63%	1.52%	0.79%	1.72%	2.86%	2.68%	0.69%					
23	. Харитонов Николай Михайлович	1367	175	43	98	103	11	24	197	177	169	35	15	49	72	62	31	106					
		17.28%	34.11%	11.03%	17.22%	12.19%	11.46%	16.22%	24.47%	19.18%	18.82%	9.54%	11.36%	12.96%	17.65%	14.80%	10.37%	14.68%					
																							
24	Против всех	202	7	14	27	10	1	4	24	34	21	8	3	4	16	9	6	14					
		2.55%	1.36%	3.59%	4.75%	1.18%	1.04%	2.70%	2.98%	3.68%	2.34%	2.18%	2.27%	1.06%	3.92%	2.15%	2.01%	1.94%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
