Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																											
Дата голосования: 04.12.2011																																																											
																																																											
"Наименование Избирательной комиссии:    Красноярск, Ленинская"																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №2278					
1	"Число избирателей, внесенных в список избирателей"	109004	1962	1995	2137	2261	1223	1790	1841	2339	1773	1865	2090	1999	2419	1520	2919	2460	242	2200	2545	2473	2010	1967	2381	2310	1877	1802	1801	2631	2211	2179	1951	1974	2090	2326	2230	2363	1999	2360	2280	2425	2586	2030	2357	2016	1891	1999	1662	2328	2448	2045	2137	2285					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	107391	1946	1956	2124	2192	1214	1769	1790	1900	1735	1848	2080	1997	2287	1365	2800	2383	250	2170	2350	2400	2000	1949	2400	2320	1867	1802	1758	2619	2200	2160	1940	1918	2063	2382	2220	2335	2042	2320	2265	2430	2628	2400	2412	2000	1812	1977	1573	2253	2470	2065	2000	2255					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	49059	908	1010	968	1125	734	981	1013	1122	741	756	799	1133	1223	818	1546	1183	70	1167	1361	1376	982	915	935	1021	631	677	722	833	956	794	716	844	895	1018	1025	1068	742	923	875	835	1107	1133	1182	673	946	982	690	1048	1077	964	730	1086					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1612	15	30	44	31	16	32	34	29	34	18	21	22	4	134	23	14	87	22	32	36	38	14	20	16	12	16	6	119	20	15	11	42	21	21	25	39	17	30	28	64	43	26	15	31	27	38	71	17	30	15	15	32					
6	Число погашенных избирательных бюллетеней	56702	1023	915	1112	1036	464	756	743	749	960	1074	1260	842	1060	410	1231	1186	93	981	950	988	980	1020	1445	1283	1224	1109	1030	1667	1224	1351	1213	1032	1146	1343	1170	1228	1283	1367	1362	1531	1478	1241	1215	1296	839	957	812	1188	1363	1081	1254	1137					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1612	15	30	44	31	16	32	34	29	34	18	21	22	4	134	23	14	87	22	32	36	38	14	20	16	12	16	6	119	20	15	11	42	21	21	25	39	17	30	28	64	43	26	15	31	27	38	71	17	30	15	15	32					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	49006	908	1010	968	1125	734	980	1013	1122	741	754	798	1133	1223	816	1534	1183	70	1167	1338	1376	982	915	935	1021	631	677	713	833	956	794	716	843	893	1018	1025	1068	742	923	875	835	1107	1133	1182	673	946	982	690	1048	1077	964	730	1086					
9	Число недействительных избирательных бюллетеней	882	12	22	18	8	6	16	26	48	26	11	26	13	22	20	32	2	2	20	24	18	13	22	21	15	16	17	20	28	7	16	19	16	22	20	8	17	9	9	6	25	12	13	12	14	13	23	15	19	17	12	7	27					
10	Число действительных избирательных бюллетеней	49736	911	1018	994	1148	744	996	1021	1103	749	761	793	1142	1205	930	1525	1195	155	1169	1346	1394	1007	907	934	1022	627	676	699	924	969	793	708	869	892	1019	1042	1090	750	944	897	874	1138	1146	1185	690	960	997	746	1046	1090	967	738	1091					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1813	30	30	30	50	30	35	30	60	30	30	40	40	50	30	40	30	0	30	30	40	30	46	40	50	50	30	35	30	30	30	30	50	40	35	30	40	30	40	57	30	30	30	30	30	40	30	30	30	30	35	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1505	26	19	28	39	22	29	14	54	10	17	36	38	46	24	30	28	0	24	26	36	29	46	40	48	34	16	35	23	18	27	18	38	32	35	30	37	25	38	54	25	30	30	30	21	32	21	21	22	26	31	21	26					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	898	18	8	16	18	16	18	19	20	8	13	16	24	18	21	13	21	12	25	24	81	14	30	21	9	16	12	24	15	11	18	16	18	14	14	9	26	7	13	8	12	19	16	8	18	28	7	14	20	14	12	14	12					
14	Число погашенных неиспользованных открепительных удостоверений	308	4	11	2	11	8	6	16	6	20	13	4	2	4	6	10	2	0	6	4	4	1	0	0	2	16	14	0	7	12	3	12	12	8	0	0	3	5	2	3	5	0	0	0	9	8	9	9	8	4	4	9	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	0	0	0	1	0	0	0	2	0	0	1	0	0	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	0	1	1	1	0	0	1	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	18	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	8297	208	213	184	207	116	176	224	176	154	158	139	176	244	197	283	190	28	223	230	307	170	158	162	173	99	112	99	110	187	109	102	143	140	136	85	150	112	168	59	159	193	161	140	127	165	165	93	124	174	187	104	198					
		16.39%	22.54%	20.48%	18.18%	17.91%	15.47%	17.39%	21.39%	15.29%	19.87%	20.47%	16.97%	15.24%	19.89%	20.74%	18.18%	15.87%	17.83%	18.76%	16.79%	21.74%	16.67%	17.01%	16.96%	16.68%	15.40%	16.16%	13.77%	11.55%	19.16%	13.47%	14.03%	16.16%	15.32%	13.09%	8.10%	13.55%	14.76%	17.63%	6.53%	17.69%	16.78%	13.89%	11.70%	18.04%	16.96%	16.18%	12.22%	11.64%	15.72%	19.10%	13.96%	17.71%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	8642	120	138	177	183	108	119	155	185	123	131	146	157	190	107	217	218	26	175	231	217	170	147	190	213	126	142	120	192	174	159	146	146	194	196	192	189	103	130	97	188	246	201	240	150	181	181	173	181	230	184	157	181					
		17.07%	13.00%	13.27%	17.49%	15.83%	14.40%	11.76%	14.80%	16.07%	15.87%	16.97%	17.83%	13.59%	15.48%	11.26%	13.94%	18.21%	16.56%	14.72%	16.86%	15.37%	16.67%	15.82%	19.90%	20.54%	19.60%	20.49%	16.69%	20.17%	17.83%	19.65%	20.08%	16.50%	21.23%	18.86%	18.29%	17.07%	13.57%	13.64%	10.74%	20.91%	21.39%	17.34%	20.05%	21.31%	18.60%	17.75%	22.73%	16.99%	20.78%	18.79%	21.07%	16.19%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	477	8	9	8	7	8	11	18	19	10	5	7	15	8	9	17	17	3	11	22	13	8	5	7	15	6	2	3	7	6	9	6	4	4	4	4	19	9	15	0	6	13	10	13	11	9	5	7	13	10	8	4	10					
		0.94%	0.87%	0.87%	0.79%	0.61%	1.07%	1.09%	1.72%	1.65%	1.29%	0.65%	0.85%	1.30%	0.65%	0.95%	1.09%	1.42%	1.91%	0.93%	1.61%	0.92%	0.78%	0.54%	0.73%	1.45%	0.93%	0.29%	0.42%	0.74%	0.61%	1.11%	0.83%	0.45%	0.44%	0.38%	0.38%	1.72%	1.19%	1.57%	0.00%	0.67%	1.13%	0.86%	1.09%	1.56%	0.92%	0.49%	0.92%	1.22%	0.90%	0.82%	0.54%	0.89%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	11929	234	320	247	299	180	253	237	306	184	162	161	276	319	269	414	343	29	310	365	370	237	207	213	233	131	131	153	177	197	171	188	230	224	206	150	200	202	268	124	218	297	284	276	148	232	259	126	235	293	207	155	279					
		23.57%	25.35%	30.77%	24.41%	25.87%	24.00%	25.00%	22.64%	26.59%	23.74%	20.98%	19.66%	23.90%	25.99%	28.32%	26.59%	28.65%	18.47%	26.07%	26.64%	26.20%	23.24%	22.28%	22.30%	22.47%	20.37%	18.90%	21.28%	18.59%	20.18%	21.14%	25.86%	25.99%	24.51%	19.83%	14.29%	18.07%	26.61%	28.12%	13.73%	24.25%	25.83%	24.50%	23.06%	21.02%	23.84%	25.39%	16.56%	22.07%	26.47%	21.14%	20.81%	24.96%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1776	32	49	29	50	17	52	52	43	23	38	32	56	65	33	85	48	1	71	76	74	34	29	20	31	26	25	28	12	19	18	29	24	39	24	17	36	21	54	7	24	23	44	23	23	42	13	19	24	31	35	22	34					
		3.51%	3.47%	4.71%	2.87%	4.33%	2.27%	5.14%	4.97%	3.74%	2.97%	4.92%	3.91%	4.85%	5.30%	3.47%	5.46%	4.01%	0.64%	5.97%	5.55%	5.24%	3.33%	3.12%	2.09%	2.99%	4.04%	3.61%	3.89%	1.26%	1.95%	2.22%	3.99%	2.71%	4.27%	2.31%	1.62%	3.25%	2.77%	5.67%	0.78%	2.67%	2.00%	3.80%	1.92%	3.27%	4.32%	1.27%	2.50%	2.25%	2.80%	3.58%	2.95%	3.04%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18138	303	278	335	391	310	375	320	363	249	259	305	447	353	303	492	363	68	366	408	394	379	354	334	348	231	262	290	420	379	319	230	314	285	446	587	483	301	307	606	272	352	429	487	223	320	368	317	463	342	338	293	377					
		35.83%	32.83%	26.73%	33.10%	33.82%	41.33%	37.06%	30.56%	31.54%	32.13%	33.55%	37.24%	38.70%	28.77%	31.89%	31.60%	30.33%	43.31%	30.78%	29.78%	27.90%	37.16%	38.11%	34.97%	33.56%	35.93%	37.81%	40.33%	44.12%	38.83%	39.43%	31.64%	35.48%	31.18%	42.93%	55.90%	43.63%	39.66%	32.21%	67.11%	30.26%	30.61%	37.01%	40.69%	31.68%	32.89%	36.08%	41.66%	43.47%	30.89%	34.53%	39.33%	33.72%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	477	6	11	14	11	5	10	15	11	6	8	3	15	26	12	17	16	0	13	14	19	9	7	8	9	8	2	6	6	7	8	7	8	6	7	7	13	2	2	4	7	14	17	6	8	11	6	11	6	10	8	3	12					
		0.94%	0.65%	1.06%	1.38%	0.95%	0.67%	0.99%	1.43%	0.96%	0.77%	1.04%	0.37%	1.30%	2.12%	1.26%	1.09%	1.34%	0.00%	1.09%	1.02%	1.35%	0.88%	0.75%	0.84%	0.87%	1.24%	0.29%	0.83%	0.63%	0.72%	0.99%	0.96%	0.90%	0.66%	0.67%	0.67%	1.17%	0.26%	0.21%	0.44%	0.78%	1.22%	1.47%	0.50%	1.14%	1.13%	0.59%	1.45%	0.56%	0.90%	0.82%	0.40%	1.07%					
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
