Выборы Президента Российской Федерации																																							
																																							
Наименование Избирательной комиссии:    Альменевская																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК  174	УИК  175	УИК  176	УИК  177	УИК  178	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184	УИК  185	УИК  186	УИК  187	УИК  188	УИК  189	УИК  190	УИК  191	УИК  192	УИК  193	УИК  194	УИК  195	УИК  196	УИК  197	УИК  198	УИК  199	УИК  200	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205					
1	"Число избирателей, внесенных в список"	11048	1451	1111	1008	366	252	116	130	219	109	63	581	411	257	226	313	95	224	622	135	90	124	237	811	144	218	284	546	110	167	329	225	74					
2	Число полученных избирательных бюллетеней	11306	1450	1150	950	360	260	116	135	230	110	62	585	415	270	232	327	100	245	675	155	96	132	255	865	135	197	270	585	113	172	335	246	78					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7372	861	674	507	287	214	109	109	192	76	47	366	297	173	178	218	64	163	396	95	73	84	179	535	107	140	227	317	82	122	260	161	59					
5	"Число избирательных бюллетеней, выданных вне помещения"	803	91	69	109	14	0	0	9	11	12	4	26	15	10	13	34	6	19	67	4	5	10	25	82	0	12	9	81	12	19	17	12	6					
6	Число погашенных избирательных бюллетеней	3131	498	407	334	59	46	7	17	27	22	11	193	103	87	41	75	30	63	212	56	18	38	51	248	28	45	34	187	19	31	58	73	13					
7	Число избирательных бюллетеней в переносных ящиках	803	91	69	109	14	0	0	9	11	12	4	26	15	10	13	34	6	19	67	4	5	10	25	82	0	12	9	81	12	19	17	12	6					
8	Число бюллетеней в стационарных ящиках для голосования	7364	860	667	507	287	214	109	109	192	76	47	366	297	173	178	218	64	163	396	95	73	84	179	535	107	140	227	317	82	122	260	161	59					
9	Число недействительных избирательных бюллетеней	88	9	6	9	0	3	0	0	1	0	3	7	2	3	2	1	2	4	7	0	3	1	2	4	3	0	0	4	1	0	8	3	0					
10	Число действительных избирательных бюллетеней	8079	942	730	607	301	211	109	118	202	88	48	385	310	180	189	251	68	178	456	99	75	93	202	613	104	152	236	394	93	141	269	170	65					
11	Число полученных открепительных  удостоверений	291	32	23	15	8	8	2	1	10	5	2	10	10	7	1	15	5	7	34	19	5	6	7	9	1	5	2	22	3	5	10	1	1					
12	Число выданных открепительных удостоверений	280	32	23	15	6	8	0	0	10	5	2	10	10	7	1	15	5	7	34	19	5	6	7	9	1	1	1	22	3	5	10	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	57	11	3	3	1	1	1	0	2	1	1	1	8	1	0	2	1	0	5	1	3	0	0	2	2	0	1	1	0	1	3	1	0					
14	Число неиспользованных открепительных удостоверений	11	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	1	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																							
18	. Глазьев Сергей Юрьевич	191	23	18	20	2	2	1	8	5	1	1	6	3	2	3	5	1	7	4	2	3	5	8	21	3	2	8	8	0	7	10	2	0					
		2.34%	2.42%	2.45%	3.25%	0.66%	0.93%	0.92%	6.78%	2.46%	1.14%	1.96%	1.53%	0.96%	1.09%	1.57%	1.98%	1.43%	3.85%	0.86%	2.02%	3.85%	5.32%	3.92%	3.40%	2.80%	1.32%	3.39%	2.01%	0.00%	4.96%	3.61%	1.16%	0.00%					
19	. Малышкин Олег Александрович	203	6	19	12	13	3	0	1	3	0	0	22	11	4	1	14	1	5	4	1	0	3	7	29	0	7	0	8	6	5	10	6	2					
		2.49%	0.63%	2.58%	1.95%	4.32%	1.40%	0.00%	0.85%	1.48%	0.00%	0.00%	5.61%	3.53%	2.19%	0.52%	5.56%	1.43%	2.75%	0.86%	1.01%	0.00%	3.19%	3.43%	4.70%	0.00%	4.61%	0.00%	2.01%	6.38%	3.55%	3.61%	3.47%	3.08%					
20	. Миронов Сергей Михайлович	43	3	1	3	4	3	0	1	2	1	0	0	1	2	1	1	1	1	2	1	0	2	0	6	0	2	0	0	1	1	2	0	1					
		0.53%	0.32%	0.14%	0.49%	1.33%	1.40%	0.00%	0.85%	0.99%	1.14%	0.00%	0.00%	0.32%	1.09%	0.52%	0.40%	1.43%	0.55%	0.43%	1.01%	0.00%	2.13%	0.00%	0.97%	0.00%	1.32%	0.00%	0.00%	1.06%	0.71%	0.72%	0.00%	1.54%					
21	. Путин Владимир Владимирович	4767	630	487	392	168	86	21	73	95	47	40	204	205	110	106	102	47	109	297	30	47	50	135	343	85	99	167	227	23	59	159	82	42					
		58.37%	66.25%	66.17%	63.64%	55.81%	40.19%	19.27%	61.86%	46.80%	53.41%	78.43%	52.04%	65.71%	60.11%	55.50%	40.48%	67.14%	59.89%	64.15%	30.30%	60.26%	53.19%	66.18%	55.59%	79.44%	65.13%	70.76%	57.04%	24.47%	41.84%	57.40%	47.40%	64.62%					
22	. Хакамада Ирина Муцуовна	132	13	13	15	5	3	1	1	5	2	0	3	8	3	4	4	3	0	9	1	0	3	2	7	1	5	1	12	0	2	3	2	1					
		1.62%	1.37%	1.77%	2.44%	1.66%	1.40%	0.92%	0.85%	2.46%	2.27%	0.00%	0.77%	2.56%	1.64%	2.09%	1.59%	4.29%	0.00%	1.94%	1.01%	0.00%	3.19%	0.98%	1.13%	0.93%	3.29%	0.42%	3.02%	0.00%	1.42%	1.08%	1.16%	1.54%					
23	. Харитонов Николай Михайлович	2576	239	166	150	104	109	86	30	83	37	7	145	78	57	69	121	15	53	135	60	25	29	48	191	15	31	57	131	63	66	80	78	18					
		31.54%	25.13%	22.55%	24.35%	34.55%	50.93%	78.90%	25.42%	40.89%	42.05%	13.73%	36.99%	25.00%	31.15%	36.13%	48.02%	21.43%	29.12%	29.16%	60.61%	32.05%	30.85%	23.53%	30.96%	14.02%	20.39%	24.15%	32.91%	67.02%	46.81%	28.88%	45.09%	27.69%					
																																							
24	Против всех	167	28	26	15	5	5	0	4	9	0	0	5	4	2	5	4	0	3	5	4	0	1	2	16	0	6	3	8	0	1	5	0	1					
		2.04%	2.94%	3.53%	2.44%	1.66%	2.34%	0.00%	3.39%	4.43%	0.00%	0.00%	1.28%	1.28%	1.09%	2.62%	1.59%	0.00%	1.65%	1.08%	4.04%	0.00%	1.06%	0.98%	2.59%	0.00%	3.95%	1.27%	2.01%	0.00%	0.71%	1.81%	0.00%	1.54%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
