Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																								
Дата голосования: 04.12.2011																																																								
																																																								
Наименование Избирательной комиссии:    Пугачевская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397					
1	"Число избирателей, внесенных в список избирателей"	45977	1556	1478	1601	1503	1332	1333	1343	957	640	1939	905	801	1290	1417	1533	1403	1094	1509	1326	1298	1550	757	718	221	564	516	170	584	543	586	782	670	142	616	1172	1987	750	1186	267	1127	629	675	876	463	173	451	235	654	655					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	46330	1550	1500	1600	1510	1340	1350	1360	970	650	1905	905	800	1300	1430	1510	1400	1110	1520	1325	1300	1550	760	730	225	560	510	170	600	550	600	800	690	145	620	1180	2000	760	1210	270	1140	660	700	900	460	170	460	235	680	660					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	19381	587	625	666	565	535	456	522	315	244	839	404	374	533	546	708	639	503	730	520	498	531	325	369	94	197	209	82	287	220	313	391	334	66	262	404	793	313	490	90	567	240	215	417	247	104	252	121	276	363					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1664	26	20	12	27	27	13	45	13	11	8	22	10	31	80	33	39	29	47	43	45	32	3	8	28	86	57	12	15	36	8	50	13	5	74	0	56	72	82	46	59	52	74	55	51	12	24	16	57	0					
6	Число погашенных избирательных бюллетеней	25285	937	855	922	918	778	881	793	642	395	1058	479	416	736	804	769	722	578	743	762	757	987	432	353	103	277	244	76	298	294	279	359	343	74	284	776	1151	375	638	134	514	368	411	428	162	54	184	98	347	297					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1664	26	20	12	27	27	13	45	13	11	8	22	10	31	80	33	39	29	47	43	45	32	3	8	28	86	57	12	15	36	8	50	13	5	74	0	56	72	82	46	59	52	74	55	51	12	24	16	57	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19381	587	625	666	565	535	456	522	315	244	839	404	374	533	546	708	639	503	730	520	498	531	325	369	94	197	209	82	287	220	313	391	334	66	262	404	793	313	490	90	567	240	215	417	247	104	252	121	276	363					
9	Число недействительных избирательных бюллетеней	262	12	7	18	8	0	5	5	9	1	10	10	7	7	6	9	3	5	10	6	9	7	3	4	2	2	3	2	5	3	2	3	9	3	0	0	14	5	9	1	10	2	1	7	4	0	0	0	10	4					
10	Число действительных избирательных бюллетеней	20783	601	638	660	584	562	464	562	319	254	837	416	377	557	620	732	675	527	767	557	534	556	325	373	120	281	263	92	297	253	319	438	338	68	336	404	835	380	563	135	616	290	288	465	294	116	276	137	323	359					
