Выборы Президента Российской Федерации																			
																			
Наименование Избирательной комиссии:    Протвинская городская																			
																			
Итоги голосования 																			
																			
		Сумма	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210					
1	"Число избирателей, внесенных в список"	30564	2273	2793	2534	2556	2329	2857	2292	2483	2543	2828	2467	2609					
2	Число полученных избирательных бюллетеней	27815	2030	2545	2295	2345	2120	2605	2090	2265	2315	2580	2260	2365					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18840	1366	1618	1628	1710	1499	1805	1467	1511	1592	1676	1539	1429					
5	"Число избирательных бюллетеней, выданных вне помещения"	222	21	25	39	22	25	15	10	10	21	13	10	11					
6	Число погашенных избирательных бюллетеней	8753	643	902	628	613	596	785	613	744	702	891	711	925					
7	Число избирательных бюллетеней в переносных ящиках	222	21	25	39	22	25	15	10	10	21	13	10	11					
8	Число бюллетеней в стационарных ящиках для голосования	18782	1366	1618	1619	1697	1499	1805	1457	1510	1579	1674	1533	1425					
9	Число недействительных избирательных бюллетеней	103	6	10	16	5	14	3	8	7	6	9	8	11					
10	Число действительных избирательных бюллетеней	18901	1381	1633	1642	1714	1510	1817	1459	1513	1594	1678	1535	1425					
11	Число полученных открепительных  удостоверений	490	40	40	40	50	40	40	40	40	40	40	40	40					
12	Число выданных открепительных удостоверений	284	10	36	24	39	13	19	21	23	35	24	24	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	103	12	8	16	11	3	4	8	4	12	9	5	11					
14	Число неиспользованных открепительных удостоверений	206	30	4	16	11	27	21	19	17	5	16	16	24					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	1	1	2	0	0	0	1	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																			
18	. Глазьев Сергей Юрьевич	1345	71	97	129	155	99	139	115	100	105	135	104	96					
		7.08%	5.12%	5.90%	7.78%	9.02%	6.50%	7.64%	7.84%	6.58%	6.56%	8.00%	6.74%	6.69%					
19	. Малышкин Олег Александрович	236	12	40	23	14	21	21	10	24	20	21	11	19					
		1.24%	0.87%	2.43%	1.39%	0.81%	1.38%	1.15%	0.68%	1.58%	1.25%	1.24%	0.71%	1.32%					
20	. Миронов Сергей Михайлович	95	6	6	1	11	7	14	10	5	11	3	7	14					
		0.50%	0.43%	0.37%	0.06%	0.64%	0.46%	0.77%	0.68%	0.33%	0.69%	0.18%	0.45%	0.97%					
21	. Путин Владимир Владимирович	12884	1007	1121	1061	1091	1011	1228	958	1066	1135	1148	1048	1010					
		67.80%	72.60%	68.23%	63.99%	63.47%	66.34%	67.47%	65.30%	70.13%	70.94%	68.05%	67.92%	70.33%					
22	. Хакамада Ирина Муцуовна	1276	69	81	114	129	122	132	95	101	92	137	111	93					
		6.71%	4.97%	4.93%	6.88%	7.50%	8.01%	7.25%	6.48%	6.64%	5.75%	8.12%	7.19%	6.48%					
23	. Харитонов Николай Михайлович	1982	152	175	214	235	175	159	196	133	154	141	143	105					
		10.43%	10.96%	10.65%	12.91%	13.67%	11.48%	8.74%	13.36%	8.75%	9.62%	8.36%	9.27%	7.31%					
																			
24	Против всех	1083	64	113	100	79	75	124	75	84	77	93	111	88					
		5.70%	4.61%	6.88%	6.03%	4.60%	4.92%	6.81%	5.11%	5.53%	4.81%	5.51%	7.19%	6.13%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
