Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																											
Дата голосования: 07.12.2003 0:00:00																																																											
																																																											
Наименование Избирательной комиссии:    Алапаевская 																																																											
																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																											
																																																											
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52					
1	"Число избирателей, внесенных в списки"	30289	1673	911	1921	1884	1955	1090	592	557	813	1249	802	203	171	363	356	482	108	138	615	53	378	127	378	89	154	726	112	513	943	549	732	771	233	200	706	122	906	197	875	162	297	164	167	392	1135	232	177	809	666	240	398	803					
2	"Число бюллетеней, полученных участковыми комиссиями"	29927	1673	899	1902	1854	1902	1089	596	551	805	1246	789	200	169	361	355	482	105	138	624	52	368	126	378	89	152	729	124	515	937	537	728	767	231	200	699	126	912	192	870	157	298	169	168	391	1123	234	170	806	667	238	403	631					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13598	687	352	605	817	846	462	245	214	375	645	358	105	70	182	168	179	65	82	293	35	129	65	169	46	94	281	63	164	416	231	332	431	137	99	286	79	356	109	470	89	205	138	101	218	489	81	132	394	325	111	197	376					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1532	5	24	35	22	60	88	73	78	57	24	40	26	43	17	22	49	12	0	19	2	48	3	11	1	9	55	11	68	15	32	0	11	18	44	76	12	78	35	20	6	0	0	8	28	118	79	0	21	7	0	7	15					
6	Число погашенных бюллетеней	14797	981	523	1262	1015	996	539	278	259	373	577	391	69	56	162	165	254	28	56	312	15	191	58	198	42	49	393	50	283	506	274	396	325	76	57	337	35	478	48	380	62	93	31	59	145	516	74	38	391	335	127	199	240					
7	Число бюллетеней в переносных ящиках для голосования	1532	5	24	35	22	60	88	73	78	57	24	40	26	43	17	22	49	12	0	19	2	48	3	11	1	9	55	11	68	15	32	0	11	18	44	76	12	78	35	20	6	0	0	8	28	118	79	0	21	7	0	7	15					
8	Число бюллетеней в стационарных ящиках для голосования	13596	687	352	605	817	846	462	245	214	375	645	358	105	70	181	168	179	65	82	293	35	129	65	169	46	94	281	63	163	416	231	332	431	137	99	286	79	356	109	470	89	205	138	101	218	489	81	132	394	325	111	197	376					
9	Число недействительных бюллетеней	245	6	8	37	23	19	11	11	3	5	10	8	5	0	12	5	4	0	0	5	0	1	1	4	0	0	4	0	4	9	6	1	4	0	0	3	6	4	1	1	2	1	2	1	1	0	0	1	3	5	2	4	2					
10	Число действительных бюллетеней	14883	686	368	603	816	887	539	307	289	427	659	390	126	113	186	185	224	77	82	307	37	176	67	176	47	103	332	74	227	422	257	331	438	155	143	359	85	430	143	489	93	204	136	108	245	607	160	131	412	327	109	200	389					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	350	15	5	15	15	15	15	5	5	5	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	15	5	5	5	5	5	5	5	15	5	15	5	5	5	5	5	10	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	66	2	2	1	4	3	8	0	1	1	5	2	1	0	0	3	2	0	0	3	0	2	0	1	0	0	4	0	0	4	0	0	1	0	0	2	0	0	0	0	0	2	3	0	1	1	1	0	0	5	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	84	0	1	5	1	6	4	3	2	3	2	3	0	0	0	1	1	2	0	0	0	0	0	1	0	0	6	0	4	4	5	0	2	0	0	1	0	0	1	5	1	1	0	1	0	2	0	2	2	6	0	3	3					
14	Число погашенных открепительных удостоверений	284	13	3	14	11	12	7	5	4	4	5	3	4	5	5	2	3	5	5	2	5	3	5	4	5	5	1	5	5	11	5	5	4	5	5	3	5	15	5	15	5	3	2	5	4	9	4	5	5	0	5	5	4					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																											
18	"1. ""ЕДИНЕНИЕ"""	281	12	5	12	21	18	15	4	1	9	10	4	2	3	5	4	7	3	1	8	1	5	0	6	2	2	7	1	6	13	2	8	6	3	1	7	4	4	3	3	1	0	3	1	2	11	0	3	8	11	2	6	5					
		1.85%	1.73%	1.32%	1.87%	2.50%	1.98%	2.72%	1.25%	0.34%	2.08%	1.49%	1.00%	1.52%	2.65%	2.52%	2.10%	3.07%	3.89%	1.21%	2.56%	2.70%	2.82%	0.0%	3.33%	4.25%	1.94%	2.08%	1.35%	2.59%	3.01%	0.76%	2.40%	1.35%	1.93%	0.69%	1.93%	4.39%	0.92%	2.08%	0.61%	1.05%	0.0%	2.17%	0.91%	0.81%	1.81%	0.0%	2.27%	1.92%	3.31%	1.80%	2.94%	1.27%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	256	12	9	20	27	29	5	7	2	10	7	4	1	0	3	0	3	0	0	5	0	2	1	1	0	0	4	0	3	11	12	6	17	0	0	4	0	2	4	5	2	0	1	1	2	6	2	1	1	2	8	2	12					
		1.69%	1.73%	2.39%	3.12%	3.21%	3.20%	0.90%	2.20%	0.68%	2.31%	1.04%	1.00%	0.76%	0.0%	1.51%	0.0%	1.31%	0.0%	0.0%	1.60%	0.0%	1.12%	1.47%	0.55%	0.0%	0.0%	1.19%	0.0%	1.29%	2.55%	4.56%	1.80%	3.84%	0.0%	0.0%	1.10%	0.0%	0.46%	2.77%	1.02%	2.10%	0.0%	0.72%	0.91%	0.81%	0.98%	1.25%	0.75%	0.24%	0.60%	7.20%	0.98%	3.06%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	631	20	14	25	52	39	35	13	13	22	16	10	7	6	8	11	12	6	1	18	0	15	3	9	5	2	19	0	15	16	6	7	14	12	11	15	3	17	6	15	2	5	8	3	8	16	9	3	19	11	8	4	17					
		4.17%	2.89%	3.72%	3.90%	6.19%	4.30%	6.36%	4.08%	4.45%	5.09%	2.39%	2.51%	5.34%	5.30%	4.04%	5.78%	5.26%	7.79%	1.21%	5.76%	0.0%	8.47%	4.41%	5.0%	10.63%	1.94%	5.65%	0.0%	6.49%	3.71%	2.28%	2.10%	3.16%	7.74%	7.69%	4.14%	3.29%	3.91%	4.16%	3.06%	2.10%	2.43%	5.79%	2.75%	3.25%	2.63%	5.62%	2.27%	4.57%	3.31%	7.20%	1.96%	4.34%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	420	23	22	28	43	45	24	5	11	3	14	5	0	3	0	5	7	1	0	10	0	1	2	4	1	12	1	0	2	11	6	4	14	5	5	7	3	6	10	11	12	4	0	0	5	11	2	1	9	6	0	4	12					
