Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
"Наименование Избирательной комиссии:    Томск, Советская"																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №781	УИК №8412									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	79065	2205	2116	1688	2042	1808	1324	2010	2050	2023	2099	2062	2056	1999	2594	2061	1423	2210	2707	1491	1347	1749	2160	195	1992	952	1510	2614	1724	2173	1952	2371	2402	2510	2441	1552	1593	2249	2353	1356	2246	1298	358									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	105150	2000	2000	1500	1800	1600	1200	1800	1800	1800	1800	1800	1800	1800	2300	1800	1300	1900	2400	1300	1200	1500	1900	650	1800	800	1200	2400	1300	1900	1900	2100	2100	2300	2200	1400	1500	2000	2000	1100	1900	1100	35200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24276	789	709	659	731	623	266	670	441	668	668	698	626	507	723	666	394	618	832	461	323	589	696	98	481	265	416	759	623	790	619	781	740	826	657	347	504	676	666	435	522	356	358									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	441	4	2	7	8	16	30	12	8	9	3	7	6	5	8	22	3	8	18	6	12	14	15	2	20	4	6	6	17	14	18	18	9	3	13	14	15	7	21	8	21	2	0									
6	Число погашенных избирательных бюллетеней	80433	1207	1289	834	1061	961	904	1118	1351	1123	1129	1095	1168	1288	1569	1112	903	1274	1550	833	865	897	1189	550	1299	531	778	1635	660	1096	1263	1301	1351	1471	1530	1039	981	1317	1313	657	1357	742	34842									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	441	4	2	7	8	16	30	12	8	9	3	7	6	5	8	22	3	8	18	6	12	14	15	2	20	4	6	6	17	14	18	18	9	3	13	14	15	7	21	8	21	2	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24242	789	703	647	731	623	266	670	441	668	668	698	626	507	723	666	394	618	832	461	323	588	692	98	481	265	415	758	623	790	619	781	740	826	657	347	499	675	666	435	519	356	358									
9	Число недействительных избирательных бюллетеней	681	21	9	20	26	27	8	24	12	15	18	15	22	21	26	19	10	14	15	12	14	20	23	5	20	9	10	21	11	23	18	18	15	22	20	7	0	16	27	16	27	3	2									
10	Число действительных избирательных бюллетеней	24002	772	696	634	713	612	288	658	437	662	653	690	610	491	705	669	387	612	835	455	321	582	684	95	481	260	411	743	629	781	619	781	734	807	650	354	514	666	660	427	513	355	356									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	860	20	20	20	20	20	20	20	20	20	20	20	20	20	30	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	30	20	20	20	20	20	20	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	389	17	11	10	7	9	2	7	5	6	6	9	13	11	20	10	6	16	14	11	5	15	12	0	4	4	4	16	9	12	16	10	18	11	7	7	11	15	4	6	6	6	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	223	10	5	1	0	7	1	5	4	8	4	6	7	3	3	8	5	6	9	2	10	3	7	26	6	1	6	2	3	4	6	6	7	1	4	3	1	5	5	11	0	9	3									
14	Число погашенных неиспользованных открепительных удостоверений	471	3	9	10	13	11	18	13	15	14	14	11	7	9	10	10	14	4	6	9	15	5	8	20	16	16	16	4	11	8	4	10	12	9	13	13	9	5	16	14	14	14	19									
