Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Жигаловская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №1579	УИК №1580					
1	"Число избирателей, внесенных в список"	7351	150	275	76	67	181	723	874	960	635	75	21	149	41	294	81	327	487	119	387	69	100	222	175	495	368					
2	Число полученных избирательных бюллетеней	7400	155	280	90	70	190	725	880	1000	620	80	25	160	50	255	80	320	490	110	380	70	110	220	180	500	360					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3650	109	170	76	50	126	274	357	358	286	68	19	115	39	154	65	213	216	66	217	31	60	90	163	181	147					
5	"Число избирательных бюллетеней, выданных вне помещения"	402	0	35	0	4	17	47	30	26	16	0	0	7	0	59	9	8	32	9	13	4	0	69	0	8	9					
6	Число погашенных избирательных бюллетеней	3348	46	75	14	16	47	404	493	616	318	12	6	38	11	42	6	99	242	35	150	35	50	61	17	311	204					
7	Число избирательных бюллетеней в переносных ящиках	402	0	35	0	4	17	47	30	26	16	0	0	7	0	59	9	8	32	9	13	4	0	69	0	8	9					
8	Число бюллетеней в стационарных ящиках для голосования	3650	109	170	76	50	126	274	357	358	286	68	19	115	39	154	65	213	216	66	217	31	60	90	163	181	147					
9	Число недействительных избирательных бюллетеней	36	1	1	0	0	0	4	2	1	3	0	0	1	0	2	0	0	4	0	7	0	1	5	0	3	1					
10	Число действительных избирательных бюллетеней	4016	108	204	76	54	143	317	385	383	299	68	19	121	39	211	74	221	244	75	223	35	59	154	163	186	155					
11	Число полученных открепительных  удостоверений	200	8	10	4	4	8	15	15	15	15	4	3	6	4	8	4	8	10	4	10	3	4	8	10	10	10					
12	Число выданных открепительных удостоверений	21	0	1	0	0	0	2	7	3	2	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	7	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	1	0	0					
14	Число неиспользованных открепительных удостоверений	179	8	9	4	4	8	13	8	12	13	4	3	6	4	7	4	8	9	4	10	2	4	8	10	9	8					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	109	2	5	1	1	4	9	10	16	13	2	0	6	0	9	0	2	8	2	3	3	0	1	0	9	3					
		2.69%	1.83%	2.44%	1.32%	1.85%	2.80%	2.80%	2.58%	4.17%	4.30%	2.94%	0.00%	4.92%	0.00%	4.23%	0.00%	0.90%	3.23%	2.67%	1.30%	8.57%	0.00%	0.63%	0.00%	4.76%	1.92%					
19	. Малышкин Олег Александрович	174	2	3	2	0	8	16	12	26	21	1	1	10	2	4	2	14	6	1	15	0	2	4	7	6	9					
