Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Дновская																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234					
1	"Число избирателей, внесенных в списки"	13207	940	948	1146	1038	1116	1117	1114	1113	597	320	379	286	357	347	382	362	614	299	371	361					
2	"Число бюллетеней, полученных участковыми комиссиями"	12719	895	883	1069	972	1056	1053	1020	1037	605	332	379	287	356	355	384	369	619	301	382	365					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5990	470	508	547	457	536	547	539	466	213	152	180	135	169	112	189	150	234	97	143	146					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1275	10	14	9	15	4	22	22	42	184	46	80	86	124	135	28	119	127	104	44	60					
6	Число погашенных бюллетеней	5454	415	361	513	500	516	484	459	529	208	134	119	66	63	108	167	100	258	100	195	159					
7	Число бюллетеней в переносных ящиках для голосования	1275	10	14	9	15	4	22	22	42	184	46	80	86	124	135	28	119	127	104	44	60					
8	Число бюллетеней в стационарных ящиках для голосования	5989	470	508	547	457	536	547	538	466	213	152	180	135	169	112	189	150	234	97	143	146					
9	Число недействительных бюллетеней	152	4	8	9	7	9	11	21	6	10	7	4	3	1	5	18	7	10	5	5	2					
10	Число действительных бюллетеней	7112	476	514	547	465	531	558	539	502	387	191	256	218	292	242	199	262	351	196	182	204					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	235	20	20	20	20	20	20	20	20	6	6	6	6	6	6	6	11	6	6	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	74	3	6	7	6	13	4	6	2	2	3	0	1	0	5	0	8	0	3	3	2					
