Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Киренская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795					
1	"Число избирателей, внесенных в список"	17942	1619	1046	1107	1897	1385	549	397	1141	111	1595	41	653	43	379	550	162	108	546	73	1478	818	168	70	252	117	78	107	471	330	77	67	15	78	154	203	57					
2	Число полученных избирательных бюллетеней	18292	1628	1062	1016	1885	1411	613	379	1130	113	1644	45	687	61	399	569	167	112	610	80	1488	816	177	69	277	124	84	114	491	360	82	70	18	81	160	212	58					
3	"Число избирательных бюллетеней, выданных  досрочно"	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6691	631	359	373	645	341	221	191	413	69	720	30	354	43	185	255	101	78	284	63	118	84	52	50	169	48	52	74	110	192	51	30	14	56	119	77	39					
5	"Число избирательных бюллетеней, выданных вне помещения"	491	57	11	67	37	9	11	15	33	20	22	0	31	0	36	2	6	4	31	0	16	6	0	4	0	5	5	3	24	14	7	0	0	7	0	8	0					
6	Число погашенных избирательных бюллетеней	11106	940	692	576	1203	1061	381	173	684	24	902	11	302	18	178	312	60	30	295	17	1354	726	125	15	108	71	27	37	357	154	24	40	4	18	41	127	19					
7	Число избирательных бюллетеней в переносных ящиках	495	57	11	67	37	9	11	15	33	20	22	4	31	0	36	2	6	4	31	0	16	6	0	4	0	5	5	3	24	14	7	0	0	7	0	8	0					
8	Число бюллетеней в стационарных ящиках для голосования	6689	631	359	373	645	340	221	191	413	69	720	30	354	43	185	255	101	78	284	63	118	84	52	50	168	48	52	74	110	192	51	30	14	56	119	77	39					
9	Число недействительных избирательных бюллетеней	77	5	8	4	3	0	2	2	6	2	10	0	6	1	1	4	2	2	5	0	1	0	1	1	0	1	3	0	0	2	1	0	0	1	1	2	0					
10	Число действительных избирательных бюллетеней	7107	683	362	436	679	349	230	204	440	87	732	34	379	42	220	253	105	80	310	63	133	90	51	53	168	52	54	77	134	204	57	30	14	62	118	83	39					
11	Число полученных открепительных  удостоверений	280	15	15	15	15	15	14	7	14	6	15	4	6	5	6	6	6	6	6	5	15	15	6	4	4	4	4	4	4	6	6	4	3	5	4	4	7					
12	Число выданных открепительных удостоверений	53	11	2	3	5	1	1	0	5	0	7	0	2	0	1	3	0	0	5	0	0	1	0	0	0	0	1	0	1	0	2	0	0	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	34	1	3	2	1	3	0	1	4	1	2	0	2	0	1	3	1	1	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	227	4	13	12	10	14	13	7	9	6	8	4	4	5	5	3	6	6	1	5	15	14	6	4	4	4	3	4	3	6	4	4	3	5	2	4	7					
15	"Число открепительных удостоверений, выданных в ТИК"	9	1	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	227	20	11	16	28	16	3	7	12	3	20	0	7	0	3	6	5	0	11	1	6	3	0	0	8	0	1	0	7	18	8	2	1	2	2	0	0					
		3.16%	2.91%	2.97%	3.64%	4.11%	4.58%	1.29%	3.40%	2.69%	3.37%	2.70%	0.00%	1.82%	0.00%	1.36%	2.33%	4.67%	0.00%	3.49%	1.59%	4.48%	3.33%	0.00%	0.00%	4.76%	0.00%	1.75%	0.00%	5.22%	8.74%	13.79%	6.67%	7.14%	3.17%	1.68%	0.00%	0.00%					
19	. Малышкин Олег Александрович	262	14	7	14	28	17	4	7	24	6	32	0	15	0	9	4	5	4	11	4	2	3	3	1	1	0	1	5	9	5	11	6	0	2	3	2	3					
		3.65%	2.03%	1.89%	3.18%	4.11%	4.87%	1.72%	3.40%	5.38%	6.74%	4.31%	0.00%	3.90%	0.00%	4.07%	1.56%	4.67%	4.88%	3.49%	6.35%	1.49%	3.33%	5.77%	1.85%	0.60%	0.00%	1.75%	6.49%	6.72%	2.43%	18.97%	20.00%	0.00%	3.17%	2.52%	2.35%	7.69%					
20	. Миронов Сергей Михайлович	64	2	6	4	5	7	1	1	2	1	8	1	1	1	1	4	1	0	2	0	2	0	3	1	2	1	0	0	1	2	0	1	0	1	0	2	0					
		0.89%	0.29%	1.62%	0.91%	0.73%	2.01%	0.43%	0.49%	0.45%	1.12%	1.08%	2.94%	0.26%	2.33%	0.45%	1.56%	0.93%	0.00%	0.63%	0.00%	1.49%	0.00%	5.77%	1.85%	1.19%	1.89%	0.00%	0.00%	0.75%	0.97%	0.00%	3.33%	0.00%	1.59%	0.00%	2.35%	0.00%					
21	. Путин Владимир Владимирович	4917	471	259	316	436	215	171	149	276	61	509	29	250	40	171	179	79	67	215	53	77	63	36	50	129	39	49	56	62	97	29	15	12	54	101	68	34					
		68.44%	68.46%	70.00%	71.82%	63.93%	61.60%	73.71%	72.33%	61.88%	68.54%	68.60%	85.29%	64.94%	93.02%	77.38%	69.65%	73.83%	81.71%	68.25%	84.13%	57.46%	70.00%	69.23%	92.59%	76.79%	73.58%	85.96%	72.73%	46.27%	47.09%	50.00%	50.00%	85.71%	85.71%	84.87%	80.00%	87.18%					
22	. Хакамада Ирина Муцуовна	223	29	18	11	16	16	10	2	17	3	33	2	8	1	6	6	2	3	7	0	2	2	0	1	5	2	2	0	5	6	2	1	0	1	0	4	0					
		3.10%	4.22%	4.86%	2.50%	2.35%	4.58%	4.31%	0.97%	3.81%	3.37%	4.45%	5.88%	2.08%	2.33%	2.71%	2.33%	1.87%	3.66%	2.22%	0.00%	1.49%	2.22%	0.00%	1.85%	2.98%	3.77%	3.51%	0.00%	3.73%	2.91%	3.45%	3.33%	0.00%	1.59%	0.00%	4.71%	0.00%					
23	. Харитонов Николай Михайлович	1106	110	46	56	134	65	30	33	81	12	81	2	96	0	28	36	5	6	49	1	34	17	8	0	20	8	1	15	41	67	3	5	1	1	6	6	2					
		15.40%	15.99%	12.43%	12.73%	19.65%	18.62%	12.93%	16.02%	18.16%	13.48%	10.92%	5.88%	24.94%	0.00%	12.67%	14.01%	4.67%	7.32%	15.56%	1.59%	25.37%	18.89%	15.38%	0.00%	11.90%	15.09%	1.75%	19.48%	30.60%	32.52%	5.17%	16.67%	7.14%	1.59%	5.04%	7.06%	5.13%					
																																											
24	Против всех	308	37	15	19	32	13	11	5	28	1	49	0	2	0	2	18	8	0	15	4	10	2	1	0	3	2	0	1	9	9	4	0	0	1	6	1	0					
		4.29%	5.38%	4.05%	4.32%	4.69%	3.72%	4.74%	2.43%	6.28%	1.12%	6.60%	0.00%	0.52%	0.00%	0.90%	7.00%	7.48%	0.00%	4.76%	6.35%	7.46%	2.22%	1.92%	0.00%	1.79%	3.77%	0.00%	1.30%	6.72%	4.37%	6.90%	0.00%	0.00%	1.59%	5.04%	1.18%	0.00%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
