Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Ломоносовский район																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290	УИК №2291									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	51250	2058	2198	1928	1331	2070	1975	2174	2235	2166	2275	2071	1803	2587	1680	2031	1484	1591	2180	2170	2124	2570	2323	2252	481	1364	2129									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35669	1440	1543	1355	928	1447	1380	1528	1571	1516	1605	1439	1217	1778	1176	1412	1004	1046	1526	1525	1473	1772	1634	1573	332	950	1499									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17695	772	794	728	434	661	682	783	680	767	746	754	652	836	649	574	613	550	696	737	713	899	785	840	182	460	708									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	522	24	16	19	13	39	22	14	19	22	14	23	25	23	30	22	24	24	20	24	27	26	5	18	1	6	22									
6	Число погашенных избирательных бюллетеней	17452	644	733	608	481	747	676	731	872	727	845	662	540	919	497	816	367	472	810	764	733	847	844	715	149	484	769									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	522	24	16	19	13	39	22	14	19	22	14	23	25	23	30	22	24	24	20	24	27	26	5	18	1	6	22									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17655	771	794	728	433	660	682	782	678	766	745	754	652	835	649	572	606	549	694	731	712	895	782	838	182	460	705									
9	Число недействительных избирательных бюллетеней	282	14	15	8	7	9	8	13	13	8	5	9	12	15	14	12	8	10	18	15	9	15	16	7	3	8	11									
10	Число действительных избирательных бюллетеней	17895	781	795	739	439	690	696	783	684	780	754	768	665	843	665	582	622	563	696	740	730	906	771	849	180	458	716									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	430	25	15	20	10	10	25	20	15	10	30	10	20	15	10	10	15	20	20	20	20	20	20	10	10	10	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	305	17	13	14	9	10	15	13	12	8	26	10	13	13	5	6	13	9	11	14	10	12	17	10	1	7	17									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	462	12	12	5	7	10	20	8	4	9	13	14	59	47	78	17	37	39	12	4	18	15	4	4	6	4	4									
14	Число погашенных неиспользованных открепительных удостоверений	125	8	2	6	1	0	10	7	3	2	4	0	7	2	5	4	2	11	9	6	10	8	3	0	9	3	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	0	3	0	2	0	1	3	1	1	1	1	0	1	0	1	2	1	1	0	4	1	0	2	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	804	47	38	33	13	27	29	34	44	37	39	44	27	31	25	35	29	25	36	27	35	34	29	42	7	18	19									
		4.42%	5.91%	4.69%	4.42%	2.91%	3.86%	4.12%	4.27%	6.31%	4.70%	5.14%	5.66%	3.99%	3.61%	3.68%	5.89%	4.60%	4.36%	5.04%	3.58%	4.74%	3.69%	3.68%	4.91%	3.83%	3.86%	2.61%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	328	10	10	23	0	10	6	19	11	15	11	9	16	20	11	14	9	4	16	11	25	10	19	20	2	14	13									
		1.80%	1.26%	1.23%	3.08%	0.00%	1.43%	0.85%	2.39%	1.58%	1.90%	1.45%	1.16%	2.36%	2.33%	1.62%	2.36%	1.43%	0.70%	2.24%	1.46%	3.38%	1.09%	2.41%	2.34%	1.09%	3.00%	1.79%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	552	25	26	16	16	21	26	24	14	28	25	26	14	31	17	14	18	23	11	38	26	31	18	21	5	9	29									
		3.04%	3.14%	3.21%	2.14%	3.59%	3.00%	3.69%	3.02%	2.01%	3.55%	3.29%	3.35%	2.07%	3.61%	2.50%	2.36%	2.86%	4.01%	1.54%	5.03%	3.52%	3.37%	2.29%	2.45%	2.73%	1.93%	3.99%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5185	235	212	174	147	234	177	224	183	204	208	198	196	244	209	188	179	184	191	225	246	262	222	213	49	146	235									
		28.53%	29.56%	26.17%	23.29%	32.96%	33.48%	25.14%	28.14%	26.26%	25.89%	27.40%	25.48%	28.95%	28.44%	30.78%	31.65%	28.41%	32.11%	26.75%	29.80%	33.29%	28.45%	28.21%	24.88%	26.78%	31.33%	32.32%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	365	18	12	18	9	9	15	11	17	15	11	11	26	17	12	17	9	5	22	15	23	20	10	19	7	9	8									
		2.01%	2.26%	1.48%	2.41%	2.02%	1.29%	2.13%	1.38%	2.44%	1.90%	1.45%	1.42%	3.84%	1.98%	1.77%	2.86%	1.43%	0.87%	3.08%	1.99%	3.11%	2.17%	1.27%	2.22%	3.83%	1.93%	1.10%									
24	"6. Политическая партия ""Гражданская Платформа"""	66	2	2	3	3	2	2	7	8	2	7	2	0	1	3	1	2	2	3	4	1	2	1	2	0	3	1									
		0.36%	0.25%	0.25%	0.40%	0.67%	0.29%	0.28%	0.88%	1.15%	0.25%	0.92%	0.26%	0.00%	0.12%	0.44%	0.17%	0.32%	0.35%	0.42%	0.53%	0.14%	0.22%	0.13%	0.23%	0.00%	0.64%	0.14%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1766	65	76	68	51	71	54	88	73	70	72	81	74	89	76	64	40	46	77	83	81	93	83	56	15	54	66									
		9.72%	8.18%	9.38%	9.10%	11.43%	10.16%	7.67%	11.06%	10.47%	8.88%	9.49%	10.42%	10.93%	10.37%	11.19%	10.77%	6.35%	8.03%	10.78%	10.99%	10.96%	10.10%	10.55%	6.54%	8.20%	11.59%	9.08%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	697	19	30	31	15	24	25	21	33	38	32	26	33	41	29	19	22	24	36	35	23	48	32	25	5	16	15									
		3.83%	2.39%	3.70%	4.15%	3.36%	3.43%	3.55%	2.64%	4.73%	4.82%	4.22%	3.35%	4.87%	4.78%	4.27%	3.20%	3.49%	4.19%	5.04%	4.64%	3.11%	5.21%	4.07%	2.92%	2.73%	3.43%	2.06%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	977	49	39	42	18	36	37	44	39	43	41	46	31	47	44	23	31	32	41	31	50	54	41	40	14	23	41									
