Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																													
Дата голосования: 02.12.2007																																													
																																													
Наименование Избирательной комиссии:    Старицкая																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006					
1	"Число избирателей, внесенных в списки избирателей"	18888	2112	2130	1502	1507	496	194	277	702	160	122	163	295	246	136	273	132	824	335	218	416	948	356	113	116	898	170	215	210	336	226	243	94	292	159	1221	485	159	407					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	17178	1890	1930	1335	1360	480	200	260	640	165	125	155	270	230	133	250	135	720	310	200	360	840	320	110	120	810	170	195	190	310	195	220	90	270	157	1100	400	163	370					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9907	1130	1101	785	750	368	110	187	366	93	57	75	148	103	80	133	79	454	101	111	241	457	189	65	60	407	79	137	106	197	132	92	65	148	75	602	289	102	233					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2271	61	35	43	50	76	54	38	97	40	29	38	49	77	31	38	25	176	64	44	60	143	71	8	18	109	40	31	63	66	49	71	10	65	41	140	105	18	98					
6	Число погашенных избирательных бюллетеней	5000	699	794	507	560	36	36	35	177	32	39	42	73	50	22	79	31	90	145	45	59	240	60	37	42	294	51	27	21	47	14	57	15	57	41	358	6	43	39					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2271	61	35	43	50	76	54	38	97	40	29	38	49	77	31	38	25	176	64	44	60	143	71	8	18	109	40	31	63	66	49	71	10	65	41	140	105	18	98					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9906	1130	1101	785	750	368	110	187	366	93	57	75	148	103	80	133	79	454	101	111	241	457	189	65	60	407	79	137	106	197	132	92	65	148	75	601	289	102	233					
9	Число недействительных избирательных бюллетеней	64	10	13	4	6	3	0	3	2	0	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	1	1	1	0	0	1	2	0	0	0	2	3	3	0					
10	Число действительных избирательных бюллетеней	12113	1181	1123	824	794	441	164	222	461	133	86	113	195	180	111	171	104	623	165	155	301	600	260	73	78	515	118	167	169	263	180	161	75	213	116	739	391	117	331					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	388	30	37	15	25	13	10	8	15	10	5	3	10	10	5	5	5	20	5	10	5	10	5	10	3	10	5	10	10	10	4	3	5	10	3	21	10	3	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	231	23	35	8	23	11	1	5	6	7	0	3	2	5	0	3	3	16	2	1	4	5	0	3	2	7	0	4	8	10	2	2	0	2	2	18	3	1	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	302	16	22	4	17	32	0	13	6	1	0	0	5	1	7	1	4	43	1	3	9	20	10	2	1	3	2	5	6	11	1	3	2	3	1	18	25	1	3					
14	Число погашенных неиспользованных открепительных удостоверений	157	7	2	7	2	2	9	3	9	3	5	0	8	5	5	2	2	4	3	9	1	5	5	7	1	3	5	6	2	0	2	1	5	8	1	3	7	2	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	2	1	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
18	1.Политическая партия «Аграрная партия России»	470	38	41	31	35	9	0	7	30	6	9	2	10	5	3	12	0	29	13	2	19	19	20	3	1	11	3	15	8	12	0	6	3	2	9	41	3	6	7					
		3.86%	3.19%	3.61%	3.74%	4.38%	2.03%	0.00%	3.11%	6.48%	4.51%	10.47%	1.77%	5.08%	2.78%	2.70%	7.02%	0.00%	4.60%	7.88%	1.29%	6.31%	3.17%	7.69%	4.11%	1.28%	2.13%	2.52%	8.93%	4.73%	4.56%	0.00%	3.68%	4.00%	0.94%	7.76%	5.53%	0.76%	5.00%	2.11%					
19	2.Всероссийская политическая партия «Гражданская Сила»	52	6	4	5	5	6	0	2	2	0	0	0	0	0	0	1	0	5	0	0	3	2	0	0	0	2	1	0	0	0	1	0	0	0	1	4	0	0	2					
		0.43%	0.50%	0.35%	0.60%	0.63%	1.35%	0.00%	0.89%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.79%	0.00%	0.00%	0.99%	0.33%	0.00%	0.00%	0.00%	0.39%	0.84%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.86%	0.54%	0.00%	0.00%	0.60%					
20	3.Политическая партия «Демократическая партия России»	16	3	3	1	2	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0					
		0.13%	0.25%	0.26%	0.12%	0.25%	0.00%	0.00%	0.44%	0.22%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1004	151	143	108	96	36	6	6	12	10	8	3	8	18	14	11	7	43	13	7	5	46	19	4	10	49	7	9	13	8	9	16	3	4	4	51	26	10	11					
		8.25%	12.68%	12.59%	13.04%	12.00%	8.11%	3.66%	2.67%	2.59%	7.52%	9.30%	2.65%	4.06%	10.00%	12.61%	6.43%	6.73%	6.83%	7.88%	4.52%	1.66%	7.67%	7.31%	5.48%	12.82%	9.50%	5.88%	5.36%	7.69%	3.04%	4.97%	9.82%	4.00%	1.88%	3.45%	6.88%	6.60%	8.33%	3.32%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	31	6	4	4	6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	1	0	0	2	0	0	0	0					
		0.25%	0.50%	0.35%	0.48%	0.75%	0.23%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	1.28%	0.19%	0.84%	0.60%	0.00%	0.38%	0.00%	0.61%	0.00%	0.00%	1.72%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	18	4	0	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0					
		0.15%	0.34%	0.00%	0.36%	0.38%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.17%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.83%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1125	136	125	69	106	27	13	16	46	14	3	13	24	8	11	14	12	52	14	20	28	44	23	9	6	51	7	16	21	16	6	12	10	12	20	72	21	8	20					
		9.24%	11.42%	11.00%	8.33%	13.25%	6.08%	7.93%	7.11%	9.94%	10.53%	3.49%	11.50%	12.18%	4.44%	9.91%	8.19%	11.54%	8.25%	8.48%	12.90%	9.30%	7.33%	8.85%	12.33%	7.69%	9.88%	5.88%	9.52%	12.43%	6.08%	3.31%	7.36%	13.33%	5.63%	17.24%	9.72%	5.33%	6.67%	6.04%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	752	98	111	84	63	18	11	9	18	3	9	4	6	10	7	18	4	24	6	9	20	30	10	3	0	32	7	6	5	8	5	15	6	6	9	43	21	4	10					
		6.18%	8.23%	9.77%	10.14%	7.88%	4.05%	6.71%	4.00%	3.89%	2.26%	10.47%	3.54%	3.05%	5.56%	6.31%	10.53%	3.85%	3.81%	3.64%	5.81%	6.64%	5.00%	3.85%	4.11%	0.00%	6.20%	5.88%	3.57%	2.96%	3.04%	2.76%	9.20%	8.00%	2.82%	7.76%	5.80%	5.33%	3.33%	3.02%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	78	9	15	12	7	3	0	1	1	0	1	1	2	0	1	0	2	1	0	3	0	3	4	1	1	0	0	1	1	4	0	0	0	0	1	1	0	2	0					
		0.64%	0.76%	1.32%	1.45%	0.88%	0.68%	0.00%	0.44%	0.22%	0.00%	1.16%	0.88%	1.02%	0.00%	0.90%	0.00%	1.92%	0.16%	0.00%	1.94%	0.00%	0.50%	1.54%	1.37%	1.28%	0.00%	0.00%	0.60%	0.59%	1.52%	0.00%	0.00%	0.00%	0.00%	0.86%	0.13%	0.00%	1.67%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	8514	726	672	500	463	339	134	179	350	99	54	87	145	139	75	114	79	468	119	112	223	452	184	53	58	365	92	119	121	212	158	109	53	189	70	517	320	86	279					
		69.92%	60.96%	59.15%	60.39%	57.88%	76.35%	81.71%	79.56%	75.59%	74.44%	62.79%	76.99%	73.60%	77.22%	67.57%	66.67%	75.96%	74.29%	72.12%	72.26%	74.09%	75.33%	70.77%	72.60%	74.36%	70.74%	77.31%	70.83%	71.60%	80.61%	87.29%	66.87%	70.67%	88.73%	60.34%	69.77%	81.22%	71.67%	84.29%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	53	4	5	7	8	2	0	1	0	0	2	2	0	0	0	1	0	0	0	2	2	2	0	0	0	2	0	0	0	2	1	2	0	0	0	6	0	0	2					
		0.44%	0.34%	0.44%	0.85%	1.00%	0.45%	0.00%	0.44%	0.00%	0.00%	2.33%	1.77%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	1.29%	0.66%	0.33%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.76%	0.55%	1.23%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.60%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
