Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Кинель-Черкасская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34668	650	95	561	176	444	219	169	225	794	411	334	1024	1126	977	895	850	226	226	1002	496	528	1875	559	504	932	1132	1222	1049	146	511	557	1194	1381	685	832	619	225	364	341	1308	289	1348	342	185	1705	1080	964	771	960	160									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34650	670	90	580	170	440	210	160	220	810	410	330	950	1140	960	870	860	220	190	1000	500	530	1880	550	510	950	1150	1200	1030	140	520	560	1190	1390	680	830	630	220	380	350	1300	300	1350	340	180	1730	1090	980	800	960	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18687	391	70	372	107	254	135	89	117	515	262	187	515	615	502	458	430	128	116	523	306	238	1096	275	284	551	612	467	494	83	277	383	568	1119	530	287	337	127	174	187	695	186	752	158	142	699	581	418	374	428	73									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2167	121	9	41	12	29	18	10	7	106	52	27	71	43	18	36	40	8	12	41	27	43	62	19	20	35	12	52	36	1	41	57	64	81	38	78	43	12	52	32	23	17	55	39	17	162	71	81	87	83	26									
6	Число погашенных избирательных бюллетеней	13796	158	11	167	51	157	57	61	96	189	96	116	364	482	440	376	390	84	62	436	167	249	722	256	206	364	526	681	500	56	202	120	558	190	112	465	250	81	154	131	582	97	543	143	21	869	438	481	339	449	51									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2167	121	9	41	12	29	18	10	7	106	52	27	71	43	18	36	40	8	12	41	27	43	62	19	20	35	12	52	36	1	41	57	64	81	38	78	43	12	52	32	23	17	55	39	17	162	71	81	87	83	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18684	391	70	372	107	254	135	89	117	515	262	187	515	614	502	458	430	128	116	523	306	238	1096	275	284	551	612	467	494	83	277	383	568	1119	530	287	335	127	174	187	695	186	752	158	142	699	581	418	374	428	73									
9	Число недействительных избирательных бюллетеней	637	18	0	13	9	8	4	5	2	15	0	8	17	28	21	30	14	4	3	17	15	16	13	12	17	17	31	16	12	2	9	0	33	18	10	11	10	2	5	15	18	0	26	4	6	27	23	19	18	14	2									
10	Число действительных избирательных бюллетеней	20214	494	79	400	110	275	149	94	122	606	314	206	569	629	499	464	456	132	125	547	318	265	1145	282	287	569	593	503	518	82	309	440	599	1182	558	354	368	137	221	204	700	203	781	193	153	834	629	480	443	497	97									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	548	14	0	27	3	12	3	2	3	16	6	5	14	17	10	13	1	5	3	13	9	8	29	7	8	19	11	5	7	1	7	7	18	21	10	12	16	0	14	16	17	14	20	1	3	27	16	14	28	14	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	530	14	0	27	3	12	3	2	3	16	6	5	12	17	6	12	1	5	1	9	9	5	29	7	8	19	10	5	7	1	7	7	18	21	10	12	16	0	14	16	16	14	20	1	3	27	16	14	28	14	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	217	4	2	5	0	4	5	4	3	6	4	6	14	3	12	8	3	0	15	2	4	2	9	3	1	1	8	2	7	0	3	3	7	2	1	1	3	1	6	4	9	0	6	5	1	7	7	2	1	7	4									
14	Число погашенных неиспользованных открепительных удостоверений	18	0	0	0	0	0	0	0	0	0	0	0	2	0	4	1	0	0	2	4	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	52	3	0	0	0	0	0	0	0	2	0	0	1	3	0	1	1	0	0	2	2	0	6	0	1	9	2	2	3	0	0	0	1	1	0	0	0	2	7	0	0	0	2	1	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	227	3	1	9	0	4	1	0	2	4	2	2	5	15	5	9	5	3	1	2	2	3	9	4	8	6	1	5	4	1	6	2	6	12	6	6	8	3	1	1	14	4	8	2	0	6	7	3	5	7	4									
		1.09%	0.59%	1.27%	2.18%	0.00%	1.41%	0.65%	0.00%	1.61%	0.64%	0.64%	0.93%	0.85%	2.28%	0.96%	1.82%	1.06%	2.21%	0.78%	0.35%	0.60%	1.07%	0.78%	1.36%	2.63%	1.02%	0.16%	0.96%	0.75%	1.19%	1.89%	0.45%	0.95%	1.00%	1.06%	1.64%	2.12%	2.16%	0.44%	0.46%	1.95%	1.97%	0.99%	1.02%	0.00%	0.70%	1.07%	0.60%	1.08%	1.37%	4.04%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	679	16	4	15	12	11	5	5	10	16	14	9	26	29	17	13	9	5	4	11	11	3	25	15	6	13	20	21	15	5	11	24	20	23	17	11	20	5	6	8	28	6	32	6	5	31	22	11	12	14	2									
		3.26%	3.13%	5.06%	3.63%	10.08%	3.89%	3.27%	5.05%	8.06%	2.58%	4.46%	4.21%	4.44%	4.41%	3.27%	2.63%	1.91%	3.68%	3.13%	1.95%	3.30%	1.07%	2.16%	5.10%	1.97%	2.22%	3.21%	4.05%	2.83%	5.95%	3.46%	5.45%	3.16%	1.92%	2.99%	3.01%	5.29%	3.60%	2.65%	3.65%	3.90%	2.96%	3.97%	3.05%	3.14%	3.60%	3.37%	2.20%	2.60%	2.74%	2.02%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	260	6	0	5	2	2	1	0	2	9	3	0	9	6	7	8	4	1	1	6	5	7	19	5	4	7	9	5	7	0	3	4	6	15	4	4	3	2	3	2	15	4	10	1	0	9	10	8	7	7	3									
		1.25%	1.17%	0.00%	1.21%	1.68%	0.71%	0.65%	0.00%	1.61%	1.45%	0.96%	0.00%	1.54%	0.91%	1.35%	1.62%	0.85%	0.74%	0.78%	1.06%	1.50%	2.49%	1.64%	1.70%	1.32%	1.19%	1.44%	0.96%	1.32%	0.00%	0.94%	0.91%	0.95%	1.25%	0.70%	1.10%	0.79%	1.44%	1.33%	0.91%	2.09%	1.97%	1.24%	0.51%	0.00%	1.05%	1.53%	1.60%	1.52%	1.37%	3.03%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10976	314	29	171	52	131	94	56	52	376	180	101	300	310	257	247	263	52	56	294	174	140	569	121	148	249	324	252	275	42	154	298	347	683	349	179	199	75	117	110	395	142	395	134	112	481	336	288	229	260	64									
		52.64%	61.33%	36.71%	41.40%	43.70%	46.29%	61.44%	56.57%	41.94%	60.55%	57.32%	47.20%	51.19%	47.18%	49.42%	50.00%	55.96%	38.24%	43.75%	52.13%	52.25%	49.82%	49.14%	41.16%	48.68%	42.49%	51.92%	48.55%	51.89%	50.00%	48.43%	67.73%	54.91%	56.92%	61.44%	49.04%	52.65%	53.96%	51.77%	50.23%	55.01%	69.95%	48.95%	68.02%	70.44%	55.87%	51.53%	57.72%	49.67%	50.88%	64.65%									
