Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																				
Дата голосования: 04.12.2011																																																																				
																																																																				
Наименование Избирательной комиссии:    Красногвардейская																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
		Сумма	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776					
1	"Число избирателей, внесенных в список избирателей"	32449	1404	1394	902	1196	718	839	194	617	341	729	160	220	475	604	768	280	102	508	799	472	204	354	572	453	410	649	908	1042	766	144	404	168	110	464	128	273	253	124	1037	719	834	591	1064	793	621	439	420	274	959	135	1145	615	543	93	258	161	267	192	795	168	178					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32400	1400	1375	900	1190	715	840	195	615	340	730	160	220	475	600	770	279	103	505	800	470	207	355	570	455	410	645	905	1040	765	147	405	170	110	460	128	271	255	126	1030	710	825	590	1070	790	620	440	421	277	965	138	1140	610	545	95	257	160	269	192	800	170	180					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	22550	800	926	668	637	509	734	80	392	224	540	115	187	425	490	481	204	83	370	631	306	192	288	372	288	281	468	755	628	645	134	300	117	81	354	86	208	194	94	680	517	420	339	720	511	391	331	240	179	628	112	814	413	363	84	159	103	226	179	555	141	158					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4235	72	101	8	70	95	71	67	133	65	138	35	28	20	31	119	29	7	90	74	87	6	0	87	74	51	31	47	134	54	0	50	37	22	72	25	36	35	19	231	140	215	183	85	105	200	49	67	51	186	14	163	85	55	0	26	15	15	8	184	23	15					
6	Число погашенных избирательных бюллетеней	5615	528	348	224	483	111	35	48	90	51	52	10	5	30	79	170	46	13	45	95	77	9	67	111	93	78	146	103	278	66	13	55	16	7	34	17	27	26	13	119	53	190	68	265	174	29	60	114	47	151	12	163	112	127	11	72	42	28	5	61	6	7					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4235	72	101	8	70	95	71	67	133	65	138	35	28	20	31	119	29	7	90	74	87	6	0	87	74	51	31	47	134	54	0	50	37	22	72	25	36	35	19	231	140	215	183	85	105	200	49	67	51	186	14	163	85	55	0	26	15	15	8	184	23	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22549	800	925	668	637	509	734	80	392	224	540	115	187	425	490	481	204	83	370	631	306	192	288	372	288	281	468	755	628	645	134	300	117	81	354	86	208	194	94	680	517	420	339	720	511	391	331	240	179	628	112	814	413	363	84	159	103	226	179	555	141	158					
9	Число недействительных избирательных бюллетеней	290	8	15	8	8	6	3	1	2	0	12	0	0	6	5	7	2	0	4	61	6	1	3	1	11	5	3	9	6	0	0	0	0	0	3	0	1	1	3	9	2	8	6	14	6	4	1	0	3	6	2	2	3	7	0	5	0	0	2	5	3	1					
10	Число действительных избирательных бюллетеней	26494	864	1011	668	699	598	802	146	523	289	666	150	215	439	516	593	231	90	456	644	387	197	285	458	351	327	496	793	756	699	134	350	154	103	423	111	243	228	110	902	655	627	516	791	610	587	379	307	227	808	124	975	495	411	84	180	118	241	185	734	161	172					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	265	11	10	7	5	5	5	2	6	3	6	2	5	3	2	8	2	2	8	10	5	2	3	3	5	3	5	8	8	5	2	5	3	2	3	2	2	3	2	8	8	5	5	8	4	2	4	3	2	5	2	5	5	6	2	2	2	2	2	4	4	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	149	7	5	7	3	0	4	0	6	3	5	1	4	2	1	4	1	0	3	5	0	1	1	2	4	3	0	2	2	1	0	5	2	0	3	0	2	3	0	6	6	3	2	6	1	2	0	2	2	5	2	2	3	6	0	0	0	0	0	4	4	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	115	8	18	6	6	2	1	0	3	0	0	1	2	0	2	2	3	1	3	0	4	0	0	2	1	3	1	2	2	1	0	1	0	2	5	1	1	0	0	2	3	3	1	3	1	2	0	0	0	1	0	2	4	1	0	2	2	0	1	0	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	116	4	5	0	2	5	1	2	0	0	1	1	1	1	1	4	1	2	5	5	5	1	2	1	1	0	5	6	6	4	2	0	1	2	0	2	0	0	2	2	2	2	3	2	3	0	4	1	0	0	0	3	2	0	2	2	2	2	2	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
