Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																						
Дата голосования: 02.12.2007																																																																						
																																																																						
Наименование Избирательной комиссии:    Красногвардейская																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744					
1	"Число избирателей, внесенных в списки избирателей"	33509	1522	1453	846	1188	714	832	212	635	348	758	175	240	484	541	78	835	288	110	534	793	506	210	373	615	504	429	627	904	1049	740	164	430	309	473	142	275	267	132	1021	747	808	629	1062	687	195	565	447	455	274	1055	137	1103	640	262	186	302	97	549	96	210	864	186	197					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	33365	1400	1355	815	1160	705	830	213	635	345	770	179	241	485	540	80	850	285	110	540	805	505	210	375	615	505	430	635	908	1070	750	164	440	311	470	143	270	271	135	1029	740	799	635	1055	683	198	570	444	456	273	1060	139	1120	646	265	186	299	101	555	98	211	865	188	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	22734	915	943	599	920	484	550	131	325	205	547	119	197	396	382	55	579	215	86	330	625	310	180	299	419	331	326	472	661	755	519	151	281	126	359	90	201	195	95	670	497	353	353	667	454	150	384	282	320	202	600	108	720	365	238	166	264	71	388	86	183	513	158	169					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4363	132	112	14	50	96	123	64	168	78	112	50	34	51	66	15	137	40	10	104	56	111	15	0	62	93	74	30	61	67	46	0	51	144	71	23	36	37	27	152	90	266	144	104	80	30	66	36	83	61	183	13	132	95	0	0	0	13	60	0	17	243	20	15					
6	Число погашенных избирательных бюллетеней	6268	353	300	202	190	125	157	18	142	62	111	10	10	38	92	10	134	30	14	106	124	84	15	76	134	81	30	133	186	248	185	13	108	41	40	30	33	39	13	207	153	180	138	284	149	18	120	126	53	10	277	18	268	186	27	20	35	17	107	12	11	109	10	16					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4363	132	112	14	50	96	123	64	168	78	112	50	34	51	66	15	137	40	10	104	56	111	15	0	62	93	74	30	61	67	46	0	51	144	71	23	36	37	27	152	90	266	144	104	80	30	66	36	83	61	183	13	132	95	0	0	0	13	60	0	17	243	20	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22731	913	943	599	920	484	550	131	325	205	547	119	197	396	382	55	579	215	86	330	625	310	180	299	419	331	326	472	661	755	519	151	281	126	358	90	201	195	95	670	497	353	353	667	454	150	384	282	320	202	600	108	720	365	238	166	264	71	388	86	183	513	158	169					
9	Число недействительных избирательных бюллетеней	340	4	8	4	0	4	1	1	3	1	5	0	0	38	33	2	22	13	4	1	4	3	1	3	5	14	7	3	5	10	6	1	4	2	12	1	0	4	3	3	6	5	1	15	10	4	11	1	4	13	10	3	0	1	3	0	1	1	2	1	6	4	1	2					
10	Число действительных избирательных бюллетеней	26754	1041	1047	609	970	576	672	194	490	282	654	169	231	409	415	68	694	242	92	433	677	418	194	296	476	410	393	499	717	812	559	150	328	268	417	112	237	228	119	819	581	614	496	756	524	176	439	317	399	250	773	118	852	459	235	166	263	83	446	85	194	752	177	182					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	385	20	10	6	8	6	6	4	7	3	6	2	3	4	4	2	19	3	2	10	12	6	4	7	4	4	3	6	16	11	11	2	13	2	4	2	3	6	2	16	14	14	13	6	5	3	8	4	4	3	6	3	6	5	4	4	4	2	4	2	2	4	3	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	219	9	9	6	3	5	5	3	7	2	6	1	1	3	2	2	15	0	0	7	10	4	1	3	1	1	2	3	10	9	5	0	11	1	2	0	0	3	1	3	7	6	4	6	3	1	4	2	2	0	6	0	6	5	2	0	2	1	4	0	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	141	9	58	2	1	0	0	0	2	0	0	0	1	0	3	2	2	2	1	4	1	3	1	1	1	0	0	0	4	1	0	0	0	0	6	1	1	1	0	3	3	1	1	4	1	0	0	0	1	0	5	0	2	2	1	1	0	0	2	1	0	4	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	166	11	1	0	5	1	1	1	0	1	0	1	2	1	2	0	4	3	2	3	2	2	3	4	3	3	1	3	6	2	6	2	2	1	2	2	3	3	1	13	7	8	9	0	2	2	4	2	2	3	0	3	0	0	2	4	2	1	0	2	2	2	3	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																						
18	1.Политическая партия «Аграрная партия России»	538	12	16	10	14	15	5	4	17	8	28	1	3	3	0	0	9	1	1	17	38	14	2	5	10	5	3	15	9	14	11	6	12	2	7	0	6	1	3	21	11	10	11	14	12	1	8	9	8	5	21	9	14	4	5	2	8	2	2	4	4	23	0	3					
		1.99%	1.15%	1.52%	1.63%	1.44%	2.59%	0.74%	2.05%	3.45%	2.83%	4.25%	0.59%	1.30%	0.67%	0.00%	0.00%	1.26%	0.39%	1.04%	3.92%	5.58%	3.33%	1.03%	1.67%	2.08%	1.18%	0.75%	2.99%	1.25%	1.70%	1.95%	3.97%	3.61%	0.74%	1.63%	0.00%	2.53%	0.43%	2.46%	2.55%	1.87%	1.62%	2.21%	1.82%	2.25%	0.56%	1.78%	2.83%	1.99%	1.90%	2.68%	7.44%	1.64%	0.87%	2.10%	1.20%	3.03%	2.38%	0.45%	4.65%	2.00%	3.04%	0.00%	1.63%					
19	2.Всероссийская политическая партия «Гражданская Сила»	67	5	4	4	5	3	3	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	2	2	5	1	1	1	1	1	0	0	1	0	3	1	1	2	1	1	1	1	0	0	0	0	1	2	2	0	1	0	0	0	0	0	1	0	0					
