Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																											
Дата голосования: 02.12.2007																											
																											
Наименование Избирательной комиссии:    Бурлинская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673					
1	"Число избирателей, внесенных в списки избирателей"	10393	2624	1187	723	194	148	715	143	206	175	756	46	572	125	332	255	64	476	426	298	928					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	9220	1900	900	600	190	220	700	140	210	180	700	40	500	120	330	250	60	480	440	300	960					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6299	1498	664	448	120	143	433	94	107	112	469	34	352	87	223	155	37	293	261	209	560					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	335	85	16	20	4	5	36	5	20	14	9	1	14	1	18	13	2	19	4	10	39					
6	Число погашенных избирательных бюллетеней	2586	317	220	132	66	72	231	41	83	54	222	5	134	32	89	82	21	168	175	81	361					
7	Число избирательных бюллетеней в переносных ящиках для голосования	335	85	16	20	4	5	36	5	20	14	9	1	14	1	18	13	2	19	4	10	39					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6299	1498	664	448	120	143	433	94	107	112	469	34	352	87	223	155	37	293	261	209	560					
9	Число недействительных избирательных бюллетеней	82	11	10	4	1	2	4	1	4	2	9	0	2	1	3	2	1	3	4	5	13					
10	Число действительных избирательных бюллетеней	6552	1572	670	464	123	146	465	98	123	124	469	35	364	87	238	166	38	309	261	214	586					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	99	32	12	5	2	2	5	4	2	2	3	1	5	2	2	2	1	5	5	2	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	73	31	12	4	1	0	5	2	0	0	1	0	4	0	2	1	0	2	4	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	57	8	6	3	5	4	2	4	2	2	2	4	0	2	2	3	2	2	1	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	26	1	0	1	1	2	0	2	2	2	2	1	1	2	0	1	1	3	1	2	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
