Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва													
Дата голосования: 07.12.2003 0:00:00													
													
Наименование Избирательной комиссии:    Овюрская 													
													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)													
													
		Сумма	УИК  100	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105					
1	"Число избирателей, внесенных в списки"	3985	236	435	521	1588	618	587					
2	"Число бюллетеней, полученных участковыми комиссиями"	4211	241	452	563	1608	663	684					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	376	52	51	101	21	101	50					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2332	175	296	308	849	334	370					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	162	0	31	11	68	9	43					
6	Число погашенных бюллетеней	1341	14	74	143	670	219	221					
7	Число бюллетеней в переносных ящиках для голосования	538	52	82	112	89	110	93					
8	Число бюллетеней в стационарных ящиках для голосования	2332	175	296	308	849	334	370					
9	Число недействительных бюллетеней	74	4	0	19	33	5	13					
10	Число действительных бюллетеней	2796	223	378	401	905	439	450					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	90	10	10	15	30	10	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	42	0	1	5	22	3	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	19	10	0	3	5	0	1					
14	Число погашенных открепительных удостоверений	48	10	9	10	8	7	4					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0					
													
18	"1. ""ЕДИНЕНИЕ"""	119	4	4	29	48	20	14					
		4.14%	1.76%	1.05%	6.90%	5.11%	4.50%	3.02%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	9	0	0	3	6	0	0					
		0.31%	0.0%	0.0%	0.71%	0.63%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	51	0	6	14	21	5	5					
		1.77%	0.0%	1.58%	3.33%	2.23%	1.12%	1.07%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	24	2	1	1	8	9	3					
		0.83%	0.88%	0.26%	0.23%	0.85%	2.02%	0.64%					
22	"5. ""За Русь Святую"""	3	0	0	1	0	0	2					
		0.10%	0.0%	0.0%	0.23%	0.0%	0.0%	0.43%					
23	"6. ""Объединенная Российская партия ""Русь"""	4	1	1	1	0	0	1					
		0.13%	0.44%	0.26%	0.23%	0.0%	0.0%	0.21%					
24	"7. ""Новый курс - Автомобильная Россия"""	11	0	1	0	7	0	3					
		0.38%	0.0%	0.26%	0.0%	0.74%	0.0%	0.64%					
25	"8. ""Народно-республиканская партия России"""	3	0	0	1	2	0	0					
		0.10%	0.0%	0.0%	0.23%	0.21%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	1	0	0	0	1	0	0					
		0.03%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	18	0	2	4	6	3	3					
		0.62%	0.0%	0.52%	0.95%	0.63%	0.67%	0.64%					
28	"11. ""Истинные патриоты России"""	5	0	1	1	0	0	3					
		0.17%	0.0%	0.26%	0.23%	0.0%	0.0%	0.64%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	7	0	0	1	1	1	4					
		0.24%	0.0%	0.0%	0.23%	0.10%	0.22%	0.86%					
30	"13. ""Демократическая партия России"""	2	0	0	0	1	0	1					
		0.06%	0.0%	0.0%	0.0%	0.10%	0.0%	0.21%					
31	"14. ""Великая Россия - Евразийский Союз"""	6	0	0	0	2	0	4					
		0.20%	0.0%	0.0%	0.0%	0.21%	0.0%	0.86%					
32	"15. ""Партия СЛОН"""	4	0	1	0	1	0	2					
		0.13%	0.0%	0.26%	0.0%	0.10%	0.0%	0.43%					
33	"16. ""Родина"" (народно-патриотический союз)"""	21	0	1	7	8	3	2					
		0.73%	0.0%	0.26%	1.66%	0.85%	0.67%	0.43%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	6	0	3	2	0	0	1					
		0.20%	0.0%	0.79%	0.47%	0.0%	0.0%	0.21%					
35	"18. ""ЛДПР"""	26	2	2	4	4	0	14					
		0.90%	0.88%	0.52%	0.95%	0.42%	0.0%	3.02%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	21	1	2	6	5	1	6					
		0.73%	0.44%	0.52%	1.42%	0.53%	0.22%	1.29%					
37	"20. ""Политическая партия ""Единая Россия"""	2274	207	329	302	703	373	360					
		79.23%	91.18%	87.03%	71.90%	74.94%	84.00%	77.75%					
38	"21. ""Российская Конституционно-демократическая партия"""	9	0	3	0	1	4	1					
		0.31%	0.0%	0.79%	0.0%	0.10%	0.90%	0.21%					
39	"22. ""Развитие предпринимательства"""	7	0	2	0	4	0	1					
		0.24%	0.0%	0.52%	0.0%	0.42%	0.0%	0.21%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	134	4	13	20	64	18	15					
		4.66%	1.76%	3.43%	4.76%	6.82%	4.05%	3.23%					
													
41	Против всех	31	2	6	4	12	2	5					
		1.08%	0.88%	1.58%	0.95%	1.27%	0.45%	1.07%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
