Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																															
Дата голосования: 02.12.2007																															
																															
Наименование Избирательной комиссии:    Алтайская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177					
1	"Число избирателей, внесенных в списки избирателей"	16776	1063	1313	1030	1322	940	958	1061	538	1281	1156	930	150	457	130	724	223	247	113	570	699	751	772	181	167					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16800	1050	1250	1000	1300	950	950	1050	520	1300	1150	940	170	450	140	730	250	250	120	590	770	730	800	190	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10273	610	733	633	780	549	631	607	339	757	645	560	118	320	93	459	136	195	88	376	480	437	485	105	137					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1347	119	75	42	104	56	46	74	24	64	113	36	24	29	17	34	61	7	10	44	85	72	165	46	0					
6	Число погашенных избирательных бюллетеней	5180	321	442	325	416	345	273	369	157	479	392	344	28	101	30	237	53	48	22	170	205	221	150	39	13					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1347	119	75	42	104	56	46	74	24	64	113	36	24	29	17	34	61	7	10	44	85	72	165	46	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10273	610	733	633	780	549	631	607	339	757	645	560	118	320	93	459	136	195	88	376	480	437	485	105	137					
9	Число недействительных избирательных бюллетеней	137	7	6	3	15	10	9	13	5	22	3	9	1	2	1	0	0	3	0	11	3	3	2	1	8					
10	Число действительных избирательных бюллетеней	11483	722	802	672	869	595	668	668	358	799	755	587	141	347	109	493	197	199	98	409	562	506	648	150	129					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	328	32	7	9	10	8	3	11	11	20	18	10	10	19	10	25	13	5	20	12	33	20	16	3	3					
