Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Урюпинская городская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №4001	УИК №4002	УИК №4003	УИК №4004	УИК №4005	УИК №4006	УИК №4007	УИК №4008	УИК №4009	УИК №4010	УИК №4011	УИК №4012	УИК №4013	УИК №4014	УИК №4015	УИК №4016	УИК №4017	УИК №4018	УИК №4019	УИК №4020									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31028	1399	1526	1508	1364	1450	1403	1400	1590	1386	1625	1510	1637	1676	1688	1535	1381	1674	1713	1816	1747									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30100	1350	1500	1450	1300	1400	1350	1350	1550	1350	1600	1500	1550	1650	1650	1500	1350	1650	1650	1700	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13833	652	668	745	564	660	654	610	718	616	954	655	565	547	586	660	692	937	799	884	667									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	764	45	40	49	52	19	24	36	28	32	12	29	107	38	19	30	26	23	41	97	17									
6	Число погашенных избирательных бюллетеней	15503	653	792	656	684	721	672	704	804	702	634	816	878	1065	1045	810	632	690	810	719	1016									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	762	45	40	47	52	19	24	36	28	32	12	29	107	38	19	30	26	23	41	97	17									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13833	652	668	745	564	660	654	610	718	616	954	655	565	547	586	660	692	937	799	884	667									
9	Число недействительных избирательных бюллетеней	235	7	12	10	12	9	15	9	5	16	20	15	4	12	12	14	17	9	6	19	12									
10	Число действительных избирательных бюллетеней	14360	690	696	782	604	670	663	637	741	632	946	669	668	573	593	676	701	951	834	962	672									
