Выборы Президента Российской Федерации																					
																					
Наименование Избирательной комиссии:    Красногородская																					
																					
Итоги голосования 																					
																					
		Сумма	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351					
1	"Число избирателей, внесенных в список"	7711	1844	1777	237	163	268	153	852	761	381	153	312	213	408	189					
2	Число полученных избирательных бюллетеней	7345	1700	1700	220	160	260	155	800	750	370	155	310	200	380	185					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3354	908	975	88	82	174	80	115	185	187	56	115	105	214	70					
5	"Число избирательных бюллетеней, выданных вне помещения"	1642	101	39	119	56	56	44	350	340	116	72	105	54	124	66					
6	Число погашенных избирательных бюллетеней	2349	691	686	13	22	30	31	335	225	67	27	90	41	42	49					
7	Число избирательных бюллетеней в переносных ящиках	1642	101	39	119	56	56	44	350	340	116	72	105	54	124	66					
8	Число бюллетеней в стационарных ящиках для голосования	3354	908	975	88	82	174	80	115	185	187	56	115	105	214	70					
9	Число недействительных избирательных бюллетеней	44	4	15	0	0	0	0	18	2	0	0	2	0	2	1					
10	Число действительных избирательных бюллетеней	4952	1005	999	207	138	230	124	447	523	303	128	218	159	336	135					
11	Число полученных открепительных  удостоверений	90	10	20	5	5	5	5	5	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	34	7	16	0	0	2	0	0	1	0	0	4	3	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	22	1	3	0	4	1	0	1	1	0	0	1	5	3	2					
14	Число неиспользованных открепительных удостоверений	56	3	4	5	5	3	5	5	4	5	5	1	2	4	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																					
18	. Глазьев Сергей Юрьевич	173	59	48	4	3	2	1	11	11	6	6	6	3	9	4					
		3.46%	5.85%	4.73%	1.93%	2.17%	0.87%	0.81%	2.37%	2.10%	1.98%	4.69%	2.73%	1.89%	2.66%	2.94%					
19	. Малышкин Олег Александрович	108	27	22	2	7	1	0	9	12	7	2	5	6	4	4					
		2.16%	2.68%	2.17%	0.97%	5.07%	0.43%	0.00%	1.94%	2.29%	2.31%	1.56%	2.27%	3.77%	1.18%	2.94%					
20	. Миронов Сергей Михайлович	62	18	10	3	1	1	4	6	7	0	2	2	2	4	2					
		1.24%	1.78%	0.99%	1.45%	0.72%	0.43%	3.23%	1.29%	1.33%	0.00%	1.56%	0.91%	1.26%	1.18%	1.47%					
21	. Путин Владимир Владимирович	3256	628	621	153	70	175	66	334	335	239	82	154	98	242	59					
		65.17%	62.24%	61.24%	73.91%	50.72%	76.09%	53.23%	71.83%	63.81%	78.88%	64.06%	70.00%	61.64%	71.60%	43.38%					
22	. Хакамада Ирина Муцуовна	113	18	32	4	1	2	1	11	25	3	2	5	1	7	1					
		2.26%	1.78%	3.16%	1.93%	0.72%	0.87%	0.81%	2.37%	4.76%	0.99%	1.56%	2.27%	0.63%	2.07%	0.74%					
23	. Харитонов Николай Михайлович	1172	235	244	38	55	47	52	71	127	46	34	44	48	67	64					
		23.46%	23.29%	24.06%	18.36%	39.86%	20.43%	41.94%	15.27%	24.19%	15.18%	26.56%	20.00%	30.19%	19.82%	47.06%					
																					
24	Против всех	68	20	22	3	1	2	0	5	6	2	0	2	1	3	1					
		1.36%	1.98%	2.17%	1.45%	0.72%	0.87%	0.00%	1.08%	1.14%	0.66%	0.00%	0.91%	0.63%	0.89%	0.74%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
