Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
"Наименование Избирательной комиссии:    Пермь, Индустриальная"																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954	УИК №2955	УИК №2956	УИК №2957	УИК №2958	УИК №2959	УИК №2960	УИК №2961	УИК №2962	УИК №2963	УИК №2964	УИК №2965	УИК №2966									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	123576	1534	1540	1796	1589	1678	2038	1870	1715	2398	2283	1921	2627	1838	2041	2245	2343	1980	2266	951	1837	2348	2188	2352	2083	1461	2310	1715	1616	1978	1289	1192	1782	971	1834	1185	1240	2923	2932	3006	2618	2391	2302	2323	2509	2070	2174	2177	1950	1706	1991	2491	2121	1300	2313	2200	2587	1832	2507	1694	637	1799	1423	174	283	273	836									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	90450	1100	1100	1300	1200	1200	1500	1400	1300	1700	1700	1400	1900	1300	1500	1600	1700	1500	1600	700	1300	1700	1600	1700	1500	1000	1700	1300	1200	1400	900	900	1300	700	1300	900	900	2100	2100	1900	1900	1700	1600	1600	1800	1500	1600	1600	1400	1200	1400	1800	1600	900	1700	1600	1900	1300	1800	1200	500	1300	1100	400	500	600	850									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	43842	551	509	697	461	566	785	668	571	765	773	666	1003	700	798	795	931	566	944	376	639	759	857	781	705	570	861	580	615	614	434	441	494	345	594	423	438	934	1152	1073	973	850	791	881	937	701	698	740	765	603	702	862	859	404	729	714	798	446	835	387	209	755	587	109	71	219	783									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	611	3	5	11	17	8	11	4	3	11	7	4	8	11	3	7	4	4	10	4	2	15	1	14	11	2	12	10	11	11	14	6	11	2	19	1	10	18	11	23	12	10	10	10	16	3	12	16	5	12	7	20	6	13	8	9	3	12	6	7	2	4	5	6	58	0	0									
6	Число погашенных избирательных бюллетеней	45997	546	586	592	722	626	704	728	726	924	920	730	889	589	699	798	765	930	646	320	659	926	742	905	784	428	827	710	574	775	452	453	795	353	687	476	452	1148	937	804	915	840	799	709	847	796	890	844	630	585	691	918	735	483	963	877	1099	842	959	806	289	541	508	285	371	381	67									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	611	3	5	11	17	8	11	4	3	11	7	4	8	11	3	7	4	4	10	4	2	15	1	14	11	2	12	10	11	11	14	6	11	2	19	1	10	18	11	23	12	10	10	10	16	3	12	16	5	12	7	20	6	13	8	9	3	12	6	7	2	4	5	6	58	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	43781	550	509	697	461	566	784	668	571	764	773	666	1003	700	798	794	931	566	943	376	639	759	857	781	705	570	861	580	615	611	434	441	494	344	586	422	438	934	1148	1073	973	846	791	880	936	701	692	740	765	602	684	862	859	403	729	713	798	446	835	386	209	755	582	109	71	219	783									
9	Число недействительных избирательных бюллетеней	1926	17	26	33	28	17	31	35	27	38	32	21	44	26	26	23	21	17	25	16	38	43	25	25	35	29	54	40	35	32	14	17	22	19	23	21	22	18	63	53	41	58	29	28	45	40	38	31	71	37	43	23	32	20	39	23	35	15	35	21	14	25	12	3	1	7	29									
10	Число действительных избирательных бюллетеней	42466	536	488	675	450	557	764	637	547	737	748	649	967	685	775	778	914	553	928	364	603	731	833	770	681	543	819	550	591	590	434	430	483	327	582	402	426	934	1096	1043	944	798	772	862	907	664	666	725	699	577	648	859	833	396	698	699	766	443	806	372	197	734	575	112	128	212	754									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3100	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1483	12	14	25	15	18	25	16	22	27	27	15	27	15	30	41	40	28	26	20	14	31	42	49	33	13	31	24	27	22	16	14	19	12	32	14	9	33	37	35	24	24	16	16	30	23	34	25	23	22	22	30	29	13	29	31	23	18	26	12	5	28	30	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2001	93	49	29	24	20	26	13	33	32	18	21	25	36	25	17	11	7	103	78	91	38	16	5	3	98	48	22	20	53	53	12	5	15	5	21	14	16	26	91	67	84	91	69	30	9	6	17	23	23	20	6	19	10	7	10	20	16	21	8	1	8	12	19	32	32	29									
14	Число погашенных неиспользованных открепительных удостоверений	1617	38	36	25	35	32	25	34	28	23	23	35	23	35	20	9	10	22	24	30	36	19	8	1	17	37	19	26	23	28	34	36	31	38	18	36	41	17	13	15	26	26	34	34	20	27	16	25	27	28	28	20	21	37	21	19	27	32	24	38	45	22	20	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	93	0	6	0	0	1	1	0	1	0	4	2	1	1	2	4	2	2	3	0	1	2	3	5	0	2	1	0	2	4	0	2	0	0	5	0	1	3	3	3	3	1	0	1	0	3	0	4	0	0	0	2	3	2	1	1	0	1	1	0	0	3	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	837	9	13	5	6	12	14	16	11	18	17	9	17	11	16	13	29	14	30	6	6	14	19	20	9	9	15	5	11	16	4	11	6	3	17	7	8	17	25	23	30	17	24	17	12	12	12	11	19	9	10	17	11	2	19	12	22	2	16	7	4	18	7	0	0	2	14									
		1.89%	1.63%	2.53%	0.71%	1.26%	2.09%	1.76%	2.38%	1.92%	2.32%	2.18%	1.34%	1.68%	1.55%	1.99%	1.62%	3.10%	2.46%	3.15%	1.58%	0.94%	1.81%	2.21%	2.52%	1.26%	1.57%	1.72%	0.85%	1.76%	2.57%	0.89%	2.46%	1.19%	0.87%	2.81%	1.65%	1.79%	1.79%	2.16%	2.10%	3.05%	1.99%	2.99%	1.91%	1.26%	1.70%	1.70%	1.46%	2.47%	1.47%	1.45%	1.93%	1.27%	0.48%	2.58%	1.66%	2.75%	0.44%	1.90%	1.78%	1.90%	2.37%	1.19%	0.00%	0.00%	0.91%	1.79%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1232	19	16	18	16	18	25	15	11	28	18	21	33	30	25	20	20	10	26	13	11	31	23	18	14	12	19	15	16	14	13	6	9	8	9	9	13	23	51	27	26	20	38	21	30	19	40	25	16	21	33	19	19	7	12	20	27	14	22	9	6	20	14	2	2	7	20									
		2.78%	3.44%	3.11%	2.54%	3.35%	3.14%	3.14%	2.23%	1.92%	3.61%	2.31%	3.13%	3.26%	4.22%	3.12%	2.50%	2.14%	1.75%	2.73%	3.42%	1.72%	4.01%	2.68%	2.26%	1.96%	2.10%	2.18%	2.54%	2.56%	2.25%	2.90%	1.34%	1.78%	2.31%	1.49%	2.13%	2.90%	2.42%	4.40%	2.46%	2.64%	2.34%	4.74%	2.36%	3.15%	2.70%	5.68%	3.31%	2.08%	3.42%	4.78%	2.15%	2.20%	1.68%	1.63%	2.77%	3.37%	3.06%	2.62%	2.29%	2.84%	2.64%	2.39%	1.74%	1.55%	3.20%	2.55%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	918	8	11	10	11	11	17	13	15	23	21	19	23	12	16	18	13	12	19	9	2	19	17	13	16	18	27	11	10	11	10	8	16	7	11	4	5	26	20	17	17	20	19	20	20	13	9	20	9	13	13	22	19	12	14	6	16	8	15	17	5	21	19	4	5	4	9									
		2.07%	1.45%	2.14%	1.41%	2.30%	1.92%	2.14%	1.93%	2.61%	2.97%	2.69%	2.84%	2.27%	1.69%	1.99%	2.25%	1.39%	2.11%	1.99%	2.37%	0.31%	2.45%	1.98%	1.64%	2.23%	3.15%	3.09%	1.86%	1.60%	1.77%	2.23%	1.79%	3.17%	2.02%	1.82%	0.95%	1.12%	2.73%	1.73%	1.55%	1.73%	2.34%	2.37%	2.25%	2.10%	1.85%	1.28%	2.65%	1.17%	2.12%	1.88%	2.49%	2.20%	2.88%	1.90%	0.83%	1.99%	1.75%	1.78%	4.33%	2.37%	2.77%	3.24%	3.48%	3.88%	1.83%	1.15%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18253	243	195	270	208	216	293	267	241	359	296	266	424	283	334	327	387	236	424	194	296	299	365	307	318	249	345	247	258	240	204	177	203	148	244	182	204	390	458	510	401	304	293	378	364	279	243	303	282	224	242	362	364	159	299	314	345	216	353	177	95	334	224	56	73	91	371									
		41.12%	43.94%	37.94%	38.14%	43.51%	37.63%	36.86%	39.73%	41.99%	46.32%	37.95%	39.70%	41.94%	39.80%	41.70%	40.82%	41.39%	41.40%	44.49%	51.05%	46.18%	38.63%	42.54%	38.62%	44.41%	43.53%	39.52%	41.86%	41.21%	38.59%	45.54%	39.60%	40.20%	42.77%	40.33%	43.03%	45.54%	40.97%	39.52%	46.53%	40.71%	35.51%	36.58%	42.47%	38.24%	39.63%	34.52%	40.08%	36.62%	36.48%	35.02%	41.04%	42.08%	38.22%	40.57%	43.49%	43.07%	47.16%	41.97%	45.04%	45.02%	44.01%	38.16%	48.70%	56.59%	41.55%	47.38%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	443	6	3	5	4	5	9	6	9	6	9	4	10	7	6	8	13	4	13	4	4	6	9	17	13	9	11	6	5	5	1	4	5	5	10	3	3	14	12	14	6	9	5	7	3	6	12	9	7	7	4	9	8	3	4	7	12	4	6	4	2	7	8	1	0	1	5									
		0.99%	1.08%	0.58%	0.71%	0.84%	0.87%	1.13%	0.89%	1.57%	0.77%	1.15%	0.60%	0.99%	0.98%	0.75%	0.99%	1.39%	0.70%	1.36%	1.05%	0.62%	0.78%	1.05%	2.14%	1.82%	1.57%	1.26%	1.02%	0.80%	0.80%	0.22%	0.89%	0.99%	1.45%	1.65%	0.71%	0.67%	1.47%	1.04%	1.28%	0.61%	1.05%	0.62%	0.79%	0.32%	0.85%	1.70%	1.19%	0.91%	1.14%	0.58%	1.02%	0.92%	0.72%	0.54%	0.97%	1.50%	0.87%	0.71%	1.02%	0.95%	0.92%	1.36%	0.87%	0.00%	0.46%	0.64%									
24	"6. Политическая партия ""Гражданская Платформа"""	107	0	0	1	2	5	4	4	1	6	0	3	4	2	2	2	0	2	0	2	1	3	2	2	4	1	1	2	0	1	1	3	0	2	1	0	0	2	4	2	0	0	2	2	1	1	1	4	4	0	0	0	1	0	3	0	3	0	4	1	0	2	1	0	0	2	3									
		0.24%	0.00%	0.00%	0.14%	0.42%	0.87%	0.50%	0.60%	0.17%	0.77%	0.00%	0.45%	0.40%	0.28%	0.25%	0.25%	0.00%	0.35%	0.00%	0.53%	0.16%	0.39%	0.23%	0.25%	0.56%	0.17%	0.11%	0.34%	0.00%	0.16%	0.22%	0.67%	0.00%	0.58%	0.17%	0.00%	0.00%	0.21%	0.35%	0.18%	0.00%	0.00%	0.25%	0.22%	0.11%	0.14%	0.14%	0.53%	0.52%	0.00%	0.00%	0.00%	0.12%	0.00%	0.41%	0.00%	0.37%	0.00%	0.48%	0.25%	0.00%	0.26%	0.17%	0.00%	0.00%	0.91%	0.38%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5655	56	63	107	50	82	114	84	75	1	87	102	113	89	109	111	129	98	108	39	63	98	104	83	87	75	109	83	66	99	60	56	64	45	80	51	51	141	162	162	124	106	107	114	129	96	91	92	89	80	77	100	105	66	102	111	106	64	109	68	25	84	91	21	13	40	89									
		12.74%	10.13%	12.26%	15.11%	10.46%	14.29%	14.34%	12.50%	13.07%	0.13%	11.15%	15.22%	11.18%	12.52%	13.61%	13.86%	13.80%	17.19%	11.33%	10.26%	9.83%	12.66%	12.12%	10.44%	12.15%	13.11%	12.49%	14.07%	10.54%	15.92%	13.39%	12.53%	12.67%	13.01%	13.22%	12.06%	11.38%	14.81%	13.98%	14.78%	12.59%	12.38%	13.36%	12.81%	13.55%	13.64%	12.93%	12.17%	11.56%	13.03%	11.14%	11.34%	12.14%	15.87%	13.84%	15.37%	13.23%	13.97%	12.96%	17.30%	11.85%	11.07%	15.50%	18.26%	10.08%	18.26%	11.37%									
