Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Череповецкая																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953					
1	"Число избирателей, внесенных в списки"	31181	757	1067	891	191	161	312	135	539	126	254	180	275	130	1036	283	2135	1099	231	239	1860	440	190	161	171	814	285	1012	254	317	233	187	173	1530	1466	1469	152	204	349	304	114	464	374	333	430	439	407	350	74	130	363	1847	1722	1964	558					
2	"Число бюллетеней, полученных участковыми комиссиями"	28730	660	950	810	180	140	260	160	500	120	230	160	250	130	880	220	1870	990	220	230	1640	410	180	150	160	730	290	940	220	300	230	220	260	1420	1300	1330	140	200	310	270	140	410	370	320	400	400	340	500	90	200	450	1640	1500	1770	540					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14382	331	523	363	95	69	93	47	284	34	116	64	125	33	414	173	1192	450	58	80	1014	167	42	35	77	402	28	495	109	149	96	73	84	808	683	764	91	62	169	113	79	146	124	130	143	191	181	181	52	64	82	1044	759	914	287					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3463	115	43	149	35	22	96	62	24	54	33	37	53	38	123	1	75	184	89	86	33	108	72	57	39	48	167	24	25	21	63	59	33	18	66	22	16	48	28	90	35	149	141	102	129	89	58	76	9	54	163	59	21	22	0					
6	Число погашенных бюллетеней	10885	214	384	298	50	49	71	51	192	32	81	59	72	59	343	46	603	356	73	64	593	135	66	58	44	280	95	421	86	130	71	88	143	594	551	544	33	90	113	67	26	115	105	88	128	120	101	243	29	82	205	537	720	834	253					
7	Число бюллетеней в переносных ящиках для голосования	3463	115	43	149	35	22	96	62	24	54	33	37	53	38	123	1	75	184	89	86	33	108	72	57	39	48	167	24	25	21	63	59	33	18	66	22	16	48	28	90	35	149	141	102	129	89	58	76	9	54	163	59	21	22	0					
8	Число бюллетеней в стационарных ящиках для голосования	14377	331	523	363	95	69	93	47	283	34	116	64	125	33	414	173	1187	450	58	80	1014	167	42	35	77	402	28	495	109	149	96	73	84	808	683	764	91	62	169	113	79	146	124	130	143	191	181	181	52	64	82	1044	759	915	287					
9	Число недействительных бюллетеней	543	1	9	38	4	5	2	7	7	6	12	5	7	2	29	5	26	20	4	14	53	5	0	0	3	20	8	8	10	15	2	5	4	23	24	26	7	3	4	7	1	10	1	0	3	6	4	12	0	1	2	28	11	26	8					
10	Число действительных бюллетеней	17297	445	557	474	126	86	187	102	300	82	137	96	171	69	508	169	1236	614	143	152	994	270	114	92	113	430	187	511	124	155	157	127	113	803	725	760	100	107	193	196	113	285	264	232	269	274	235	245	61	117	243	1075	769	911	279					
