Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Острогожская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	44280	290	1550	1860	1679	1694	1904	1406	1606	1911	2003	1792	1793	1850	1722	1521	434	238	282	510	441	308	478	790	246	152	632	122	742	898	706	431	355	370	291	401	301	365	319	765	513	1473	1647	422	521	135	711	619	490	539	201	1226	489	136									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43900	275	1550	1850	1650	1700	1900	1350	1550	1900	2000	1800	1800	1850	1700	1500	400	250	275	500	450	300	450	800	250	150	600	100	750	900	700	400	350	350	300	400	300	350	300	750	500	1500	1650	400	500	125	700	600	475	550	200	1200	500	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	33803	219	1119	1515	1404	1404	1671	1175	1248	1586	1619	1408	1367	1297	1303	1338	330	185	237	389	285	225	381	652	179	109	471	76	573	672	494	372	248	285	217	289	218	284	179	527	391	960	1110	347	399	90	536	324	266	380	138	881	369	62									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4517	34	135	121	49	96	157	74	71	18	117	61	120	138	75	39	63	30	22	68	56	60	37	78	27	16	85	20	91	129	131	18	86	37	20	40	63	57	108	167	83	298	323	31	68	31	92	85	148	120	42	214	95	73									
6	Число погашенных избирательных бюллетеней	5580	22	296	214	197	200	72	101	231	296	264	331	313	415	322	123	7	35	16	43	109	15	32	70	44	25	44	4	86	99	75	10	16	28	63	71	19	9	13	56	26	242	217	22	33	4	72	191	61	50	20	105	36	115									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4517	34	135	121	49	96	157	74	71	18	117	61	120	138	75	39	63	30	22	68	56	60	37	78	27	16	85	20	91	129	131	18	86	37	20	40	63	57	108	167	83	298	323	31	68	31	92	85	148	120	42	214	95	73									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	33803	219	1119	1515	1404	1404	1671	1175	1248	1586	1619	1408	1367	1297	1303	1338	330	185	237	389	285	225	381	652	179	109	471	76	573	672	494	372	248	285	217	289	218	284	179	527	391	960	1110	347	399	90	536	324	266	380	138	881	369	62									
9	Число недействительных избирательных бюллетеней	132	1	0	5	0	0	0	4	13	12	17	0	0	6	0	2	0	0	0	3	1	2	3	0	0	0	4	0	5	17	2	0	0	2	10	0	0	1	0	2	1	0	2	0	0	0	0	6	1	0	3	3	4	0									
10	Число действительных избирательных бюллетеней	38188	252	1254	1631	1453	1500	1828	1245	1306	1592	1719	1469	1487	1429	1378	1375	393	215	259	454	340	283	415	730	206	125	552	96	659	784	623	390	334	320	227	329	281	340	287	692	473	1258	1431	378	467	121	628	403	413	500	177	1092	460	135									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	607	3	5	7	8	13	20	10	6	30	15	10	5	5	10	10	10	10	10	25	15	5	6	20	8	5	10	5	20	20	10	10	5	10	10	20	10	0	6	20	35	20	12	5	5	10	10	10	3	15	20	20	15	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	505	3	5	7	6	13	13	8	6	21	15	10	5	5	7	5	10	10	10	25	15	5	5	20	8	5	5	5	10	9	4	2	2	10	10	20	8	0	6	12	35	20	12	4	5	10	1	10	1	15	20	20	7	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	148	6	7	5	9	3	11	10	0	9	5	7	4	3	2	2	2	0	2	3	0	0	0	0	0	2	1	0	0	0	11	0	2	4	0	0	3	2	4	2	2	3	1	0	0	1	1	4	3	0	2	2	4	4									
14	Число погашенных неиспользованных открепительных удостоверений	102	0	0	0	2	0	7	2	0	9	0	0	0	0	3	5	0	0	0	0	0	0	1	0	0	0	5	0	10	11	6	8	3	0	0	0	2	0	0	8	0	0	0	1	0	0	9	0	2	0	0	0	8	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	0	1	1	3	2	2	3	0	2	1	1	6	2	3	4	0	0	0	0	0	0	0	1	0	0	2	0	1	1	0	0	1	0	2	1	0	0	0	4	0	2	2	0	2	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	124	0	8	2	2	4	8	4	6	14	5	4	3	10	4	1	1	0	2	1	1	0	1	2	0	4	2	0	3	4	0	4	0	1	0	0	0	2	0	3	1	0	0	0	2	0	4	4	4	0	0	3	0	0									
