Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																										
Дата голосования: 04.12.2011																																										
																																										
Наименование Избирательной комиссии:    Убинская 																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123					
1	"Число избирателей, внесенных в список избирателей"	13314	1545	1429	345	71	295	174	274	282	406	183	779	151	100	123	310	525	118	368	441	330	91	407	79	64	413	117	313	91	596	529	354	107	48	134	1722					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13660	1570	1470	350	70	310	180	290	290	430	190	780	160	100	120	320	540	120	380	470	340	90	430	80	60	430	120	320	90	610	540	380	110	40	130	1750					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6885	648	709	126	39	187	107	249	148	239	101	462	90	70	63	133	222	74	227	257	231	51	182	38	47	201	59	156	74	266	241	199	68	36	58	827					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	828	83	75	20	5	16	16	0	38	30	9	18	7	6	19	31	45	7	18	41	25	9	53	11	7	43	5	20	5	34	55	17	13	3	16	28					
6	Число погашенных избирательных бюллетеней	5947	839	686	204	26	107	57	41	104	161	80	300	63	24	38	156	273	39	135	172	84	30	195	31	6	186	56	144	11	310	244	164	29	1	56	895					
7	Число избирательных бюллетеней в переносных ящиках для голосования	828	83	75	20	5	16	16	0	38	30	9	18	7	6	19	31	45	7	18	41	25	9	53	11	7	43	5	20	5	34	55	17	13	3	16	28					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6885	648	709	126	39	187	107	249	148	239	101	462	90	70	63	133	222	74	227	257	231	51	182	38	47	201	59	156	74	266	241	199	68	36	58	827					
9	Число недействительных избирательных бюллетеней	97	6	9	2	0	4	4	0	4	6	2	6	0	0	0	2	5	1	4	4	0	0	4	0	1	4	0	3	2	5	6	4	1	0	1	7					
10	Число действительных избирательных бюллетеней	7616	725	775	144	44	199	119	249	182	263	108	474	97	76	82	162	262	80	241	294	256	60	231	49	53	240	64	173	77	295	290	212	80	39	73	848					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	512	50	50	10	1	17	7	15	10	20	5	25	5	5	2	15	20	2	15	22	15	2	20	4	2	22	2	15	2	25	25	20	3	1	8	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	353	21	39	1	1	17	7	15	6	20	5	19	5	3	2	7	18	2	10	22	3	1	20	4	2	15	2	7	2	15	18	18	3	0	5	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	106	5	17	5	3	1	0	2	3	1	2	18	2	4	4	2	1	1	0	0	1	2	0	1	1	2	1	1	0	1	4	1	1	4	2	13					
14	Число погашенных неиспользованных открепительных удостоверений	159	29	11	9	0	0	0	0	4	0	0	6	0	2	0	8	2	0	5	0	12	1	0	0	0	7	0	8	0	10	7	2	0	1	3	32					
