Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																		
Дата голосования: 04.12.2011																																																																		
																																																																		
"Наименование Избирательной комиссии:    Саратов, Кировская"																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175					
1	"Число избирателей, внесенных в список избирателей"	105382	2669	2520	1720	137	1495	2630	2547	1387	1340	2182	675	2796	1486	2157	2350	1959	998	1477	1983	1798	2459	1716	2437	2752	2303	2128	2092	2142	1280	1114	1070	1319	1747	1848	1288	2078	1095	1933	1530	1858	1834	2071	1240	1510	1290	2372	2126	1429	2804	1759	1793	871	2014	2205	2410	1473	1957	1010	719					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	99780	2450	2400	1750	300	1600	2250	2300	1400	1350	2000	600	2600	1400	2000	2200	1900	1000	1400	1900	1750	2200	1700	2450	2650	2200	2200	2050	2150	1150	1100	1000	1200	1650	1700	1100	2050	1050	1850	1400	1950	1750	2050	1150	1450	1200	2200	1850	1400	2500	1700	1750	800	1950	2100	2000	1450	1550	850	730					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	76548	2302	1981	1612	137	1255	1803	1398	978	954	1570	537	1710	1260	1853	1656	1686	945	1175	1833	1702	2155	1477	2068	2034	1756	1862	614	1791	893	814	644	818	1567	1501	864	1232	211	1342	1067	1151	774	1081	749	1051	1121	1771	1322	1152	2283	917	966	681	1215	1867	1768	1050	1398	455	719					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4982	99	185	108	0	31	130	179	62	145	83	45	37	82	46	34	33	16	122	49	22	45	178	27	131	81	19	175	123	78	82	55	35	83	65	47	296	219	110	30	79	267	66	20	40	44	116	148	46	80	80	111	26	45	117	96	158	22	34	0					
6	Число погашенных избирательных бюллетеней	18250	49	234	30	163	314	317	723	360	251	347	18	853	58	101	510	181	39	103	18	26	0	45	355	485	363	319	1261	236	179	204	301	347	0	134	189	522	620	398	303	720	709	903	381	359	35	313	380	202	137	703	673	93	690	116	136	242	130	361	11					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4982	99	185	108	0	31	130	179	62	145	83	45	37	82	46	34	33	16	122	49	22	45	178	27	131	81	19	175	123	78	82	55	35	83	65	47	296	219	110	30	79	267	66	20	40	44	116	148	46	80	80	111	26	45	117	96	158	22	34	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	75125	2302	1981	1422	137	1255	1803	1219	978	954	1570	537	1710	1260	1853	1656	1555	945	1175	1833	1702	2104	1300	2068	2034	1756	1651	608	1791	893	732	643	804	1567	1313	864	1227	210	1342	1066	1151	774	1081	729	1051	1121	1771	1322	1152	2283	846	966	588	1215	1867	1768	1050	1398	453	719					
9	Число недействительных избирательных бюллетеней	721	35	25	13	1	12	13	8	5	3	7	4	23	9	10	0	16	0	0	1	0	24	2	27	24	14	16	6	15	15	11	9	10	12	9	0	0	2	0	10	5	13	7	14	7	17	12	7	18	7	10	9	17	27	0	17	99	34	9	1					
10	Число действительных избирательных бюллетеней	79386	2366	2141	1517	136	1274	1920	1390	1035	1096	1646	578	1724	1333	1889	1690	1572	961	1297	1881	1724	2125	1476	2068	2141	1823	1654	777	1899	956	803	689	829	1638	1369	911	1523	427	1452	1086	1225	1028	1140	735	1084	1148	1875	1463	1180	2356	916	1068	597	1233	1984	1847	1109	1386	478	718					
